,Название,Код,Срок(месяца),Цена,Рейтинг,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
34,МигКредит выпуск 2,RU000A106KT0,32,962.2,Низкий,10.53,1000.0,12,126.36,28.08,13.13,https://www.tinkoff.ru/invest/bonds/RU000A106KT0/
35,МФК Фордевинд,RU000A105849,22,979.104,Низкий,13.05,960.0,12,156.6,23.93,15.99,https://www.tinkoff.ru/invest/bonds/RU000A105849/
36,МФК Мани Мен выпуск 3,RU000A103PS8,10,959.5,Средний,8.7,1000.0,12,104.4,7.25,10.88,https://www.tinkoff.ru/invest/bonds/RU000A103PS8/
37,Пионер-Лизинг-БО-П03,RU000A1013N6,71,1035.1,Низкий,12.79,1000.0,12,153.48,75.67,14.83,https://www.tinkoff.ru/invest/bonds/RU000A1013N6/
38,Сегежа 002P выпуск 5,RU000A1053P7,165,870.5,Средний,46.11,1000.0,2,92.22,3804.07,10.59,https://www.tinkoff.ru/invest/bonds/RU000A1053P7/
39,Сегежа 002P выпуск 1,RU000A1041B2,13,925.0,18.11.2024,42.72,1000.0,2,85.44,277.68,9.24,https://www.tinkoff.ru/invest/bonds/RU000A1041B2/
40,AzurDrive выпуск 1,RU000A106TJ2,46,978.0,Средний,11.4,1000.0,12,136.8,43.7,13.99,https://www.tinkoff.ru/invest/bonds/RU000A106TJ2/
41,Сегежа Групп 003P-02R,RU000A105SP3,18,909.4,07.05.2025,22.97,1000.0,4,91.88,103.36,10.1,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/
42,ПИМ выпуск 2,RU000A106NT4,33,948.3,Низкий,31.41,1000.0,4,125.64,259.13,13.25,https://www.tinkoff.ru/invest/bonds/RU000A106NT4/
43,Ника 001P-02,RU000A106U74,22,987.8,Средний,36.8,1000.0,4,147.2,202.4,14.9,https://www.tinkoff.ru/invest/bonds/RU000A106U74/
44,Нафтатранс Плюс выпуск 5,RU000A106Y21,35,1027.1,Средний,13.57,1000.0,12,162.84,39.58,15.85,https://www.tinkoff.ru/invest/bonds/RU000A106Y21/
45,АСВ выпуск 1,RU000A106RB3,34,998.0,Низкий,36.8,1000.0,4,147.2,312.8,14.75,https://www.tinkoff.ru/invest/bonds/RU000A106RB3/
46,МигКредит выпуск 2,RU000A106UK8,34,999.5,Средний,11.92,1000.0,12,143.04,33.77,14.31,https://www.tinkoff.ru/invest/bonds/RU000A106UK8/
47,МФК ВЭББАНКИР выпуск 4,RU000A106Y88,41,1002.5,Средний,14.27,1000.0,12,171.24,48.76,17.08,https://www.tinkoff.ru/invest/bonds/RU000A106Y88/
48,Глобал Факторинг Нетворк Рус БО-02-001P,RU000A1060U2,34,996.1,Низкий,11.74,1000.0,12,140.88,33.26,14.14,https://www.tinkoff.ru/invest/bonds/RU000A1060U2/
49,Славянск ЭКО выпуск 1,RU000A103WB0,36,945.1,Средний,23.84,1000.0,4,95.36,214.56,10.09,https://www.tinkoff.ru/invest/bonds/RU000A103WB0/
50,Завод КЭС выпуск 4,RU000A106QS9,57,927.1,Низкий,42.11,1000.0,4,168.44,600.07,18.17,https://www.tinkoff.ru/invest/bonds/RU000A106QS9/
51,ПИМ выпуск 1,RU000A103WD6,12,976.7,Низкий,28.19,1000.0,4,112.76,84.57,11.54,https://www.tinkoff.ru/invest/bonds/RU000A103WD6/
52,Сегежа,RU000A104UA4,163,992.2,Средний,23.84,1000.0,4,95.36,971.48,9.61,https://www.tinkoff.ru/invest/bonds/RU000A104UA4/
53,ГЛОРАКС 01,RU000A1053W3,22,955.0,Средний,29.58,1000.0,4,118.32,162.69,12.39,https://www.tinkoff.ru/invest/bonds/RU000A1053W3/
54,Роял Капитал,RU000A104UF3,19,971.4,Низкий,32.19,1000.0,4,128.76,152.9,13.26,https://www.tinkoff.ru/invest/bonds/RU000A104UF3/
55,АСПЭК-Домстрой выпуск 1,RU000A104B53,14,980.0,Низкий,31.41,1000.0,4,125.64,109.94,12.82,https://www.tinkoff.ru/invest/bonds/RU000A104B53/
56,Мосгорломбард выпуск 4,RU000A106MV2,51,976.9,Низкий,34.63,1000.0,4,138.52,441.53,14.18,https://www.tinkoff.ru/invest/bonds/RU000A106MV2/
57,МаксимаТелеком выпуск 1,RU000A101XD8,15,916.0,17.01.2025,41.15,1000.0,2,82.3,308.62,8.98,https://www.tinkoff.ru/invest/bonds/RU000A101XD8/
58,РКК выпуск 2,RU000A105ZW4,41,1029.8,Низкий,38.98,1000.0,4,155.92,399.54,15.14,https://www.tinkoff.ru/invest/bonds/RU000A105ZW4/
59,Айди Коллект выпуск 3,RU000A1065M8,30,969.6,Низкий,10.7,1000.0,12,128.4,26.75,13.24,https://www.tinkoff.ru/invest/bonds/RU000A1065M8/
60,РКК выпуск 1,RU000A105VP7,28,1039.9,Низкий,41.15,1000.0,4,164.6,288.05,15.83,https://www.tinkoff.ru/invest/bonds/RU000A105VP7/
61,УК ОРГ выпуск 2,RU000A106L67,32,1000.9,Низкий,11.74,1000.0,12,140.88,31.31,14.08,https://www.tinkoff.ru/invest/bonds/RU000A106L67/
62,УК ОРГ выпуск 3,RU000A106UB7,34,1000.9,Средний,11.74,1000.0,12,140.88,33.26,14.08,https://www.tinkoff.ru/invest/bonds/RU000A106UB7/
