,Название,Код,Цена,Рейтинг,Срок(месяца),Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
0,Ferroni выпуск 1,RU000A103XP8,887.2,Низкий,22.0,9.22,1000.0,12.0,110.64,9.22,12.47,https://www.tinkoff.ru/invest/bonds/RU000A103XP8/
1,Роснано БО-002P выпуск 5,RU000A102HB3,957.6,Низкий,1.0,29.23,1000.0,2.0,58.46,0.0,6.1,https://www.tinkoff.ru/invest/bonds/RU000A102HB3/
2,Роснано выпуск 8,RU000A1008V9,848.9,Средний,52.0,58.2,1000.0,2.0,116.4,1513.2,13.71,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/
3,Газпром капитал ЗО23-1-Е,RU000A105BL8,97556.2076657,Высокий,0.0,2676.29,98440.3,1.0,2676.29,0.0,2.74,https://www.tinkoff.ru/invest/bonds/RU000A105BL8/
4,Роснано БО-002P выпуск 4,RU000A101KK0,909.5,,4.0,14.79,1000.0,4.0,59.16,14.79,6.5,https://www.tinkoff.ru/invest/bonds/RU000A101KK0/
5,Alfa Bank,RU000A100GW5,8500000.0,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/
6,ВТБ СУБ выпуск 1,RU000A102QJ7,7945102.3275,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102QJ7/
7,СПМК БО-02,RU000A106FN3,961.8,Низкий,42.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106FN3/
8,Сегежа,RU000A104UA4,993.9,Средний,162.0,23.84,1000.0,4.0,95.36,953.6,9.59,https://www.tinkoff.ru/invest/bonds/RU000A104UA4/
9,КАМАЗ БО-10,RU000A0ZZ877,995.9,Средний,114.0,47.85,1000.0,2.0,95.7,2727.45,9.61,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ877/
10,Агрофирма-племзавод Победа выпуск 1,RU000A102S23,968.9,Низкий,3.0,21.14,1000.0,4.0,84.56,0.0,8.73,https://www.tinkoff.ru/invest/bonds/RU000A102S23/
11,М.Видео выпуск 4,RU000A106540,907.8,23.04.2025,29.0,28.27,1000.0,4.0,113.08,197.89,12.46,https://www.tinkoff.ru/invest/bonds/RU000A106540/
12,Джи-групп выпуск 2,RU000A103JR3,603.72,21.12.2023,9.0,13.75,600.0,4.0,55.0,27.5,9.11,https://www.tinkoff.ru/invest/bonds/RU000A103JR3/
