,Название,Код,Цена,Рейтинг,Срок(месяца),Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
13,МФК Эйрлоанс выпуск 1,RU000A1043L7,933.0,Низкий,17.0,9.4,1000.0,12.0,112.8,9.4,12.09,https://www.tinkoff.ru/invest/bonds/RU000A1043L7/
14,М.Видео выпуск 3,RU000A104ZK2,894.1,Низкий,20.0,26.71,1000.0,4.0,106.84,133.55,11.95,https://www.tinkoff.ru/invest/bonds/RU000A104ZK2/
15,М.Видео выпуск 2,RU000A103HT3,922.0,Низкий,8.0,17.49,1000.0,4.0,69.96,34.98,7.59,https://www.tinkoff.ru/invest/bonds/RU000A103HT3/
16,Сегежа 002P выпуск 3,RU000A104FG2,982.8,Средний,157.0,23.58,1000.0,4.0,94.32,919.62,9.6,https://www.tinkoff.ru/invest/bonds/RU000A104FG2/
17,Феррони БО-01,RU000A1053R3,1013.8,21.11.2023,20.0,11.74,1000.0,12.0,140.88,11.74,13.9,https://www.tinkoff.ru/invest/bonds/RU000A1053R3/
18,АПРИ Флай Плэнинг выпуск 3,RU000A106WZ2,1012.8,Средний,46.0,45.5,1000.0,4.0,182.0,500.5,17.97,https://www.tinkoff.ru/invest/bonds/RU000A106WZ2/
19,Газпром Капитал БЗО26-1-Е,RU000A105QX1,71349.2341191,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105QX1/
20,Сегежа 002P выпуск 5,RU000A1053P7,845.9,Средний,164.0,46.11,1000.0,2.0,92.22,3781.02,10.9,https://www.tinkoff.ru/invest/bonds/RU000A1053P7/
21,Сегежа Групп 003P-02R,RU000A105SP3,894.5,07.05.2025,170.0,22.97,1000.0,4.0,91.88,964.74,10.27,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/
22,Сегежа 002P выпуск 1,RU000A1041B2,919.0,18.11.2024,155.0,42.72,1000.0,2.0,85.44,3289.44,9.3,https://www.tinkoff.ru/invest/bonds/RU000A1041B2/
23,АПРИ Флай Плэнинг БО-П5,RU000A103N19,931.5,Низкий,21.0,28.19,1000.0,4.0,112.76,140.95,12.11,https://www.tinkoff.ru/invest/bonds/RU000A103N19/
24,АПРИ Флай Плэнинг,RU000A105DS9,1022.7,21.11.2023,35.0,45.5,1000.0,4.0,182.0,364.0,17.8,https://www.tinkoff.ru/invest/bonds/RU000A105DS9/
25,Нафтатранс Плюс выпуск 2,RU000A100YD8,3993.003,Низкий,10.0,42.8,3997.0,12.0,513.6,0.0,12.86,https://www.tinkoff.ru/invest/bonds/RU000A100YD8/
26,Селлер выпуск 2,RU000A106X30,999.7,Низкий,33.0,12.79,1000.0,12.0,153.48,25.58,15.35,https://www.tinkoff.ru/invest/bonds/RU000A106X30/
27,МФК Лайм-Займ 1Р-02,RU000A106CJ8,978.1,Низкий,30.0,11.74,1000.0,12.0,140.88,23.48,14.4,https://www.tinkoff.ru/invest/bonds/RU000A106CJ8/
28,АПРИ Флай Плэнинг БО-2Р-02,RU000A106631,996.4,Низкий,41.0,38.98,1000.0,4.0,155.92,389.8,15.65,https://www.tinkoff.ru/invest/bonds/RU000A106631/
29,Феррони БО-02,RU000A105P64,983.1,Низкий,25.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105P64/
30,НИКА обб01,RU000A1050X7,968.7,Низкий,20.0,32.19,1000.0,4.0,128.76,160.95,13.29,https://www.tinkoff.ru/invest/bonds/RU000A1050X7/
31,АПРИ Флай Плэнинг БО-П05,RU000A104WA0,999.1,Низкий,19.0,38.98,1000.0,4.0,155.92,155.92,15.61,https://www.tinkoff.ru/invest/bonds/RU000A104WA0/
32,Биннофарм Групп выпуск 1,RU000A1043Z7,996.0,27.11.2023,155.0,21.4,1000.0,4.0,85.6,813.2,8.59,https://www.tinkoff.ru/invest/bonds/RU000A1043Z7/
33,Селлер выпуск 1,RU000A106KY0,1000.4,Низкий,19.0,12.79,1000.0,12.0,153.48,12.79,15.34,https://www.tinkoff.ru/invest/bonds/RU000A106KY0/
34,Ника 001P-02,RU000A106U74,972.0,Средний,57.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106U74/
35,Пионер-Лизинг-БО-П03,RU000A1013N6,1041.9,Низкий,70.0,13.57,1000.0,12.0,162.84,67.85,15.63,https://www.tinkoff.ru/invest/bonds/RU000A1013N6/
36,МФК ВЭББАНКИР выпуск 1,RU000A103F43,968.0,Низкий,13.0,9.05,1000.0,12.0,108.6,9.05,11.22,https://www.tinkoff.ru/invest/bonds/RU000A103F43/
37,МФК Лайм-Займ выпуск 2,RU000A105AJ4,824.08,Низкий,22.0,11.4,800.0,12.0,136.8,11.4,16.6,https://www.tinkoff.ru/invest/bonds/RU000A105AJ4/
38,Пионер-Лизинг-БО-П02,RU000A1006C3,1052.9,Низкий,62.0,13.75,1000.0,12.0,165.0,68.75,15.67,https://www.tinkoff.ru/invest/bonds/RU000A1006C3/
39,Фордевинд 03,RU000A106Q47,962.5,Низкий,38.0,11.4,1000.0,12.0,136.8,34.2,14.21,https://www.tinkoff.ru/invest/bonds/RU000A106Q47/
40,Фордевинд2,RU000A106DK4,969.5,Низкий,30.0,11.4,1000.0,12.0,136.8,22.8,14.11,https://www.tinkoff.ru/invest/bonds/RU000A106DK4/
41,Фордевинд 04,RU000A106SE5,988.3,Низкий,38.0,12.09,1000.0,12.0,145.08,36.27,14.68,https://www.tinkoff.ru/invest/bonds/RU000A106SE5/
42,AzurDrive выпуск 1,RU000A106TJ2,968.3,Средний,45.0,11.4,1000.0,12.0,136.8,34.2,14.13,https://www.tinkoff.ru/invest/bonds/RU000A106TJ2/
43,ТЕХНО Лизинг выпуск 4,RU000A1032X5,876.5,Средний,29.0,7.66,1000.0,12.0,91.92,15.32,10.49,https://www.tinkoff.ru/invest/bonds/RU000A1032X5/
44,МФК ЦФП выпуск 2,RU000A103GL2,971.7,Низкий,8.0,9.22,1000.0,12.0,110.64,0.0,11.39,https://www.tinkoff.ru/invest/bonds/RU000A103GL2/
45,Славянск ЭКО выпуск 1,RU000A103WB0,944.5,Средний,35.0,23.84,1000.0,4.0,95.36,190.72,10.1,https://www.tinkoff.ru/invest/bonds/RU000A103WB0/
46,Руссойл БО-01,RU000A1074E7,1000.7,Средний,35.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1074E7/
47,Трейдберри БО-01,RU000A106VN0,1008.8,Средний,33.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106VN0/
48,МФК Фордевинд,RU000A105849,939.412,Низкий,21.0,13.05,920.0,12.0,156.6,13.05,16.67,https://www.tinkoff.ru/invest/bonds/RU000A105849/
49,Эфферон выпуск 1,RU000A105H98,935.0,Средний,48.0,37.93,1000.0,4.0,151.72,455.16,16.23,https://www.tinkoff.ru/invest/bonds/RU000A105H98/
50,Плаза-Телеком БО-01,RU000A106YD5,998.5,Средний,34.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106YD5/
51,МФК Лайм-Займ выпуск 1,RU000A104AX8,696.99,Низкий,13.0,25.4,700.0,4.0,101.6,76.2,14.58,https://www.tinkoff.ru/invest/bonds/RU000A104AX8/
52,АСВ выпуск 1,RU000A106RB3,993.9,Низкий,33.0,36.8,1000.0,4.0,147.2,294.4,14.81,https://www.tinkoff.ru/invest/bonds/RU000A106RB3/
53,ПИМ выпуск 2,RU000A106NT4,947.5,Низкий,32.0,31.41,1000.0,4.0,125.64,251.28,13.26,https://www.tinkoff.ru/invest/bonds/RU000A106NT4/
54,М.Видео выпуск 1,RU000A103117,973.0,Низкий,5.0,47.68,1000.0,2.0,95.36,95.36,9.8,https://www.tinkoff.ru/invest/bonds/RU000A103117/
55,Быстроденьги 2P-02,RU000A106B51,978.9,Низкий,36.0,11.4,1000.0,12.0,136.8,34.2,13.97,https://www.tinkoff.ru/invest/bonds/RU000A106B51/
56,МигКредит выпуск 2,RU000A106UK8,998.7,Средний,33.0,11.92,1000.0,12.0,143.04,23.84,14.32,https://www.tinkoff.ru/invest/bonds/RU000A106UK8/
57,МФК Мани Мен выпуск 3,RU000A103PS8,965.0,Средний,9.0,8.7,1000.0,12.0,104.4,0.0,10.82,https://www.tinkoff.ru/invest/bonds/RU000A103PS8/
58,Онлайн Микрофинанс выпуск 1,RU000A103406,980.0,Средний,5.0,8.87,1000.0,12.0,106.44,0.0,10.86,https://www.tinkoff.ru/invest/bonds/RU000A103406/
59,РКК выпуск 3,RU000A106GZ5,987.5,Средний,55.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106GZ5/
60,Пионер-Лизинг,RU000A104V00,999.6,Низкий,101.0,11.22,1000.0,12.0,134.64,89.76,13.47,https://www.tinkoff.ru/invest/bonds/RU000A104V00/
61,Лизинг трейд выпуск 3,RU000A1034X1,904.0,Средний,29.0,7.83,1000.0,12.0,93.96,15.66,10.39,https://www.tinkoff.ru/invest/bonds/RU000A1034X1/
62,Альфа Дон Транс выпуск 1,RU000A106Y70,1025.3,Средний,46.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106Y70/
63,УК ОРГ выпуск 3,RU000A106UB7,996.7,Средний,33.0,11.74,1000.0,12.0,140.88,23.48,14.13,https://www.tinkoff.ru/invest/bonds/RU000A106UB7/
64,Литана выпуск 1,RU000A1032S5,982.4,Низкий,5.0,28.19,1000.0,4.0,112.76,28.19,11.48,https://www.tinkoff.ru/invest/bonds/RU000A1032S5/
65,РКК выпуск 2,RU000A105ZW4,1027.6,Низкий,40.0,38.98,1000.0,4.0,155.92,389.8,15.17,https://www.tinkoff.ru/invest/bonds/RU000A105ZW4/
66,Боржоми выпуск 1,RU000A102SK1,973.8,28.02.2024,27.0,32.19,1000.0,2.0,64.38,418.47,6.61,https://www.tinkoff.ru/invest/bonds/RU000A102SK1/
67,МФК Займер выпуск 1,RU000A102TL7,990.0,Низкий,3.0,9.05,1000.0,12.0,108.6,0.0,10.97,https://www.tinkoff.ru/invest/bonds/RU000A102TL7/
68,РСХБ выпуск T1,RU000A0ZZ4T1,753.8,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ4T1/
69,АСПЭК-Домстрой выпуск 1,RU000A104B53,984.5,Низкий,13.0,31.41,1000.0,4.0,125.64,94.23,12.76,https://www.tinkoff.ru/invest/bonds/RU000A104B53/
70,УК ОРГ выпуск 2,RU000A106L67,999.9,Низкий,31.0,11.74,1000.0,12.0,140.88,23.48,14.09,https://www.tinkoff.ru/invest/bonds/RU000A106L67/
71,Завод КЭС выпуск 4,RU000A106QS9,934.6,Низкий,56.0,42.11,1000.0,4.0,168.44,589.54,18.02,https://www.tinkoff.ru/invest/bonds/RU000A106QS9/
72,МФК ВЭББАНКИР выпуск 4,RU000A106Y88,1005.7,Средний,39.0,14.27,1000.0,12.0,171.24,42.81,17.03,https://www.tinkoff.ru/invest/bonds/RU000A106Y88/
73,МаксимаТелеком выпуск 1,RU000A101XD8,919.7,17.01.2025,32.0,41.15,1000.0,2.0,82.3,658.4,8.95,https://www.tinkoff.ru/invest/bonds/RU000A101XD8/
74,АйДи Коллект выпуск 4,RU000A106XT3,1001.3,Средний,33.0,11.74,1000.0,12.0,140.88,23.48,14.07,https://www.tinkoff.ru/invest/bonds/RU000A106XT3/
75,Неолизинг выпуск 1,RU000A106PY9,1012.1,Средний,32.0,12.09,1000.0,12.0,145.08,24.18,14.33,https://www.tinkoff.ru/invest/bonds/RU000A106PY9/
76,МФК Саммит 1P-01,RU000A105UZ8,1035.9,Низкий,26.0,13.92,1000.0,12.0,167.04,27.84,16.13,https://www.tinkoff.ru/invest/bonds/RU000A105UZ8/
77,Энергоника 001Р-04,RU000A106R79,987.7,Средний,57.0,34.63,1000.0,4.0,138.52,484.82,14.02,https://www.tinkoff.ru/invest/bonds/RU000A106R79/
78,СмартФ1Р01,RU000A106CM2,982.4,Низкий,30.0,34.1,1000.0,4.0,136.4,238.7,13.88,https://www.tinkoff.ru/invest/bonds/RU000A106CM2/
79,БЭЛТИ-ГРАНД выпуск 4,RU000A103DY2,837.9885,Средний,39.0,7.83,895.0,12.0,93.96,23.49,11.21,https://www.tinkoff.ru/invest/bonds/RU000A103DY2/
80,РКК выпуск 1,RU000A105VP7,1038.2,Низкий,27.0,41.15,1000.0,4.0,164.6,246.9,15.85,https://www.tinkoff.ru/invest/bonds/RU000A105VP7/
81,Легенда выпуск 4,RU000A102Y66,946.7,Средний,16.0,21.58,1000.0,4.0,86.32,86.32,9.12,https://www.tinkoff.ru/invest/bonds/RU000A102Y66/
82,Талан-Финанс выпуск 3,RU000A1043B8,967.9,Низкий,18.0,28.19,1000.0,4.0,112.76,112.76,11.65,https://www.tinkoff.ru/invest/bonds/RU000A1043B8/
83,Хайтэк-Интеграция 1P-01,RU000A106151,973.4,Низкий,28.0,32.19,1000.0,4.0,128.76,225.33,13.23,https://www.tinkoff.ru/invest/bonds/RU000A106151/
84,СибАвтоТранс выпуск 1,RU000A105SZ2,1031.9,Низкий,38.0,38.98,1000.0,4.0,155.92,350.82,15.11,https://www.tinkoff.ru/invest/bonds/RU000A105SZ2/
85,Т.Г. Шевченко выпуск 3,RU000A104Z89,812.3,Средний,20.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104Z89/
86,Газпром Капитал БЗО26-1-Д,RU000A105QW3,71711.05994,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105QW3/
87,Т.Г. Шевченко выпуск 4,RU000A104ZU1,689.2,Средний,32.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104ZU1/
88,КОНТРОЛ лизинг выпуск 1,RU000A106T85,1002.6,Средний,56.0,11.57,1000.0,12.0,138.84,46.28,13.85,https://www.tinkoff.ru/invest/bonds/RU000A106T85/
89,Мани Капитал 001P-01,RU000A1074F4,1016.8,Средний,34.0,14.96,1000.0,12.0,179.52,29.92,17.66,https://www.tinkoff.ru/invest/bonds/RU000A1074F4/
90,ЭкономЛизинг 001Р-05,RU000A106R12,978.0,Низкий,33.0,33.58,1000.0,4.0,134.32,268.64,13.73,https://www.tinkoff.ru/invest/bonds/RU000A106R12/
91,Мосгорломбард выпуск 4,RU000A106MV2,990.3,Низкий,50.0,34.63,1000.0,4.0,138.52,415.56,13.99,https://www.tinkoff.ru/invest/bonds/RU000A106MV2/
92,Быстроденьги выпуск 2,RU000A102ZT7,987.6,Низкий,4.0,9.05,1000.0,12.0,108.6,0.0,11.0,https://www.tinkoff.ru/invest/bonds/RU000A102ZT7/
93,ТЕХНО Лизинг выпуск 5,RU000A103TS0,878.0,Средний,45.0,8.18,1000.0,12.0,98.16,24.54,11.18,https://www.tinkoff.ru/invest/bonds/RU000A103TS0/
94,МФК ЦФП выпуск 1,RU000A102T55,991.0,Низкий,3.0,9.57,1000.0,12.0,114.84,0.0,11.59,https://www.tinkoff.ru/invest/bonds/RU000A102T55/
95,КЛС-Трейд БО-02,RU000A105QL6,1018.5,Низкий,13.0,38.98,1000.0,4.0,155.92,116.94,15.31,https://www.tinkoff.ru/invest/bonds/RU000A105QL6/
96,Сбербанк 002СУБ-02R,RU000A102HC1,8000000.0,Средний,88.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102HC1/
97,МигКредит об01,RU000A103DA2,316.384,Низкий,7.0,2.78,320.0,12.0,33.36,0.0,10.54,https://www.tinkoff.ru/invest/bonds/RU000A103DA2/
98,МаксимаТелеком выпуск 2,RU000A102DK3,967.0,Средний,6.0,42.28,1000.0,2.0,84.56,126.84,8.74,https://www.tinkoff.ru/invest/bonds/RU000A102DK3/
99,МФК Займер выпуск 2,RU000A103CW8,660.06532,Низкий,7.0,6.0,666.8,12.0,72.0,0.0,10.91,https://www.tinkoff.ru/invest/bonds/RU000A103CW8/
100,А Девелопмент,RU000A104FX7,973.1,Низкий,14.0,30.02,1000.0,4.0,120.08,90.06,12.34,https://www.tinkoff.ru/invest/bonds/RU000A104FX7/
101,Айди Коллект выпуск 2,RU000A104JV3,1004.6,Низкий,14.0,11.74,1000.0,12.0,140.88,11.74,14.02,https://www.tinkoff.ru/invest/bonds/RU000A104JV3/
102,Айди Коллект выпуск 3,RU000A1065M8,982.0,Низкий,29.0,10.7,1000.0,12.0,128.4,21.4,13.08,https://www.tinkoff.ru/invest/bonds/RU000A1065M8/
103,Нафтатранс Плюс выпуск 3,RU000A102V51,936.8,Низкий,27.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102V51/
104,Бизнес Альянс 1Р-01,RU000A105YQ9,973.4,Низкий,28.0,32.19,1000.0,4.0,128.76,225.33,13.23,https://www.tinkoff.ru/invest/bonds/RU000A105YQ9/
105,МФК Займер выпуск 3,RU000A103QJ5,603.24475,Низкий,9.0,5.48,611.5,12.0,65.76,0.0,10.9,https://www.tinkoff.ru/invest/bonds/RU000A103QJ5/
106,СОБИЛИЗ1Р2,RU000A106AK0,924.584,Низкий,30.0,9.57,940.0,12.0,114.84,19.14,12.42,https://www.tinkoff.ru/invest/bonds/RU000A106AK0/
107,ПИМ выпуск 1,RU000A103WD6,984.2,Низкий,11.0,28.19,1000.0,4.0,112.76,56.38,11.46,https://www.tinkoff.ru/invest/bonds/RU000A103WD6/
108,Глобал Факторинг Нетворк Рус БО-02-001P,RU000A1060U2,1011.0,Низкий,33.0,11.74,1000.0,12.0,140.88,23.48,13.93,https://www.tinkoff.ru/invest/bonds/RU000A1060U2/
109,БЭЛТИ-ГРАНД БО-П05,RU000A105427,830.45,Средний,28.0,8.44,850.0,12.0,101.28,16.88,12.2,https://www.tinkoff.ru/invest/bonds/RU000A105427/
110,ДАРС-Девелопмент выпуск 1,RU000A106UM4,984.9,Средний,21.0,32.19,1000.0,4.0,128.76,160.95,13.07,https://www.tinkoff.ru/invest/bonds/RU000A106UM4/
111,ПЗ Пушкинское выпуск 1,RU000A104JF6,976.7,Средний,26.0,29.58,1000.0,4.0,118.32,177.48,12.11,https://www.tinkoff.ru/invest/bonds/RU000A104JF6/
112,Роял Капитал,RU000A104UF3,987.0,Низкий,18.0,32.19,1000.0,4.0,128.76,128.76,13.05,https://www.tinkoff.ru/invest/bonds/RU000A104UF3/
113,Нафтатранс Плюс выпуск 5,RU000A106Y21,1040.0,Средний,34.0,13.57,1000.0,12.0,162.84,27.14,15.66,https://www.tinkoff.ru/invest/bonds/RU000A106Y21/
114,ЛК РОДЕЛЕН 002P-01,RU000A107076,1000.8,12.01.2026,58.0,11.22,1000.0,12.0,134.64,44.88,13.45,https://www.tinkoff.ru/invest/bonds/RU000A107076/
115,Лизинг-Трейд 1P-08,RU000A106987,967.0,Низкий,53.0,10.35,1000.0,12.0,124.2,41.4,12.84,https://www.tinkoff.ru/invest/bonds/RU000A106987/
116,Реаторг 001Р-01,RU000A105BP9,1000.5,Низкий,23.0,34.63,1000.0,4.0,138.52,173.15,13.85,https://www.tinkoff.ru/invest/bonds/RU000A105BP9/
117,БЭЛТИ-ГРАНД БО-П06,RU000A1076A0,1002.1,Средний,59.0,12.09,1000.0,12.0,145.08,48.36,14.48,https://www.tinkoff.ru/invest/bonds/RU000A1076A0/
118,Глобал Факторинг Нетворк Рус выпуск 3,RU000A106LS0,979.8,Низкий,43.0,10.53,1000.0,12.0,126.36,31.59,12.9,https://www.tinkoff.ru/invest/bonds/RU000A106LS0/
119,СИБАВТО1Р2,RU000A106CB5,959.9,Низкий,54.0,31.41,1000.0,4.0,125.64,408.33,13.09,https://www.tinkoff.ru/invest/bonds/RU000A106CB5/
120,Электроаппарат БО-01,RU000A104WZ7,1000.6,Низкий,31.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A104WZ7/
121,Роял Капитал выпуск 9,RU000A106JC8,981.4,Средний,31.0,32.19,1000.0,4.0,128.76,225.33,13.12,https://www.tinkoff.ru/invest/bonds/RU000A106JC8/
122,ТрансФин-М 001Р-07,RU000A103M36,954.5,29.08.2024,93.0,21.23,1000.0,4.0,84.92,488.29,8.9,https://www.tinkoff.ru/invest/bonds/RU000A103M36/
123,ХК Финанс выпуск 8,RU000A104XU6,988.8,10.04.2024,19.0,28.19,1000.0,4.0,112.76,112.76,11.4,https://www.tinkoff.ru/invest/bonds/RU000A104XU6/
124,Энергоника 001Р-03,RU000A105492,888.12,Средний,45.0,30.45,900.0,4.0,121.8,334.95,13.71,https://www.tinkoff.ru/invest/bonds/RU000A105492/
125,Лизинг-Трейд выпуск 2,RU000A1029F8,895.79924,Средний,10.0,7.05,916.7,12.0,84.6,0.0,9.44,https://www.tinkoff.ru/invest/bonds/RU000A1029F8/
126,Сибстекло БО-П04,RU000A107209,1017.7,Средний,46.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107209/
127,Лизинг-Трейд 1P-07,RU000A105WZ4,977.9,Низкий,50.0,10.35,1000.0,12.0,124.2,41.4,12.7,https://www.tinkoff.ru/invest/bonds/RU000A105WZ4/
128,Кировский завод выпуск 2,RU000A102UZ5,979.4,Средний,28.0,20.53,1000.0,4.0,82.12,143.71,8.38,https://www.tinkoff.ru/invest/bonds/RU000A102UZ5/
129,РКС2Р3,RU000A106DV1,989.2,Средний,31.0,33.06,1000.0,4.0,132.24,231.42,13.37,https://www.tinkoff.ru/invest/bonds/RU000A106DV1/
130,Реиннольц,RU000A105LS2,1043.4,Низкий,36.0,38.98,1000.0,4.0,155.92,350.82,14.94,https://www.tinkoff.ru/invest/bonds/RU000A105LS2/
131,Глоракс 1P-01,RU000A105XF4,990.9,Средний,16.0,32.19,1000.0,4.0,128.76,128.76,12.99,https://www.tinkoff.ru/invest/bonds/RU000A105XF4/
132,РСХБ 09Т1,RU000A0ZZ505,780.3,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ505/
133,СПМК БО-01,RU000A105BW5,1031.2,Низкий,23.0,38.98,1000.0,4.0,155.92,194.9,15.12,https://www.tinkoff.ru/invest/bonds/RU000A105BW5/
134,Маныч-Агро,RU000A103K20,940.0,Средний,27.0,26.01,1000.0,4.0,104.04,156.06,11.07,https://www.tinkoff.ru/invest/bonds/RU000A103K20/
135,Соби-Лизинг 001P-01,RU000A105CL6,733.066,Низкий,23.0,7.83,730.0,12.0,93.96,7.83,12.82,https://www.tinkoff.ru/invest/bonds/RU000A105CL6/
136,Лизинг-Трейд выпуск 9,RU000A106GB6,958.0,Средний,54.0,10.0,1000.0,12.0,120.0,40.0,12.53,https://www.tinkoff.ru/invest/bonds/RU000A106GB6/
137,ГЛОРАКС 01,RU000A1053W3,969.8,Средний,21.0,29.58,1000.0,4.0,118.32,147.9,12.2,https://www.tinkoff.ru/invest/bonds/RU000A1053W3/
138,МФК ВЭББАНКИР 1P-02,RU000A105575,954.0,Низкий,27.0,11.4,1000.0,12.0,136.8,22.8,14.34,https://www.tinkoff.ru/invest/bonds/RU000A105575/
139,Охта Групп БО-П03,RU000A1070A3,1002.0,Средний,34.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1070A3/
140,Аренза-Про 001P-03,RU000A107217,1001.0,Средний,60.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107217/
141,Лизинг-Трейд 001P-10,RU000A107480,1047.0,Средний,58.0,14.27,1000.0,12.0,171.24,57.08,16.36,https://www.tinkoff.ru/invest/bonds/RU000A107480/
142,Талан-Финанс выпуск 2,RU000A102US0,593.7,Средний,4.0,13.66,600.0,4.0,54.64,13.66,9.2,https://www.tinkoff.ru/invest/bonds/RU000A102US0/
143,Электрощит-Стройсистема выпуск 2,RU000A101UD4,965.0,Средний,19.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A101UD4/
144,Лизинг-Трейд 001P-06,RU000A105RF6,980.5,Низкий,49.0,10.35,1000.0,12.0,124.2,41.4,12.67,https://www.tinkoff.ru/invest/bonds/RU000A105RF6/
145,re:Store выпуск 1,RU000A103935,958.8,Средний,7.0,17.49,1000.0,4.0,69.96,17.49,7.3,https://www.tinkoff.ru/invest/bonds/RU000A103935/
146,Охта Групп выпуск 2,RU000A1040V2,973.0,Низкий,12.0,27.06,1000.0,4.0,108.24,81.18,11.12,https://www.tinkoff.ru/invest/bonds/RU000A1040V2/
147,Интерлизинг выпуск 6,RU000A106SF2,965.0,Высокий,33.0,29.23,1000.0,4.0,116.92,233.84,12.12,https://www.tinkoff.ru/invest/bonds/RU000A106SF2/
148,ЭконЛиз1Р4,RU000A1067T9,970.8,Средний,30.0,29.58,1000.0,4.0,118.32,207.06,12.19,https://www.tinkoff.ru/invest/bonds/RU000A1067T9/
149,Солид-Лизинг БО-001-07,RU000A105P07,939.55,Низкий,24.0,9.83,950.0,12.0,117.96,19.66,12.55,https://www.tinkoff.ru/invest/bonds/RU000A105P07/
150,ГК Пионер-001Р выпуск 5,RU000A102KG6,807.3615,Средний,13.0,17.4,835.0,4.0,69.6,52.2,8.62,https://www.tinkoff.ru/invest/bonds/RU000A102KG6/
151,РЕСО-Лизинг БО-П выпуск 8,RU000A102K39,991.0,21.12.2023,84.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102K39/
152,Частная пивоварня Афанасий БО-01,RU000A107225,1015.0,Средний,35.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107225/
