,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
148,Солид-Лизинг БО-001-07,RU000A105P07,874.26,Низкий,22.0,2024-01-17,9.31,900.0,12.0,111.72,9.31,12.78,https://www.tinkoff.ru/invest/bonds/RU000A105P07/
149,Нафтатранс Плюс выпуск 5,RU000A106Y21,1028.2,Низкий,31.0,2024-01-24,13.57,1000.0,12.0,162.84,27.14,15.84,https://www.tinkoff.ru/invest/bonds/RU000A106Y21/
150,Гарант-Инвест 002P-07,RU000A106SK2,1000.0,Средний,54.0,2024-01-26,10.35,1000.0,12.0,124.2,41.4,12.42,https://www.tinkoff.ru/invest/bonds/RU000A106SK2/
151,ЭкономЛизинг выпуск 3,RU000A1030U5,988.0,Средний,3.0,2024-01-18,24.88,1000.0,4.0,99.52,0.0,10.07,https://www.tinkoff.ru/invest/bonds/RU000A1030U5/
152,РКС2Р3,RU000A106DV1,977.7,Средний,28.0,2024-03-18,33.06,1000.0,4.0,132.24,231.42,13.53,https://www.tinkoff.ru/invest/bonds/RU000A106DV1/
153,ДАРС-Девелопмент выпуск 1,RU000A106UM4,980.0,Средний,19.0,2024-03-07,32.19,1000.0,4.0,128.76,128.76,13.14,https://www.tinkoff.ru/invest/bonds/RU000A106UM4/
154,Центр-Резерв БО-02,RU000A1056T2,977.835,Низкий,31.0,2024-02-07,12.18,950.0,12.0,146.16,24.36,14.95,https://www.tinkoff.ru/invest/bonds/RU000A1056T2/
155,СИБАВТО1Р2,RU000A106CB5,942.0,Низкий,52.0,2024-03-05,31.41,1000.0,4.0,125.64,408.33,13.34,https://www.tinkoff.ru/invest/bonds/RU000A106CB5/
156,РусГидро БО-П12,RU000A106ZU6,1002.0,Высокий,56.0,2024-04-10,37.24,1000.0,4.0,148.96,521.36,14.87,https://www.tinkoff.ru/invest/bonds/RU000A106ZU6/
157,Саммит 001P-02,RU000A107AZ6,1021.5,Низкий,33.0,2024-01-30,14.96,1000.0,12.0,179.52,29.92,17.57,https://www.tinkoff.ru/invest/bonds/RU000A107AZ6/
158,ПР-Лизинг 002P-01,RU000A1022E6,959.7,Средний,66.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1022E6/
159,Соби-Лизинг 001P-01,RU000A105CL6,666.985,Низкий,21.0,2024-01-25,7.66,670.0,12.0,91.92,7.66,13.78,https://www.tinkoff.ru/invest/bonds/RU000A105CL6/
160,Маныч-Агро выпуск 1,RU000A1032D7,965.3,Средний,15.0,2024-01-26,26.01,1000.0,4.0,104.04,78.03,10.78,https://www.tinkoff.ru/invest/bonds/RU000A1032D7/
161,Агротек выпуск 1,RU000A105QZ6,1000.5,Низкий,26.0,2024-04-11,35.76,1000.0,4.0,143.04,214.56,14.3,https://www.tinkoff.ru/invest/bonds/RU000A105QZ6/
162,Группа Продовольствие 001P-03,RU000A106YN4,999.9,Низкий,31.0,2024-01-26,11.4,1000.0,12.0,136.8,22.8,13.68,https://www.tinkoff.ru/invest/bonds/RU000A106YN4/
163,Т.Г. Шевченко выпуск 2,RU000A101P92,972.2,Средний,15.0,2024-02-15,28.19,1000.0,4.0,112.76,84.57,11.6,https://www.tinkoff.ru/invest/bonds/RU000A101P92/
164,КЛС-Трейд БО-02,RU000A105QL6,1015.8,Низкий,11.0,2024-04-09,38.98,1000.0,4.0,155.92,77.96,15.35,https://www.tinkoff.ru/invest/bonds/RU000A105QL6/
165,Мосрегионлифт БО-02,RU000A106DJ6,996.5,Низкий,40.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106DJ6/
166,СПМК БО-01,RU000A105BW5,1022.0,Низкий,21.0,2024-01-25,38.98,1000.0,4.0,155.92,194.9,15.26,https://www.tinkoff.ru/invest/bonds/RU000A105BW5/
167,Банк ВТБ (ПАО) Б-1-346,RU000A107B35,1000.3,Высокий,34.0,2024-02-01,11.74,1000.0,12.0,140.88,23.48,14.08,https://www.tinkoff.ru/invest/bonds/RU000A107B35/
168,Брусника выпуск 2,RU000A102Y58,986.1,Средний,2.0,2024-04-01,20.79,1000.0,4.0,83.16,0.0,8.43,https://www.tinkoff.ru/invest/bonds/RU000A102Y58/
169,Лайфстрим БО-П02,RU000A1068S9,927.5,Средний,51.0,2024-02-15,29.23,1000.0,4.0,116.92,350.76,12.61,https://www.tinkoff.ru/invest/bonds/RU000A1068S9/
170,ТЕХНО Лизинг выпуск 3,RU000A102234,957.7,Средний,18.0,2024-02-07,8.87,1000.0,12.0,106.44,8.87,11.11,https://www.tinkoff.ru/invest/bonds/RU000A102234/
171,Лизинг-Трейд 001P-06,RU000A105RF6,964.4,Низкий,47.0,2024-02-13,10.35,1000.0,12.0,124.2,31.05,12.88,https://www.tinkoff.ru/invest/bonds/RU000A105RF6/
172,Газпром Капитал БЗО26-1-Е,RU000A105QX1,76130.9134273,Средний,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105QX1/
173,СУЭК-Финанс выпуск 6,RU000A102986,969.0,Средний,80.0,2024-04-18,29.06,1000.0,2.0,58.12,1162.4,6.0,https://www.tinkoff.ru/invest/bonds/RU000A102986/
174,Проект 111 001Р-01,RU000A106U90,965.9,Средний,31.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106U90/
175,ВИС Финанс выпуск 5,RU000A107D33,1000.4,Средний,46.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107D33/
176,СФО ВТБ РКС-1 выпуск 1,RU000A1032P1,886.1,Высокий,82.0,2024-02-01,5.83,1000.0,12.0,69.96,34.98,7.9,https://www.tinkoff.ru/invest/bonds/RU000A1032P1/
177,НЗРМ БО-01,RU000A104EP6,996.4,Средний,35.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A104EP6/
178,МигКредит об01,RU000A103DA2,237.84,Низкий,5.0,2024-01-28,2.09,240.0,12.0,25.08,0.0,10.54,https://www.tinkoff.ru/invest/bonds/RU000A103DA2/
179,Лизинг-Трейд выпуск 2,RU000A1029F8,735.47305,Средний,8.0,2024-02-04,5.74,750.1,12.0,68.88,0.0,9.37,https://www.tinkoff.ru/invest/bonds/RU000A1029F8/
180,Лайфстрим выпуск 1,RU000A102QX8,996.6,Средний,0.0,2024-02-06,21.66,1000.0,4.0,86.64,0.0,8.69,https://www.tinkoff.ru/invest/bonds/RU000A102QX8/
181,ЛК Эволюция 001P-01,RU000A107GV2,1009.0,Средний,35.0,2024-03-26,36.28,1000.0,4.0,145.12,290.24,14.38,https://www.tinkoff.ru/invest/bonds/RU000A107GV2/
182,МаксимаТелеком выпуск 1,RU000A101XD8,939.2,Средний,29.0,2024-01-16,41.15,1000.0,2.0,82.3,576.1,8.76,https://www.tinkoff.ru/invest/bonds/RU000A101XD8/
183,Роял Капитал БО-П08,RU000A1056Q8,997.2,Средний,19.0,2024-03-13,34.63,1000.0,4.0,138.52,138.52,13.89,https://www.tinkoff.ru/invest/bonds/RU000A1056Q8/
184,МБЭС выпуск 2,RU000A101RJ7,960.3,Средний,76.0,2024-06-10,26.88,1000.0,2.0,53.76,1021.44,5.6,https://www.tinkoff.ru/invest/bonds/RU000A101RJ7/
185,Реиннольц,RU000A105LS2,1031.8,Низкий,34.0,2024-03-12,38.98,1000.0,4.0,155.92,311.84,15.11,https://www.tinkoff.ru/invest/bonds/RU000A105LS2/
186,Маныч-Агро,RU000A103K20,933.9,Средний,24.0,2024-02-15,26.01,1000.0,4.0,104.04,156.06,11.14,https://www.tinkoff.ru/invest/bonds/RU000A103K20/
187,ПЗ Пушкинское выпуск 1,RU000A104JF6,975.3,Средний,24.0,2024-02-12,29.58,1000.0,4.0,118.32,177.48,12.13,https://www.tinkoff.ru/invest/bonds/RU000A104JF6/
188,Сбербанк 002СУБ-02R,RU000A102HC1,8000000.0,Средний,85.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102HC1/
189,Феррони БО-01,RU000A1053R3,1054.7,Низкий,18.0,2024-02-09,14.27,1000.0,12.0,171.24,14.27,16.24,https://www.tinkoff.ru/invest/bonds/RU000A1053R3/
190,ГТЛК выпуск 9,RU000A0ZZ1J8,943.9,Средний,110.0,2024-03-29,15.92,1000.0,4.0,63.68,429.84,6.75,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ1J8/
191,Элит Строй выпуск 1,RU000A103M85,985.1,Средний,6.0,2024-01-18,10.0,1000.0,12.0,120.0,0.0,12.18,https://www.tinkoff.ru/invest/bonds/RU000A103M85/
192,ТрансФин-М 001Р выпуск 4,RU000A0ZYEB1,885.9,Средний,44.0,2024-04-18,43.33,1000.0,2.0,86.66,953.26,9.78,https://www.tinkoff.ru/invest/bonds/RU000A0ZYEB1/
193,ВТБ Б-1-343,RU000A106TM6,1006.5,Высокий,31.0,2024-02-01,11.74,1000.0,12.0,140.88,23.48,14.0,https://www.tinkoff.ru/invest/bonds/RU000A106TM6/
194,БЭЛТИ-ГРАНД БО-П06,RU000A1076A0,1000.0,Низкий,56.0,2024-02-06,12.09,1000.0,12.0,145.08,48.36,14.51,https://www.tinkoff.ru/invest/bonds/RU000A1076A0/
195,ГК Пионер-001Р выпуск 5,RU000A102KG6,647.622,Средний,11.0,2024-03-19,14.09,670.0,4.0,56.36,28.18,8.7,https://www.tinkoff.ru/invest/bonds/RU000A102KG6/
196,ГТЛК 002P выпуск 1,RU000A102VR0,950.0,Средний,145.0,2024-03-18,16.96,1000.0,4.0,67.84,610.56,7.14,https://www.tinkoff.ru/invest/bonds/RU000A102VR0/
197,Группа Продовольствие 001P-01,RU000A103455,989.0,Средний,3.0,2024-02-08,8.53,1000.0,12.0,102.36,0.0,10.35,https://www.tinkoff.ru/invest/bonds/RU000A103455/
198,ИНАРКТИКА выпуск 1,RU000A102TT0,990.7,Высокий,1.0,2024-03-06,41.15,1000.0,2.0,82.3,0.0,8.31,https://www.tinkoff.ru/invest/bonds/RU000A102TT0/
199,Аренза-Про выпуск 1,RU000A104C78,396.12,Средний,11.0,2024-03-25,12.53,400.0,4.0,50.12,25.06,12.65,https://www.tinkoff.ru/invest/bonds/RU000A104C78/
200,Вита Лайн 001Р выпуск 2,RU000A102B97,956.1,Средний,21.0,2024-01-30,21.14,1000.0,4.0,84.56,105.7,8.84,https://www.tinkoff.ru/invest/bonds/RU000A102B97/
