,Название,Код,Цена,Рейтинг,Срок(месяца),Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
0,Ferroni выпуск 1,RU000A103XP8,874.0,Низкий,22.0,9.22,1000.0,12.0,110.64,9.22,12.66,https://www.tinkoff.ru/invest/bonds/RU000A103XP8/
1,Роснано выпуск 8,RU000A1008V9,847.0,Средний,52.0,58.2,1000.0,2.0,116.4,1513.2,13.74,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/
2,Роснано БО-002P выпуск 5,RU000A102HB3,965.2,Низкий,1.0,29.23,1000.0,2.0,58.46,0.0,6.06,https://www.tinkoff.ru/invest/bonds/RU000A102HB3/
3,Газпром капитал ЗО23-1-Е,RU000A105BL8,98020.989,Высокий,0.0,2691.78,99011.1,1.0,2691.78,0.0,2.75,https://www.tinkoff.ru/invest/bonds/RU000A105BL8/
4,Alfa Bank,RU000A100GW5,8500000.0,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/
5,СПМК БО-02,RU000A106FN3,955.6,Низкий,43.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106FN3/
6,Роснано БО-002P выпуск 4,RU000A101KK0,928.8,Низкий,4.0,14.79,1000.0,4.0,59.16,14.79,6.37,https://www.tinkoff.ru/invest/bonds/RU000A101KK0/
7,Агрофирма-племзавод Победа выпуск 1,RU000A102S23,968.8,Низкий,3.0,21.14,1000.0,4.0,84.56,0.0,8.73,https://www.tinkoff.ru/invest/bonds/RU000A102S23/
8,М.Видео выпуск 4,RU000A106540,903.8,23.04.2025,29.0,28.27,1000.0,4.0,113.08,197.89,12.51,https://www.tinkoff.ru/invest/bonds/RU000A106540/
9,Газпром Капитал БЗО26-1-Е,RU000A105QX1,70000.8477,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105QX1/
10,М.Видео выпуск 3,RU000A104ZK2,890.0,Низкий,20.0,26.71,1000.0,4.0,106.84,133.55,12.0,https://www.tinkoff.ru/invest/bonds/RU000A104ZK2/
11,Сегежа,RU000A104UA4,995.2,Средний,162.0,23.84,1000.0,4.0,95.36,953.6,9.58,https://www.tinkoff.ru/invest/bonds/RU000A104UA4/
12,Феррони БО-01,RU000A1053R3,1003.8,21.11.2023,20.0,11.74,1000.0,12.0,140.88,11.74,14.03,https://www.tinkoff.ru/invest/bonds/RU000A1053R3/
13,МФК Эйрлоанс выпуск 1,RU000A1043L7,940.8,Низкий,17.0,9.4,1000.0,12.0,112.8,9.4,11.99,https://www.tinkoff.ru/invest/bonds/RU000A1043L7/
14,АПРИ Флай Плэнинг выпуск 3,RU000A106WZ2,1013.2,Средний,46.0,45.5,1000.0,4.0,182.0,500.5,17.96,https://www.tinkoff.ru/invest/bonds/RU000A106WZ2/
15,Сегежа 002P выпуск 5,RU000A1053P7,846.0,Средний,164.0,46.11,1000.0,2.0,92.22,3781.02,10.9,https://www.tinkoff.ru/invest/bonds/RU000A1053P7/
16,АПРИ Флай Плэнинг БО-П5,RU000A103N19,926.4,Низкий,21.0,28.19,1000.0,4.0,112.76,140.95,12.17,https://www.tinkoff.ru/invest/bonds/RU000A103N19/
17,Сегежа Групп 003P-02R,RU000A105SP3,896.0,07.05.2025,170.0,22.97,1000.0,4.0,91.88,964.74,10.25,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/
18,Феррони БО-02,RU000A105P64,978.7,Низкий,25.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105P64/
19,М.Видео выпуск 2,RU000A103HT3,928.4,Низкий,8.0,17.49,1000.0,4.0,69.96,34.98,7.54,https://www.tinkoff.ru/invest/bonds/RU000A103HT3/
20,АПРИ Флай Плэнинг БО-П05,RU000A104WA0,997.0,Низкий,19.0,38.98,1000.0,4.0,155.92,155.92,15.64,https://www.tinkoff.ru/invest/bonds/RU000A104WA0/
21,Селлер выпуск 2,RU000A106X30,999.5,Низкий,33.0,12.79,1000.0,12.0,153.48,25.58,15.36,https://www.tinkoff.ru/invest/bonds/RU000A106X30/
22,НИКА обб01,RU000A1050X7,968.8,Низкий,20.0,32.19,1000.0,4.0,128.76,160.95,13.29,https://www.tinkoff.ru/invest/bonds/RU000A1050X7/
23,АПРИ Флай Плэнинг БО-2Р-02,RU000A106631,997.5,Низкий,41.0,38.98,1000.0,4.0,155.92,389.8,15.63,https://www.tinkoff.ru/invest/bonds/RU000A106631/
24,АПРИ Флай Плэнинг,RU000A105DS9,1025.8,21.11.2023,35.0,52.03,1000.0,4.0,208.12,416.24,20.29,https://www.tinkoff.ru/invest/bonds/RU000A105DS9/
25,Сегежа 002P выпуск 1,RU000A1041B2,923.0,18.11.2024,155.0,42.72,1000.0,2.0,85.44,3289.44,9.26,https://www.tinkoff.ru/invest/bonds/RU000A1041B2/
26,Пионер-Лизинг-БО-П03,RU000A1013N6,1043.2,Низкий,70.0,13.57,1000.0,12.0,162.84,67.85,15.61,https://www.tinkoff.ru/invest/bonds/RU000A1013N6/
27,Селлер выпуск 1,RU000A106KY0,1002.8,Низкий,20.0,12.79,1000.0,12.0,153.48,12.79,15.31,https://www.tinkoff.ru/invest/bonds/RU000A106KY0/
28,Сегежа 002P выпуск 3,RU000A104FG2,985.4,Средний,157.0,23.58,1000.0,4.0,94.32,919.62,9.57,https://www.tinkoff.ru/invest/bonds/RU000A104FG2/
29,Фордевинд2,RU000A106DK4,967.7,Низкий,30.0,11.4,1000.0,12.0,136.8,22.8,14.14,https://www.tinkoff.ru/invest/bonds/RU000A106DK4/
30,Фордевинд 03,RU000A106Q47,961.6,Низкий,38.0,11.4,1000.0,12.0,136.8,34.2,14.23,https://www.tinkoff.ru/invest/bonds/RU000A106Q47/
31,Эфферон выпуск 1,RU000A105H98,926.2,Средний,48.0,37.93,1000.0,4.0,151.72,455.16,16.38,https://www.tinkoff.ru/invest/bonds/RU000A105H98/
32,Ника 001P-02,RU000A106U74,980.9,Средний,57.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106U74/
33,Руссойл БО-01,RU000A1074E7,1000.5,Средний,35.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1074E7/
34,Фордевинд 04,RU000A106SE5,989.7,Низкий,39.0,12.09,1000.0,12.0,145.08,36.27,14.66,https://www.tinkoff.ru/invest/bonds/RU000A106SE5/
35,Пионер-Лизинг-БО-П02,RU000A1006C3,1062.7,Низкий,62.0,13.75,1000.0,12.0,165.0,68.75,15.53,https://www.tinkoff.ru/invest/bonds/RU000A1006C3/
36,ТЕХНО Лизинг выпуск 4,RU000A1032X5,876.3,Средний,29.0,7.66,1000.0,12.0,91.92,15.32,10.49,https://www.tinkoff.ru/invest/bonds/RU000A1032X5/
37,МФК Лайм-Займ 1Р-02,RU000A106CJ8,986.7,Низкий,30.0,11.74,1000.0,12.0,140.88,23.48,14.28,https://www.tinkoff.ru/invest/bonds/RU000A106CJ8/
38,МФК ВЭББАНКИР выпуск 1,RU000A103F43,970.0,Низкий,13.0,9.05,1000.0,12.0,108.6,9.05,11.2,https://www.tinkoff.ru/invest/bonds/RU000A103F43/
39,МФК ЦФП выпуск 2,RU000A103GL2,971.9,Низкий,8.0,9.22,1000.0,12.0,110.64,0.0,11.38,https://www.tinkoff.ru/invest/bonds/RU000A103GL2/
40,Трейдберри БО-01,RU000A106VN0,1009.2,Средний,33.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106VN0/
41,МФК Мани Мен выпуск 3,RU000A103PS8,963.0,Средний,9.0,8.7,1000.0,12.0,104.4,0.0,10.84,https://www.tinkoff.ru/invest/bonds/RU000A103PS8/
42,Литана выпуск 1,RU000A1032S5,980.0,Низкий,5.0,28.19,1000.0,4.0,112.76,28.19,11.51,https://www.tinkoff.ru/invest/bonds/RU000A1032S5/
43,РКК выпуск 3,RU000A106GZ5,986.0,Средний,55.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106GZ5/
44,Плаза-Телеком БО-01,RU000A106YD5,998.2,Средний,34.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106YD5/
45,ПИМ выпуск 2,RU000A106NT4,946.8,Низкий,32.0,31.41,1000.0,4.0,125.64,251.28,13.27,https://www.tinkoff.ru/invest/bonds/RU000A106NT4/
46,Онлайн Микрофинанс выпуск 1,RU000A103406,977.4,Средний,5.0,8.87,1000.0,12.0,106.44,0.0,10.89,https://www.tinkoff.ru/invest/bonds/RU000A103406/
47,АСВ выпуск 1,RU000A106RB3,994.3,Низкий,33.0,36.8,1000.0,4.0,147.2,294.4,14.8,https://www.tinkoff.ru/invest/bonds/RU000A106RB3/
48,МФК Лайм-Займ выпуск 2,RU000A105AJ4,831.92,Низкий,22.0,11.4,800.0,12.0,136.8,11.4,16.44,https://www.tinkoff.ru/invest/bonds/RU000A105AJ4/
49,Быстроденьги 2P-02,RU000A106B51,978.5,Низкий,36.0,11.4,1000.0,12.0,136.8,34.2,13.98,https://www.tinkoff.ru/invest/bonds/RU000A106B51/
50,МигКредит выпуск 2,RU000A106KT0,968.9,Низкий,31.0,10.53,1000.0,12.0,126.36,21.06,13.04,https://www.tinkoff.ru/invest/bonds/RU000A106KT0/
51,AzurDrive выпуск 1,RU000A106TJ2,967.1,Средний,45.0,11.4,1000.0,12.0,136.8,34.2,14.15,https://www.tinkoff.ru/invest/bonds/RU000A106TJ2/
52,МигКредит выпуск 2,RU000A106UK8,999.1,Средний,33.0,11.92,1000.0,12.0,143.04,23.84,14.32,https://www.tinkoff.ru/invest/bonds/RU000A106UK8/
53,ХК Финанс выпуск 8,RU000A104XU6,982.9,10.04.2024,19.0,28.19,1000.0,4.0,112.76,112.76,11.47,https://www.tinkoff.ru/invest/bonds/RU000A104XU6/
54,МФК Фордевинд,RU000A105849,943.828,Низкий,21.0,13.05,920.0,12.0,156.6,13.05,16.59,https://www.tinkoff.ru/invest/bonds/RU000A105849/
55,Газпром Капитал БЗО26-1-Д,RU000A105QW3,71488.17084,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105QW3/
56,Пионер-Лизинг,RU000A104V00,999.9,Низкий,101.0,11.22,1000.0,12.0,134.64,89.76,13.47,https://www.tinkoff.ru/invest/bonds/RU000A104V00/
57,Альфа Дон Транс выпуск 1,RU000A106Y70,1023.0,Средний,46.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106Y70/
58,МФК Лайм-Займ выпуск 1,RU000A104AX8,698.6,Низкий,13.0,25.4,700.0,4.0,101.6,76.2,14.54,https://www.tinkoff.ru/invest/bonds/RU000A104AX8/
59,ВТБ СУБ выпуск 1,RU000A102QJ7,7640507.5875,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102QJ7/
60,РКК выпуск 2,RU000A105ZW4,1024.5,Низкий,40.0,38.98,1000.0,4.0,155.92,389.8,15.22,https://www.tinkoff.ru/invest/bonds/RU000A105ZW4/
61,Славянск ЭКО выпуск 1,RU000A103WB0,947.5,Средний,35.0,23.84,1000.0,4.0,95.36,190.72,10.06,https://www.tinkoff.ru/invest/bonds/RU000A103WB0/
62,Боржоми выпуск 1,RU000A102SK1,973.0,28.02.2024,27.0,32.19,1000.0,2.0,64.38,418.47,6.62,https://www.tinkoff.ru/invest/bonds/RU000A102SK1/
63,АСПЭК-Домстрой выпуск 1,RU000A104B53,983.9,Низкий,13.0,31.41,1000.0,4.0,125.64,94.23,12.77,https://www.tinkoff.ru/invest/bonds/RU000A104B53/
64,ПИМ выпуск 1,RU000A103WD6,979.3,Низкий,11.0,28.19,1000.0,4.0,112.76,56.38,11.51,https://www.tinkoff.ru/invest/bonds/RU000A103WD6/
65,РСХБ выпуск T1,RU000A0ZZ4T1,755.3,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ4T1/
