,Название,Код,Цена,Рейтинг,Срок(месяца),Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
66,УК ОРГ выпуск 2,RU000A106L67,1000.1,Низкий,32.0,11.74,1000.0,12.0,140.88,23.48,14.09,https://www.tinkoff.ru/invest/bonds/RU000A106L67/
67,КЛС-Трейд БО-02,RU000A105QL6,1013.5,Низкий,13.0,38.98,1000.0,4.0,155.92,116.94,15.38,https://www.tinkoff.ru/invest/bonds/RU000A105QL6/
68,Лизинг трейд выпуск 3,RU000A1034X1,907.0,Средний,29.0,7.83,1000.0,12.0,93.96,15.66,10.36,https://www.tinkoff.ru/invest/bonds/RU000A1034X1/
69,АйДи Коллект выпуск 4,RU000A106XT3,1001.3,Средний,34.0,11.74,1000.0,12.0,140.88,23.48,14.07,https://www.tinkoff.ru/invest/bonds/RU000A106XT3/
70,МФК ВЭББАНКИР выпуск 4,RU000A106Y88,1006.8,Средний,40.0,14.27,1000.0,12.0,171.24,42.81,17.01,https://www.tinkoff.ru/invest/bonds/RU000A106Y88/
71,Завод КЭС выпуск 4,RU000A106QS9,933.3,Низкий,57.0,42.11,1000.0,4.0,168.44,589.54,18.05,https://www.tinkoff.ru/invest/bonds/RU000A106QS9/
72,М.Видео выпуск 1,RU000A103117,975.0,Низкий,5.0,47.68,1000.0,2.0,95.36,95.36,9.78,https://www.tinkoff.ru/invest/bonds/RU000A103117/
73,МигКредит об01,RU000A103DA2,315.552,Низкий,7.0,2.78,320.0,12.0,33.36,0.0,10.57,https://www.tinkoff.ru/invest/bonds/RU000A103DA2/
74,ГЛОРАКС 01,RU000A1053W3,960.0,Средний,21.0,29.58,1000.0,4.0,118.32,147.9,12.32,https://www.tinkoff.ru/invest/bonds/RU000A1053W3/
75,РКК выпуск 1,RU000A105VP7,1038.0,Низкий,27.0,41.15,1000.0,4.0,164.6,246.9,15.86,https://www.tinkoff.ru/invest/bonds/RU000A105VP7/
76,МаксимаТелеком выпуск 1,RU000A101XD8,922.1,17.01.2025,32.0,41.15,1000.0,2.0,82.3,658.4,8.93,https://www.tinkoff.ru/invest/bonds/RU000A101XD8/
77,Энергоника 001Р-04,RU000A106R79,986.5,Средний,57.0,34.63,1000.0,4.0,138.52,484.82,14.04,https://www.tinkoff.ru/invest/bonds/RU000A106R79/
78,Джи-групп выпуск 2,RU000A103JR3,605.64,21.12.2023,9.0,13.75,600.0,4.0,55.0,27.5,9.08,https://www.tinkoff.ru/invest/bonds/RU000A103JR3/
79,МаксимаТелеком выпуск 2,RU000A102DK3,963.7,Средний,6.0,42.28,1000.0,2.0,84.56,126.84,8.77,https://www.tinkoff.ru/invest/bonds/RU000A102DK3/
80,Верхнебаканский цементный завод 001P выпуск 1,RU000A0ZYLK7,983.5,Средний,49.0,1.57,1000.0,4.0,6.28,18.84,0.64,https://www.tinkoff.ru/invest/bonds/RU000A0ZYLK7/
81,МФК Саммит 1P-01,RU000A105UZ8,1036.2,Низкий,26.0,13.92,1000.0,12.0,167.04,27.84,16.12,https://www.tinkoff.ru/invest/bonds/RU000A105UZ8/
82,Неолизинг выпуск 1,RU000A106PY9,1013.8,Средний,32.0,12.09,1000.0,12.0,145.08,24.18,14.31,https://www.tinkoff.ru/invest/bonds/RU000A106PY9/
83,Мани Капитал 001P-01,RU000A1074F4,1014.1,Средний,35.0,14.96,1000.0,12.0,179.52,29.92,17.7,https://www.tinkoff.ru/invest/bonds/RU000A1074F4/
84,Талан-Финанс выпуск 3,RU000A1043B8,967.9,Низкий,18.0,28.19,1000.0,4.0,112.76,112.76,11.65,https://www.tinkoff.ru/invest/bonds/RU000A1043B8/
85,Т.Г. Шевченко выпуск 3,RU000A104Z89,809.3,Средний,20.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104Z89/
86,УК ОРГ выпуск 3,RU000A106UB7,1006.4,Средний,33.0,11.74,1000.0,12.0,140.88,23.48,14.0,https://www.tinkoff.ru/invest/bonds/RU000A106UB7/
87,СибАвтоТранс выпуск 1,RU000A105SZ2,1032.7,Низкий,38.0,38.98,1000.0,4.0,155.92,350.82,15.1,https://www.tinkoff.ru/invest/bonds/RU000A105SZ2/
88,МФК Займер выпуск 3,RU000A103QJ5,602.939,Низкий,9.0,5.48,611.5,12.0,65.76,0.0,10.91,https://www.tinkoff.ru/invest/bonds/RU000A103QJ5/
89,РКС2Р3,RU000A106DV1,977.1,Средний,31.0,33.06,1000.0,4.0,132.24,231.42,13.53,https://www.tinkoff.ru/invest/bonds/RU000A106DV1/
90,Энергоника 001Р-03,RU000A105492,879.57,Средний,45.0,30.45,900.0,4.0,121.8,334.95,13.85,https://www.tinkoff.ru/invest/bonds/RU000A105492/
91,МФК Займер выпуск 2,RU000A103CW8,658.59836,Низкий,7.0,6.0,666.8,12.0,72.0,0.0,10.93,https://www.tinkoff.ru/invest/bonds/RU000A103CW8/
92,КОНТРОЛ лизинг выпуск 1,RU000A106T85,1003.8,Средний,56.0,11.57,1000.0,12.0,138.84,46.28,13.83,https://www.tinkoff.ru/invest/bonds/RU000A106T85/
93,Мосгорломбард выпуск 4,RU000A106MV2,991.1,Низкий,50.0,34.63,1000.0,4.0,138.52,415.56,13.98,https://www.tinkoff.ru/invest/bonds/RU000A106MV2/
94,Хайтэк-Интеграция 1P-01,RU000A106151,976.9,Низкий,28.0,32.19,1000.0,4.0,128.76,225.33,13.18,https://www.tinkoff.ru/invest/bonds/RU000A106151/
95,ТЕХНО Лизинг выпуск 5,RU000A103TS0,880.9,Средний,45.0,8.18,1000.0,12.0,98.16,24.54,11.14,https://www.tinkoff.ru/invest/bonds/RU000A103TS0/
96,Бизнес Альянс 1Р-01,RU000A105YQ9,973.1,Низкий,28.0,32.19,1000.0,4.0,128.76,225.33,13.23,https://www.tinkoff.ru/invest/bonds/RU000A105YQ9/
97,А Девелопмент,RU000A104FX7,971.7,Низкий,14.0,30.02,1000.0,4.0,120.08,90.06,12.36,https://www.tinkoff.ru/invest/bonds/RU000A104FX7/
98,СмартФ1Р01,RU000A106CM2,991.1,Низкий,30.0,34.1,1000.0,4.0,136.4,238.7,13.76,https://www.tinkoff.ru/invest/bonds/RU000A106CM2/
99,ЭкономЛизинг 001Р-05,RU000A106R12,986.0,Низкий,33.0,33.58,1000.0,4.0,134.32,268.64,13.62,https://www.tinkoff.ru/invest/bonds/RU000A106R12/
100,Глобал Факторинг Нетворк Рус выпуск 3,RU000A106LS0,976.0,Низкий,43.0,10.53,1000.0,12.0,126.36,31.59,12.95,https://www.tinkoff.ru/invest/bonds/RU000A106LS0/
101,Быстроденьги выпуск 2,RU000A102ZT7,988.4,Низкий,4.0,9.05,1000.0,12.0,108.6,0.0,10.99,https://www.tinkoff.ru/invest/bonds/RU000A102ZT7/
102,Кировский завод выпуск 2,RU000A102UZ5,975.2,Средний,28.0,20.53,1000.0,4.0,82.12,143.71,8.42,https://www.tinkoff.ru/invest/bonds/RU000A102UZ5/
103,СОБИЛИЗ1Р2,RU000A106AK0,921.858,Низкий,30.0,9.57,940.0,12.0,114.84,19.14,12.46,https://www.tinkoff.ru/invest/bonds/RU000A106AK0/
104,Айди Коллект выпуск 3,RU000A1065M8,983.5,Низкий,29.0,10.7,1000.0,12.0,128.4,21.4,13.06,https://www.tinkoff.ru/invest/bonds/RU000A1065M8/
105,Т.Г. Шевченко выпуск 4,RU000A104ZU1,693.7,Средний,32.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104ZU1/
106,Айди Коллект выпуск 2,RU000A104JV3,1007.7,Низкий,14.0,11.74,1000.0,12.0,140.88,11.74,13.98,https://www.tinkoff.ru/invest/bonds/RU000A104JV3/
107,ДАРС-Девелопмент выпуск 1,RU000A106UM4,984.9,Средний,21.0,32.19,1000.0,4.0,128.76,160.95,13.07,https://www.tinkoff.ru/invest/bonds/RU000A106UM4/
108,СПМК БО-01,RU000A105BW5,1027.9,Низкий,23.0,38.98,1000.0,4.0,155.92,194.9,15.17,https://www.tinkoff.ru/invest/bonds/RU000A105BW5/
109,Лизинг-Трейд 1P-08,RU000A106987,966.2,Низкий,53.0,10.35,1000.0,12.0,124.2,41.4,12.85,https://www.tinkoff.ru/invest/bonds/RU000A106987/
110,Сибстекло БО-П04,RU000A107209,1016.0,Средний,46.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107209/
111,Реаторг 001Р-01,RU000A105BP9,1000.8,Низкий,23.0,34.63,1000.0,4.0,138.52,173.15,13.84,https://www.tinkoff.ru/invest/bonds/RU000A105BP9/
112,ПЗ Пушкинское выпуск 1,RU000A104JF6,977.2,Средний,27.0,29.58,1000.0,4.0,118.32,177.48,12.11,https://www.tinkoff.ru/invest/bonds/RU000A104JF6/
113,Лизинг-Трейд 1P-07,RU000A105WZ4,970.1,Низкий,51.0,10.35,1000.0,12.0,124.2,41.4,12.8,https://www.tinkoff.ru/invest/bonds/RU000A105WZ4/
114,ЛК РОДЕЛЕН 002P-01,RU000A107076,1002.3,12.01.2026,58.0,11.22,1000.0,12.0,134.64,44.88,13.43,https://www.tinkoff.ru/invest/bonds/RU000A107076/
115,Лизинг-Трейд выпуск 9,RU000A106GB6,955.2,Средний,54.0,10.0,1000.0,12.0,120.0,40.0,12.56,https://www.tinkoff.ru/invest/bonds/RU000A106GB6/
116,РСХБ 09Т1,RU000A0ZZ505,779.6,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ505/
117,Лизинг-Трейд выпуск 2,RU000A1029F8,896.25759,Средний,10.0,7.05,916.7,12.0,84.6,0.0,9.44,https://www.tinkoff.ru/invest/bonds/RU000A1029F8/
118,Роял Капитал,RU000A104UF3,989.0,Низкий,18.0,32.19,1000.0,4.0,128.76,128.76,13.02,https://www.tinkoff.ru/invest/bonds/RU000A104UF3/
119,Глобал Факторинг Нетворк Рус БО-02-001P,RU000A1060U2,1014.9,Низкий,34.0,11.74,1000.0,12.0,140.88,23.48,13.88,https://www.tinkoff.ru/invest/bonds/RU000A1060U2/
120,Легенда выпуск 4,RU000A102Y66,952.0,Средний,17.0,21.58,1000.0,4.0,86.32,86.32,9.07,https://www.tinkoff.ru/invest/bonds/RU000A102Y66/
121,ТрансФин-М 001Р-07,RU000A103M36,955.9,29.08.2024,93.0,21.23,1000.0,4.0,84.92,488.29,8.88,https://www.tinkoff.ru/invest/bonds/RU000A103M36/
122,Лизинг-Трейд 001P-06,RU000A105RF6,974.2,Низкий,49.0,10.35,1000.0,12.0,124.2,41.4,12.75,https://www.tinkoff.ru/invest/bonds/RU000A105RF6/
123,Роял Капитал выпуск 9,RU000A106JC8,984.4,Средний,32.0,32.19,1000.0,4.0,128.76,257.52,13.08,https://www.tinkoff.ru/invest/bonds/RU000A106JC8/
124,ТЕХНО Лизинг выпуск 3,RU000A102234,958.7,Средний,20.0,8.87,1000.0,12.0,106.44,8.87,11.1,https://www.tinkoff.ru/invest/bonds/RU000A102234/
125,Аренза-Про 001P-03,RU000A107217,1000.2,Средний,60.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107217/
126,СИБАВТО1Р2,RU000A106CB5,966.0,Низкий,54.0,31.41,1000.0,4.0,125.64,408.33,13.01,https://www.tinkoff.ru/invest/bonds/RU000A106CB5/
127,Электроаппарат БО-01,RU000A104WZ7,999.8,Низкий,31.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A104WZ7/
128,Лизинг-Трейд 001P-10,RU000A107480,1045.9,Средний,58.0,14.27,1000.0,12.0,171.24,57.08,16.37,https://www.tinkoff.ru/invest/bonds/RU000A107480/
129,Сбербанк 002СУБ-02R,RU000A102HC1,8000000.0,Средний,88.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102HC1/
130,МФК Займер выпуск 1,RU000A102TL7,992.0,Низкий,3.0,9.05,1000.0,12.0,108.6,0.0,10.95,https://www.tinkoff.ru/invest/bonds/RU000A102TL7/
131,Глоракс 1P-01,RU000A105XF4,993.1,Средний,16.0,32.19,1000.0,4.0,128.76,128.76,12.97,https://www.tinkoff.ru/invest/bonds/RU000A105XF4/
132,Солид-Лизинг БО-001-07,RU000A105P07,938.505,Низкий,24.0,9.83,950.0,12.0,117.96,19.66,12.57,https://www.tinkoff.ru/invest/bonds/RU000A105P07/
133,Нафтатранс Плюс выпуск 5,RU000A106Y21,1042.7,Средний,34.0,13.57,1000.0,12.0,162.84,27.14,15.62,https://www.tinkoff.ru/invest/bonds/RU000A106Y21/
134,Мосгорломбард выпуск 3,RU000A106FW4,1013.7,Низкий,43.0,34.63,1000.0,4.0,138.52,346.3,13.66,https://www.tinkoff.ru/invest/bonds/RU000A106FW4/
135,МФК ЦФП выпуск 1,RU000A102T55,995.1,Низкий,3.0,9.57,1000.0,12.0,114.84,0.0,11.54,https://www.tinkoff.ru/invest/bonds/RU000A102T55/
136,Частная пивоварня Афанасий БО-01,RU000A107225,1013.0,Средний,35.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107225/
137,ГК Пионер-001Р выпуск 5,RU000A102KG6,807.946,Средний,13.0,17.4,835.0,4.0,69.6,52.2,8.61,https://www.tinkoff.ru/invest/bonds/RU000A102KG6/
138,ПР-Лизинг 002P-01,RU000A1022E6,963.9,Средний,69.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1022E6/
139,Лайфстрим БО-П02,RU000A1068S9,942.8,Средний,54.0,29.23,1000.0,4.0,116.92,379.99,12.4,https://www.tinkoff.ru/invest/bonds/RU000A1068S9/
140,Охта Групп БО-П03,RU000A1070A3,1009.5,Средний,34.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1070A3/
141,Охта Групп выпуск 2,RU000A1040V2,973.0,Низкий,12.0,27.06,1000.0,4.0,108.24,81.18,11.12,https://www.tinkoff.ru/invest/bonds/RU000A1040V2/
142,ГТЛК 001P-20,RU000A1038M5,958.0,17.06.2024,150.0,16.96,1000.0,4.0,67.84,627.52,7.08,https://www.tinkoff.ru/invest/bonds/RU000A1038M5/
143,Агротек выпуск 1,RU000A105QZ6,1018.7,Средний,29.0,36.8,1000.0,4.0,147.2,257.6,14.45,https://www.tinkoff.ru/invest/bonds/RU000A105QZ6/
144,Агротек БО-03,RU000A106YL8,1010.0,Средний,43.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106YL8/
145,re:Store выпуск 1,RU000A103935,959.8,Средний,7.0,17.49,1000.0,4.0,69.96,17.49,7.29,https://www.tinkoff.ru/invest/bonds/RU000A103935/
146,Сбербанк 002СУБ-03R,RU000A103Q24,8500000.0,Средний,96.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A103Q24/
147,Нафтатранс Плюс выпуск 3,RU000A102V51,951.9,Низкий,27.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102V51/
148,КИФА выпуск 1,RU000A106EV9,982.3,Средний,31.0,31.41,1000.0,4.0,125.64,219.87,12.79,https://www.tinkoff.ru/invest/bonds/RU000A106EV9/
149,ГК Пионер-001P выпуск 6,RU000A104735,948.7,Средний,24.0,25.4,1000.0,4.0,101.6,152.4,10.71,https://www.tinkoff.ru/invest/bonds/RU000A104735/
150,Элит Строй выпуск 1,RU000A103M85,992.8,Средний,9.0,10.0,1000.0,12.0,120.0,0.0,12.09,https://www.tinkoff.ru/invest/bonds/RU000A103M85/
151,Патриот Групп выпуск 1,RU000A105AX5,1013.8,Средний,23.0,34.63,1000.0,4.0,138.52,173.15,13.66,https://www.tinkoff.ru/invest/bonds/RU000A105AX5/
152,ПР-Лизинг выпуск 2,RU000A106EP1,947.8,15.06.2026,101.0,8.87,1000.0,12.0,106.44,70.96,11.23,https://www.tinkoff.ru/invest/bonds/RU000A106EP1/
153,ВТБ Б-1-343,RU000A106TM6,1001.5,Средний,33.0,10.7,1000.0,12.0,128.4,21.4,12.82,https://www.tinkoff.ru/invest/bonds/RU000A106TM6/
