,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,НКД
0,РЖД 1Р-26R,RU000A106K43,1015.0,Высокий,54.0,2024-01-19 00:00:00,11.92,1000.0,12.0,143.04,47.68,14.09,https://www.tinkoff.ru/invest/bonds/RU000A106K43/,12.0
0,ТМК 001Р выпуск 3,RU000A102TJ1,-1.0,Средний,13.0,2024-03-01 00:00:00,15.92,1000.0,4.0,63.68,47.76,-6368.0,https://www.tinkoff.ru/invest/bonds/RU000A102TJ1/,9.0
0,Сегежа Групп 002P-07R,RU000A105AD7,-1.0,Средний,2.0,2024-04-10 00:00:00,1.74,1000.0,4.0,6.96,0.0,-696.0,https://www.tinkoff.ru/invest/bonds/RU000A105AD7/,1.0
0,Сегежа 002P выпуск 2,RU000A1043G7,-1.0,Средний,153.0,2024-05-21 00:00:00,42.02,1000.0,2.0,84.04,3193.52,-8404.0,https://www.tinkoff.ru/invest/bonds/RU000A1043G7/,14.0
0,Россети 001P выпуск 9,RU000A1065C9,-1.0,Средний,51.0,2024-01-23 00:00:00,22.62,1000.0,4.0,90.48,271.44,-9048.0,https://www.tinkoff.ru/invest/bonds/RU000A1065C9/,24.0
0,Россети 001P выпуск 10,RU000A1065A3,-1.0,Средний,75.0,2024-01-23 00:00:00,23.49,1000.0,4.0,93.96,422.82,-9396.0,https://www.tinkoff.ru/invest/bonds/RU000A1065A3/,25.0
0,РЖД,RU000A104SY8,-1.0,Высокий,39.0,2024-05-03 00:00:00,51.42,1000.0,2.0,102.84,976.98,-10284.0,https://www.tinkoff.ru/invest/bonds/RU000A104SY8/,24.0
0,ППК РЭО выпуск 1,RU000A105RW1,-1.0,Средний,107.0,2024-03-29 00:00:00,38.98,1000.0,4.0,155.92,1013.48,-15592.0,https://www.tinkoff.ru/invest/bonds/RU000A105RW1/,8.0
0,ЕвроХим выпуск 7,RU000A101L96,-1.0,Средний,14.0,2024-04-11 00:00:00,35.76,1000.0,2.0,71.52,250.32,-7152.0,https://www.tinkoff.ru/invest/bonds/RU000A101L96/,21.0
0,Группа Черкизово,RU000A105M67,-1.0,Средний,46.0,2024-03-14 00:00:00,24.45,1000.0,4.0,97.8,268.95,-9780.0,https://www.tinkoff.ru/invest/bonds/RU000A105M67/,10.0
0,Бизнес-Недвижимость выпуск 2,RU000A104BY4,-1.0,Средний,35.0,2024-03-22 00:00:00,23.4,1000.0,4.0,93.6,187.2,-9360.0,https://www.tinkoff.ru/invest/bonds/RU000A104BY4/,7.0
0,Автодор БО-5 выпуск 4,RU000A106XM8,-1.0,Средний,32.0,2024-01-26 00:00:00,41.93,1000.0,4.0,167.72,335.44,-16772.0,https://www.tinkoff.ru/invest/bonds/RU000A106XM8/,44.0
