,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,НКД
826,ВЭБ.РФ ПБО-002Р-39,RU000A107AU7,1006.2,Средний,76.0,2024-02-29,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107AU7/,21.0
827,МБЭС 002P-02,RU000A107DS5,1009.6,Средний,34.0,2024-06-17,0.0,1000.0,2.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107DS5/,14.0
828,Газпром нефть 003P-07R,RU000A107605,1001.0,Высокий,45.0,2024-02-06,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107605/,31.0
829,РЕСО-Лизинг БО-02П выпуск 1,RU000A104V26,1050.0,Высокий,28.0,2024-06-04,62.03,1000.0,2.0,124.06,868.42,11.82,https://www.tinkoff.ru/invest/bonds/RU000A104V26/,21.0
830,ОФЗ 29025,SU29025RMFS2,987.76,Высокий,162.0,2024-02-28,18.1,1000.0,4.0,72.4,724.0,7.33,https://www.tinkoff.ru/invest/bonds/SU29025RMFS2/,19.0
831,Норильский никель ЗО26-Д,RU000A107C67,81170.381062,Высокий,33.0,2024-04-27,1073.41,88132.4,2.0,2146.82,17174.56,2.64,https://www.tinkoff.ru/invest/bonds/RU000A107C67/,541.0
832,РЕСО-Лизинг БО-02П-05,RU000A1075J3,1002.8,Высокий,117.0,2024-01-31,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1075J3/,35.0
833,Россети 001Р-11R,RU000A107CG2,1001.5,Высокий,70.0,2024-02-10,11.83,1000.0,12.0,141.96,59.15,14.17,https://www.tinkoff.ru/invest/bonds/RU000A107CG2/,2.0
834,АФК Система выпуск 27,RU000A107GX8,1004.9,Высокий,47.0,2024-03-26,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107GX8/,9.0
835,Газпром Капитал БО-002P-10,RU000A107084,998.9,Средний,50.0,2024-04-09,33.84,1000.0,4.0,135.36,406.08,13.55,https://www.tinkoff.ru/invest/bonds/RU000A107084/,3.0
836,TCS-perp2,RU000A107746,72224.5018,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107746/,0.0
837,МТС-Банк выпуск 001P-03,RU000A107456,1012.0,Высокий,33.0,2024-01-24,0.7,1000.0,4.0,2.8,5.6,0.28,https://www.tinkoff.ru/invest/bonds/RU000A107456/,38.0
838,ППК РЭО выпуск 2,RU000A106169,1028.0,Средний,107.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106169/,0.0
839,Газпром Капитал БО-002Р-11,RU000A107ET1,999.0,Высокий,46.0,2024-03-19,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107ET1/,12.0
840,Металлоинвест 001Р-06,RU000A1079S6,1001.8,Высокий,46.0,2024-02-27,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1079S6/,22.0
841,РЕСО-Лизинг БО-02П-02,RU000A105HH3,1001.0,Высокий,105.0,2024-05-27,56.29,1000.0,2.0,112.58,2927.08,11.25,https://www.tinkoff.ru/invest/bonds/RU000A105HH3/,24.0
842,Совкомбанк СЗО-02,RU000A107C59,80112.3516,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107C59/,0.0
843,ОФЗ 29023,SU29023RMFS7,991.7,Высокий,127.0,2024-03-06,28.8,1000.0,4.0,115.2,892.8,11.62,https://www.tinkoff.ru/invest/bonds/SU29023RMFS7/,17.0
844,МТС 002P-02,RU000A1078S8,998.4,Средний,57.0,2024-02-21,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1078S8/,24.0
845,ВЭБ.РФ выпуск 4,RU000A106LL5,1019.9,Высокий,103.0,2024-03-06,32.19,1000.0,4.0,128.76,804.75,12.62,https://www.tinkoff.ru/invest/bonds/RU000A106LL5/,19.0
846,ДОМ.РФ ИА 002P,RU000A0ZYJT2,72.751564,Средний,267.0,2024-01-28,1.83,74.51,4.0,7.32,120.78,10.06,https://www.tinkoff.ru/invest/bonds/RU000A0ZYJT2/,1.0
847,ВЭБ.РФ ПБО-002Р-36,RU000A105YH8,1015.0,Высокий,80.0,2024-03-27,24.36,1000.0,4.0,97.44,487.2,9.6,https://www.tinkoff.ru/invest/bonds/RU000A105YH8/,9.0
0,TCS-perp2,RU000A107746,72224.5018,Средний,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107746/,
0,МТС-Банк выпуск 001P-03,RU000A107456,1012.0,Высокий,33.0,2024-01-24 00:00:00,0.7,1000.0,4.0,2.8,5.6,0.28,https://www.tinkoff.ru/invest/bonds/RU000A107456/,38.0
0,ППК РЭО выпуск 2,RU000A106169,1028.0,Средний,107.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106169/,
0,Газпром Капитал БО-002Р-11,RU000A107ET1,999.0,Высокий,46.0,2024-03-19 00:00:00,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107ET1/,12.0
