,Название,Код,Срок(месяца),Цена,Рейтинг,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
33,НИКА обб01,RU000A1050X7,21,975.5,Низкий,32.19,1000.0,4.0,128.76,2027.97,12.88,https://www.tinkoff.ru/invest/bonds/RU000A1050X7/
34,Ника 001P-02,RU000A106U74,23,999.0,Средний,36.8,1000.0,4.0,147.2,2539.2,14.72,https://www.tinkoff.ru/invest/bonds/RU000A106U74/
35,Т.Г. Шевченко выпуск 4,RU000A104ZU1,33,999.8,Средний,36.8,1000.0,4.0,147.2,3643.2,14.72,https://www.tinkoff.ru/invest/bonds/RU000A104ZU1/
36,МФК Мани Мен выпуск 3,RU000A103PS8,10,962.0,Средний,8.7,1000.0,12.0,104.4,87.0,10.44,https://www.tinkoff.ru/invest/bonds/RU000A103PS8/
37,МФК ВЭББАНКИР выпуск 1,RU000A103F43,15,970.3,Низкий,9.05,1000.0,12.0,108.6,135.75,10.86,https://www.tinkoff.ru/invest/bonds/RU000A103F43/
38,AzurDrive выпуск 1,RU000A106TJ2,46,983.5,Средний,11.4,1000.0,12.0,136.8,524.4,13.68,https://www.tinkoff.ru/invest/bonds/RU000A106TJ2/
39,МФК ВЭББАНКИР выпуск 4,RU000A106Y88,41,1004.0,Средний,14.27,1000.0,12.0,171.24,585.07,17.12,https://www.tinkoff.ru/invest/bonds/RU000A106Y88/
40,АПРИ Флай Плэнинг БО-П5,RU000A103N19,23,948.1,Низкий,28.19,1000.0,4.0,112.76,1945.11,11.28,https://www.tinkoff.ru/invest/bonds/RU000A103N19/
41,АСВ выпуск 1,RU000A106RB3,34,1003.3,Низкий,36.8,1000.0,4.0,147.2,3753.6,14.72,https://www.tinkoff.ru/invest/bonds/RU000A106RB3/
42,Славянск ЭКО выпуск 1,RU000A103WB0,36,946.0,Средний,23.84,1000.0,4.0,95.36,2574.72,9.54,https://www.tinkoff.ru/invest/bonds/RU000A103WB0/
43,УК ОРГ выпуск 3,RU000A106UB7,34,1000.5,Средний,11.74,1000.0,12.0,140.88,399.16,14.09,https://www.tinkoff.ru/invest/bonds/RU000A106UB7/
44,МигКредит выпуск 2,RU000A106UK8,34,1002.5,Средний,11.92,1000.0,12.0,143.04,405.28,14.3,https://www.tinkoff.ru/invest/bonds/RU000A106UK8/
45,МФК Лайм-Займ выпуск 1,RU000A104AX8,14,700.42,Низкий,25.4,700.0,4.0,101.6,1066.8,14.51,https://www.tinkoff.ru/invest/bonds/RU000A104AX8/
46,УК ОРГ выпуск 2,RU000A106L67,33,1001.5,Низкий,11.74,1000.0,12.0,140.88,387.42,14.09,https://www.tinkoff.ru/invest/bonds/RU000A106L67/
47,МигКредит выпуск 2,RU000A106KT0,33,975.2,Низкий,10.53,1000.0,12.0,126.36,347.49,12.64,https://www.tinkoff.ru/invest/bonds/RU000A106KT0/
48,ПИМ выпуск 2,RU000A106NT4,33,959.9,Низкий,31.41,1000.0,4.0,125.64,3109.59,12.56,https://www.tinkoff.ru/invest/bonds/RU000A106NT4/
49,СибАвтоТранс выпуск 1,RU000A105SZ2,39,1030.5,Низкий,38.98,1000.0,4.0,155.92,4560.66,15.59,https://www.tinkoff.ru/invest/bonds/RU000A105SZ2/
50,Айди Коллект выпуск 2,RU000A104JV3,15,1002.5,Низкий,11.74,1000.0,12.0,140.88,176.1,14.09,https://www.tinkoff.ru/invest/bonds/RU000A104JV3/
51,Быстроденьги 2P-02,RU000A106B51,37,993.8,Низкий,11.4,1000.0,12.0,136.8,421.8,13.68,https://www.tinkoff.ru/invest/bonds/RU000A106B51/
52,Эфферон выпуск 1,RU000A105H98,49,955.0,Средний,37.93,1000.0,4.0,151.72,5575.71,15.17,https://www.tinkoff.ru/invest/bonds/RU000A105H98/
53,КОНТРОЛ лизинг выпуск 1,RU000A106T85,58,1003.4,Средний,11.57,1000.0,12.0,138.84,671.06,13.88,https://www.tinkoff.ru/invest/bonds/RU000A106T85/
54,Сегежа 002P выпуск 1,RU000A1041B2,13,932.8,18.11.2024,42.72,1000.0,2.0,85.44,3332.16,8.54,https://www.tinkoff.ru/invest/bonds/RU000A1041B2/
55,Литана выпуск 1,RU000A1032S5,6,979.0,Низкий,28.19,1000.0,4.0,112.76,507.42,11.28,https://www.tinkoff.ru/invest/bonds/RU000A1032S5/
56,Сегежа,RU000A104UA4,163,992.0,Средний,23.84,1000.0,4.0,95.36,11657.76,9.54,https://www.tinkoff.ru/invest/bonds/RU000A104UA4/
57,Мосгорломбард выпуск 4,RU000A106MV2,51,991.6,Низкий,34.63,1000.0,4.0,138.52,5298.39,13.85,https://www.tinkoff.ru/invest/bonds/RU000A106MV2/
58,МФК Фордевинд,RU000A105849,23,992.928,Низкий,13.05,960.0,12.0,156.6,300.15,16.31,https://www.tinkoff.ru/invest/bonds/RU000A105849/
59,Легенда выпуск 4,RU000A102Y66,18,943.1,Средний,21.58,1000.0,4.0,86.32,1165.32,8.63,https://www.tinkoff.ru/invest/bonds/RU000A102Y66/
60,РКК выпуск 2,RU000A105ZW4,41,1043.0,Низкий,38.98,1000.0,4.0,155.92,4794.54,15.59,https://www.tinkoff.ru/invest/bonds/RU000A105ZW4/
61,РКК выпуск 1,RU000A105VP7,28,1047.5,Низкий,41.15,1000.0,4.0,164.6,3456.6,16.46,https://www.tinkoff.ru/invest/bonds/RU000A105VP7/
62,МФК Саммит 1P-01,RU000A105UZ8,27,1043.6,Низкий,13.92,1000.0,12.0,167.04,375.84,16.7,https://www.tinkoff.ru/invest/bonds/RU000A105UZ8/
63,Т.Г. Шевченко выпуск 3,RU000A104Z89,21,799.9,Средний,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104Z89/
64,МФК ЦФП выпуск 1,RU000A102T55,4,990.0,Низкий,9.57,1000.0,12.0,114.84,38.28,11.48,https://www.tinkoff.ru/invest/bonds/RU000A102T55/
65,Сегежа 002P выпуск 5,RU000A1053P7,165,891.5,Средний,46.11,1000.0,2.0,92.22,45648.9,9.22,https://www.tinkoff.ru/invest/bonds/RU000A1053P7/
66,Нафтатранс Плюс выпуск 2,RU000A100YD8,11,4660.7352,Низкий,49.59,4664.0,12.0,595.08,545.49,12.76,https://www.tinkoff.ru/invest/bonds/RU000A100YD8/
67,Сегежа 002P выпуск 3,RU000A104FG2,159,984.0,Средний,23.58,1000.0,4.0,94.32,11247.66,9.43,https://www.tinkoff.ru/invest/bonds/RU000A104FG2/
68,Роял Капитал выпуск 9,RU000A106JC8,33,977.0,Средний,32.19,1000.0,4.0,128.76,3186.81,12.88,https://www.tinkoff.ru/invest/bonds/RU000A106JC8/
69,Энергоника 001Р-04,RU000A106R79,58,999.2,Средний,34.63,1000.0,4.0,138.52,6025.62,13.85,https://www.tinkoff.ru/invest/bonds/RU000A106R79/
70,Айди Коллект выпуск 3,RU000A1065M8,30,983.7,Низкий,10.7,1000.0,12.0,128.4,321.0,12.84,https://www.tinkoff.ru/invest/bonds/RU000A1065M8/
71,РСХБ выпуск T1,RU000A0ZZ4T1,54,771.0,Средний,38.98,1000.0,2.0,77.96,12629.52,7.8,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ4T1/
72,Завод КЭС выпуск 4,RU000A106QS9,58,955.0,Низкий,42.11,1000.0,4.0,168.44,7327.14,16.84,https://www.tinkoff.ru/invest/bonds/RU000A106QS9/
73,МФК ЦФП выпуск 2,RU000A103GL2,9,979.5,Низкий,9.22,1000.0,12.0,110.64,82.98,11.06,https://www.tinkoff.ru/invest/bonds/RU000A103GL2/
74,ГЛОРАКС 01,RU000A1053W3,22,968.5,Средний,29.58,1000.0,4.0,118.32,1952.28,11.83,https://www.tinkoff.ru/invest/bonds/RU000A1053W3/
75,АСПЭК-Домстрой выпуск 1,RU000A104B53,14,989.5,Низкий,31.41,1000.0,4.0,125.64,1319.22,12.56,https://www.tinkoff.ru/invest/bonds/RU000A104B53/
76,ТЕХНО Лизинг выпуск 4,RU000A1032X5,30,904.8,Средний,7.66,1000.0,12.0,91.92,229.8,9.19,https://www.tinkoff.ru/invest/bonds/RU000A1032X5/
77,ЭкономЛизинг 001Р-05,RU000A106R12,34,993.6,Низкий,33.58,1000.0,4.0,134.32,3425.16,13.43,https://www.tinkoff.ru/invest/bonds/RU000A106R12/
78,СмартФ1Р01,RU000A106CM2,32,999.4,Низкий,34.1,1000.0,4.0,136.4,3273.6,13.64,https://www.tinkoff.ru/invest/bonds/RU000A106CM2/
79,МФК Займер выпуск 3,RU000A103QJ5,11,658.5291,Низкий,6.0,667.0,12.0,72.0,66.0,10.79,https://www.tinkoff.ru/invest/bonds/RU000A103QJ5/
80,Сбербанк 002СУБ-02R,RU000A102HC1,29,8100000.0,Средний,303665.67,10000000.0,2.0,607331.34,52837826.58,6.07,https://www.tinkoff.ru/invest/bonds/RU000A102HC1/
81,МаксимаТелеком выпуск 1,RU000A101XD8,15,925.1,17.01.2025,41.15,1000.0,2.0,82.3,3703.5,8.23,https://www.tinkoff.ru/invest/bonds/RU000A101XD8/
82,СОБИЛИЗ1Р2,RU000A106AK0,31,956.614,Низкий,9.57,970.0,12.0,114.84,296.67,11.84,https://www.tinkoff.ru/invest/bonds/RU000A106AK0/
83,Сегежа Групп 003P-02R,RU000A105SP3,19,928.9,07.05.2025,22.97,1000.0,4.0,91.88,1309.29,9.19,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/
84,Электроаппарат БО-01,RU000A104WZ7,8,1002.4,Низкий,34.63,1000.0,4.0,138.52,831.12,13.85,https://www.tinkoff.ru/invest/bonds/RU000A104WZ7/
85,Реаторг 001Р-01,RU000A105BP9,24,1003.9,Низкий,34.63,1000.0,4.0,138.52,2493.36,13.85,https://www.tinkoff.ru/invest/bonds/RU000A105BP9/
86,Быстроденьги выпуск 2,RU000A102ZT7,5,987.5,Низкий,9.05,1000.0,12.0,108.6,45.25,10.86,https://www.tinkoff.ru/invest/bonds/RU000A102ZT7/
87,Талан-Финанс выпуск 3,RU000A1043B8,19,972.8,Низкий,28.19,1000.0,4.0,112.76,1606.83,11.28,https://www.tinkoff.ru/invest/bonds/RU000A1043B8/
88,МФК Займер выпуск 2,RU000A103CW8,8,742.67401,Низкий,6.79,750.1,12.0,81.48,54.32,10.86,https://www.tinkoff.ru/invest/bonds/RU000A103CW8/
89,Мосгорломбард выпуск 3,RU000A106FW4,44,1013.0,Низкий,34.63,1000.0,4.0,138.52,4571.16,13.85,https://www.tinkoff.ru/invest/bonds/RU000A106FW4/
90,Агротек выпуск 1,RU000A105QZ6,30,1015.0,Средний,36.8,1000.0,4.0,147.2,3312.0,14.72,https://www.tinkoff.ru/invest/bonds/RU000A105QZ6/
91,ПЗ Пушкинское выпуск 1,RU000A104JF6,28,980.0,Средний,29.58,1000.0,4.0,118.32,2484.72,11.83,https://www.tinkoff.ru/invest/bonds/RU000A104JF6/
92,СПМК БО-01,RU000A105BW5,24,1037.3,Низкий,38.98,1000.0,4.0,155.92,2806.56,15.59,https://www.tinkoff.ru/invest/bonds/RU000A105BW5/
93,МФК Займер выпуск 1,RU000A102TL7,4,988.7,Низкий,9.05,1000.0,12.0,108.6,36.2,10.86,https://www.tinkoff.ru/invest/bonds/RU000A102TL7/
94,Глобал Факторинг Нетворк Рус БО-02-001P,RU000A1060U2,35,1021.4,Низкий,11.74,1000.0,12.0,140.88,410.9,14.09,https://www.tinkoff.ru/invest/bonds/RU000A1060U2/
95,РКС2Р3,RU000A106DV1,32,996.9,Средний,33.06,1000.0,4.0,132.24,3173.76,13.22,https://www.tinkoff.ru/invest/bonds/RU000A106DV1/
96,РСХБ 09Т1,RU000A0ZZ505,54,788.0,Средний,38.98,1000.0,2.0,77.96,12629.52,7.8,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ505/
