,Название,Код,Срок(месяца),Цена,Рейтинг,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
149,МигКредит об01,RU000A103DA2,8,395.44,Низкий,3.48,400.0,12.0,41.76,27.84,10.44,https://www.tinkoff.ru/invest/bonds/RU000A103DA2/
150,Завод КЭС выпуск 2,RU000A102AB8,12,798.24,Низкий,24.27,800.0,4.0,97.08,873.72,12.13,https://www.tinkoff.ru/invest/bonds/RU000A102AB8/
151,ГТЛК 001P-20,RU000A1038M5,8,958.9,17.06.2024,16.96,1000.0,4.0,67.84,407.04,6.78,https://www.tinkoff.ru/invest/bonds/RU000A1038M5/
152,Эталон-Финанс выпуск 3,RU000A103QH9,35,913.0,Средний,19.66,1000.0,4.0,78.64,2064.3,7.86,https://www.tinkoff.ru/invest/bonds/RU000A103QH9/
153,Лизинг-Трейд выпуск 4,RU000A104XE0,44,1004.0,Средний,10.7,1000.0,12.0,128.4,470.8,12.84,https://www.tinkoff.ru/invest/bonds/RU000A104XE0/
154,Талан-Финанс выпуск 2,RU000A102US0,5,592.92,Средний,13.66,600.0,4.0,54.64,204.9,9.11,https://www.tinkoff.ru/invest/bonds/RU000A102US0/
155,Маныч-Агро выпуск 1,RU000A1032D7,18,975.5,Средний,26.01,1000.0,4.0,104.04,1404.54,10.4,https://www.tinkoff.ru/invest/bonds/RU000A1032D7/
156,Гарант-Инвест 2Р выпуск 5,RU000A105GV6,25,1008.4,Средний,31.93,1000.0,4.0,127.72,2394.75,12.77,https://www.tinkoff.ru/invest/bonds/RU000A105GV6/
157,Нафтатранс Плюс выпуск 3,RU000A102V51,5,965.0,Низкий,8.53,1000.0,12.0,102.36,42.65,10.24,https://www.tinkoff.ru/invest/bonds/RU000A102V51/
158,О'КЕЙ 001P выпуск 1,RU000A105FM7,31,941.2,14.05.2026,24.88,1000.0,4.0,99.52,2313.84,9.95,https://www.tinkoff.ru/invest/bonds/RU000A105FM7/
159,Охта Групп выпуск 2,RU000A1040V2,13,982.5,Низкий,27.06,1000.0,4.0,108.24,1055.34,10.82,https://www.tinkoff.ru/invest/bonds/RU000A1040V2/
160,ТФН выпуск 1,RU000A102QY6,4,397.8,Низкий,10.35,400.0,4.0,41.4,124.2,10.35,https://www.tinkoff.ru/invest/bonds/RU000A102QY6/
161,Элит Строй выпуск 1,RU000A103M85,10,999.9,Средний,10.0,1000.0,12.0,120.0,100.0,12.0,https://www.tinkoff.ru/invest/bonds/RU000A103M85/
162,Роделен 1P-04,RU000A105SK4,21,999.7,Средний,10.0,1000.0,12.0,120.0,210.0,12.0,https://www.tinkoff.ru/invest/bonds/RU000A105SK4/
163,МСБ-Лизинг 002P выпуск 5,RU000A103VD8,35,981.1,Средний,8.7,1000.0,12.0,104.4,304.5,10.44,https://www.tinkoff.ru/invest/bonds/RU000A103VD8/
164,ТрансФин-М 001Р-07,RU000A103M36,10,963.4,29.08.2024,21.23,1000.0,4.0,84.92,636.9,8.49,https://www.tinkoff.ru/invest/bonds/RU000A103M36/
165,ИС петролеум выпуск 1,RU000A1013C9,14,420.21,Средний,4.26,420.0,12.0,51.12,59.64,12.17,https://www.tinkoff.ru/invest/bonds/RU000A1013C9/
166,Аренза-Про 001P-01,RU000A105TR7,27,1008.3,Средний,10.35,1000.0,12.0,124.2,279.45,12.42,https://www.tinkoff.ru/invest/bonds/RU000A105TR7/
167,Новые Технологии выпуск 2,RU000A106PW3,34,961.8,Средний,54.81,1000.0,2.0,109.62,11181.24,10.96,https://www.tinkoff.ru/invest/bonds/RU000A106PW3/
168,Балтийский лизинг БО-П08,RU000A106EM8,20,952.0,17.06.2025,7.57,1000.0,12.0,90.84,151.4,9.08,https://www.tinkoff.ru/invest/bonds/RU000A106EM8/
169,Аренза-Про выпуск 2,RU000A106GC4,32,984.9,Средний,9.22,1000.0,12.0,110.64,295.04,11.06,https://www.tinkoff.ru/invest/bonds/RU000A106GC4/
170,Завод КЭС выпуск 3,RU000A105AW7,36,1110.7,Средний,43.33,1000.0,4.0,173.32,4679.64,17.33,https://www.tinkoff.ru/invest/bonds/RU000A105AW7/
171,ГК ЕКС выпуск 1,RU000A104BU2,14,988.9,Средний,28.19,1000.0,4.0,112.76,1183.98,11.28,https://www.tinkoff.ru/invest/bonds/RU000A104BU2/
172,ФЭС-Агро выпуск 1,RU000A106P63,34,1000.0,Средний,29.58,1000.0,4.0,118.32,3017.16,11.83,https://www.tinkoff.ru/invest/bonds/RU000A106P63/
173,Группа Продовольствие 001P-02,RU000A105EP3,24,1002.1,Средний,10.7,1000.0,12.0,128.4,256.8,12.84,https://www.tinkoff.ru/invest/bonds/RU000A105EP3/
174,ГТЛК выпуск 17,RU000A101QL5,31,856.9,28.05.2026,16.09,1000.0,4.0,64.36,1496.37,6.44,https://www.tinkoff.ru/invest/bonds/RU000A101QL5/
175,Неолизинг выпуск 1,RU000A106PY9,33,1064.6,Средний,12.09,1000.0,12.0,145.08,398.97,14.51,https://www.tinkoff.ru/invest/bonds/RU000A106PY9/
176,Ритейл Бел Финанс 001P-02,RU000A102TR4,17,927.0,Средний,21.75,1000.0,4.0,87.0,1109.25,8.7,https://www.tinkoff.ru/invest/bonds/RU000A102TR4/
177,АФК Система выпуск 13,RU000A101Q26,7,955.0,27.05.2024,28.62,1000.0,2.0,57.24,1202.04,5.72,https://www.tinkoff.ru/invest/bonds/RU000A101Q26/
178,Группа Продовольствие 001P-01,RU000A103455,7,985.5,Средний,8.53,1000.0,12.0,102.36,59.71,10.24,https://www.tinkoff.ru/invest/bonds/RU000A103455/
179,Делимобиль 1Р-03,RU000A106UW3,46,998.5,Высокий,9.74,1000.0,12.0,116.88,448.04,11.69,https://www.tinkoff.ru/invest/bonds/RU000A106UW3/
180,Ритейл Бел Финанс 001P-01,RU000A101QF7,19,963.5,Высокий,20.45,1000.0,4.0,81.8,1165.65,8.18,https://www.tinkoff.ru/invest/bonds/RU000A101QF7/
181,СЕЛЛ-Сервис БО-П02,RU000A106C50,19,1014.3,Средний,10.7,1000.0,12.0,128.4,203.3,12.84,https://www.tinkoff.ru/invest/bonds/RU000A106C50/
182,Асфальтобетонный завод № 1 выпуск 4,RU000A1065B1,30,996.0,Средний,29.75,1000.0,4.0,119.0,2677.5,11.9,https://www.tinkoff.ru/invest/bonds/RU000A1065B1/
183,Кармани выпуск 1,RU000A103R98,11,595.32,Низкий,5.39,600.0,12.0,64.68,59.29,10.78,https://www.tinkoff.ru/invest/bonds/RU000A103R98/
184,ТрансФин-М 001Р выпуск 4,RU000A0ZYEB1,30,914.9,21.04.2026,43.33,1000.0,2.0,86.66,7799.4,8.67,https://www.tinkoff.ru/invest/bonds/RU000A0ZYEB1/
185,Онлайн Микрофинанс выпуск 3,RU000A102CZ3,1,999.0,Средний,8.87,1000.0,12.0,106.44,8.87,10.64,https://www.tinkoff.ru/invest/bonds/RU000A102CZ3/
186,Биннофарм Групп выпуск 1,RU000A1043Z7,1,994.7,27.11.2023,21.4,1000.0,4.0,85.6,64.2,8.56,https://www.tinkoff.ru/invest/bonds/RU000A1043Z7/
187,Делимобиль 1Р-02,RU000A106A86,31,975.7,Высокий,27.49,1000.0,4.0,109.96,2556.57,11.0,https://www.tinkoff.ru/invest/bonds/RU000A106A86/
188,ДиректЛизинг выпуск 6,RU000A102M45,2,994.6,Низкий,24.88,1000.0,4.0,99.52,149.28,9.95,https://www.tinkoff.ru/invest/bonds/RU000A102M45/
189,ТД РКС-Сочи 002Р-2,RU000A104KS7,16,1014.7,Средний,32.19,1000.0,4.0,128.76,1545.12,12.88,https://www.tinkoff.ru/invest/bonds/RU000A104KS7/
190,Сбер Банк 001P-SBER24,RU000A102RS6,4,999.2,Высокий,28.8,1000.0,2.0,57.6,691.2,5.76,https://www.tinkoff.ru/invest/bonds/RU000A102RS6/
191,Асфальтобетонный завод № 1 выпуск 3,RU000A105SX7,27,1006.0,Средний,30.88,1000.0,4.0,123.52,2501.28,12.35,https://www.tinkoff.ru/invest/bonds/RU000A105SX7/
192,Эталон выпуск 002Р-01,RU000A105VU7,28,999.0,20.02.2026,29.67,1000.0,4.0,118.68,2492.28,11.87,https://www.tinkoff.ru/invest/bonds/RU000A105VU7/
193,Балтийский лизинг БО-П06,RU000A1058M3,23,960.4,Высокий,47.24,1000.0,2.0,94.48,6519.12,9.45,https://www.tinkoff.ru/invest/bonds/RU000A1058M3/
194,БЭЛТИ-ГРАНД выпуск 4,RU000A103DY2,40,909.912,Средний,8.09,930.0,12.0,97.08,323.6,10.44,https://www.tinkoff.ru/invest/bonds/RU000A103DY2/
195,ВИС Финанс выпуск 4,RU000A106EZ0,34,981.0,Средний,27.93,1000.0,4.0,111.72,2848.86,11.17,https://www.tinkoff.ru/invest/bonds/RU000A106EZ0/
196,МБЭС выпуск 2,RU000A101RJ7,8,950.5,14.06.2024,26.88,1000.0,2.0,53.76,1290.24,5.38,https://www.tinkoff.ru/invest/bonds/RU000A101RJ7/
197,ГТЛК выпуск 14,RU000A100FE5,35,944.8,08.09.2026,24.36,1000.0,4.0,97.44,2557.8,9.74,https://www.tinkoff.ru/invest/bonds/RU000A100FE5/
198,Автодом выпуск 1,RU000A104CJ3,14,984.0,Средний,26.54,1000.0,4.0,106.16,1114.68,10.62,https://www.tinkoff.ru/invest/bonds/RU000A104CJ3/
199,ГТЛК 002Р-02,RU000A105KB0,38,950.1,04.12.2026,25.32,1000.0,4.0,101.28,2886.48,10.13,https://www.tinkoff.ru/invest/bonds/RU000A105KB0/
200,СФО ВТБ РКС-1 выпуск 1,RU000A1032P1,85,907.5,Высокий,5.66,1000.0,12.0,67.92,481.1,6.79,https://www.tinkoff.ru/invest/bonds/RU000A1032P1/
201,ПР-Лизинг выпуск 2,RU000A106EP1,32,977.6,15.06.2026,8.87,1000.0,12.0,106.44,283.84,10.64,https://www.tinkoff.ru/invest/bonds/RU000A106EP1/
202,Азбука Вкуса выпуск 1,RU000A100HE1,8,980.6,26.06.2024,23.84,1000.0,4.0,95.36,572.16,9.54,https://www.tinkoff.ru/invest/bonds/RU000A100HE1/
203,ГК Пионер-001P выпуск 6,RU000A104735,26,970.4,Средний,25.4,1000.0,4.0,101.6,1981.2,10.16,https://www.tinkoff.ru/invest/bonds/RU000A104735/
204,Аэрофьюэлз выпуск 2,RU000A103SZ7,11,966.1,Средний,21.4,1000.0,4.0,85.6,706.2,8.56,https://www.tinkoff.ru/invest/bonds/RU000A103SZ7/
205,РЕСОЛиБП22,RU000A106DP3,32,935.6,17.06.2026,47.24,1000.0,2.0,94.48,9070.08,9.45,https://www.tinkoff.ru/invest/bonds/RU000A106DP3/
206,Ренессанс Кредит выпуск 6,RU000A102RN7,4,979.1,26.02.2024,35.67,1000.0,2.0,71.34,856.08,7.13,https://www.tinkoff.ru/invest/bonds/RU000A102RN7/
207,АФК Система выпуск 12,RU000A101012,12,942.0,01.11.2024,34.02,1000.0,2.0,68.04,2449.44,6.8,https://www.tinkoff.ru/invest/bonds/RU000A101012/
208,О'КЕЙ выпуск 5,RU000A106AH6,115,959.7,Высокий,25.4,1000.0,4.0,101.6,8763.0,10.16,https://www.tinkoff.ru/invest/bonds/RU000A106AH6/
209,КЛВЗ Кристалл выпуск 1,RU000A105Y14,29,998.5,Средний,29.23,1000.0,4.0,116.92,2543.01,11.69,https://www.tinkoff.ru/invest/bonds/RU000A105Y14/
210,ГТЛК выпуск 18,RU000A101SC0,44,836.3,07.06.2027,16.96,1000.0,4.0,67.84,2238.72,6.78,https://www.tinkoff.ru/invest/bonds/RU000A101SC0/
211,ГТЛК выпуск 15,RU000A100Z91,24,566.94,Средний,9.57,600.0,4.0,38.28,689.04,6.38,https://www.tinkoff.ru/invest/bonds/RU000A100Z91/
212,АФК Система выпуск 7,RU000A0ZYQY7,21,892.3,30.07.2025,29.93,1000.0,2.0,59.86,3771.18,5.99,https://www.tinkoff.ru/invest/bonds/RU000A0ZYQY7/
213,ГТЛК выпуск 13,RU000A1003A4,40,894.2,03.02.2027,20.71,1000.0,4.0,82.84,2485.2,8.28,https://www.tinkoff.ru/invest/bonds/RU000A1003A4/
214,Гарант-Инвест 002P-07,RU000A106SK2,58,999.8,Средний,10.35,1000.0,12.0,124.2,600.3,12.42,https://www.tinkoff.ru/invest/bonds/RU000A106SK2/
215,АФК Система выпуск 19,RU000A102SX4,16,921.9,27.02.2025,15.92,1000.0,4.0,63.68,764.16,6.37,https://www.tinkoff.ru/invest/bonds/RU000A102SX4/
216,Бифорком Тек выпуск 1,RU000A1037L9,8,981.0,Средний,22.71,1000.0,4.0,90.84,545.04,9.08,https://www.tinkoff.ru/invest/bonds/RU000A1037L9/
217,Т.Г. Шевченко выпуск 2,RU000A101P92,19,993.6,Средний,28.19,1000.0,4.0,112.76,1606.83,11.28,https://www.tinkoff.ru/invest/bonds/RU000A101P92/
218,NexTouch выпуск 1,RU000A103WZ9,12,980.0,Средний,24.88,1000.0,4.0,99.52,895.68,9.95,https://www.tinkoff.ru/invest/bonds/RU000A103WZ9/
219,Сибнефтехимтрейд выпуск 1,RU000A1028H6,5,1000.0,Низкий,9.57,1000.0,12.0,114.84,47.85,11.48,https://www.tinkoff.ru/invest/bonds/RU000A1028H6/
220,ГК Пионер-001Р выпуск 5,RU000A102KG6,14,813.958,Средний,17.4,835.0,4.0,69.6,730.8,8.34,https://www.tinkoff.ru/invest/bonds/RU000A102KG6/
221,ЧЗПСН-Профнастил БО-П2,RU000A101NJ6,1,977.4,Средний,26.01,1000.0,4.0,104.04,78.03,10.4,https://www.tinkoff.ru/invest/bonds/RU000A101NJ6/
222,Электрощит-Стройсистема выпуск 2,RU000A101UD4,2,991.9,Средний,28.19,1000.0,4.0,112.76,169.14,11.28,https://www.tinkoff.ru/invest/bonds/RU000A101UD4/
223,ЭнергоТехСервис выпуск 4,RU000A103828,20,640.129,Высокий,14.27,665.0,4.0,57.08,856.2,8.58,https://www.tinkoff.ru/invest/bonds/RU000A103828/
224,ГК Самолет выпуск 11,RU000A104JQ3,16,987.0,14.02.2025,55.07,1000.0,2.0,110.14,5286.72,11.01,https://www.tinkoff.ru/invest/bonds/RU000A104JQ3/
225,ЭР-Телеком Холдинг БО-02 выпуск 1,RU000A103WR6,18,998.0,Высокий,20.53,1000.0,4.0,82.12,1108.62,8.21,https://www.tinkoff.ru/invest/bonds/RU000A103WR6/
226,Автодор БО-6 выпуск 1,RU000A106XP1,6,1005.4,Средний,40.98,1000.0,4.0,163.92,737.64,16.39,https://www.tinkoff.ru/invest/bonds/RU000A106XP1/
227,Whoosh выпуск 2,RU000A106HB4,33,961.8,Высокий,25.58,1000.0,4.0,102.32,2532.42,10.23,https://www.tinkoff.ru/invest/bonds/RU000A106HB4/
228,ХКФ Банк выпуск 7,RU000A102RF3,4,977.3,14.02.2024,14.79,1000.0,4.0,59.16,177.48,5.92,https://www.tinkoff.ru/invest/bonds/RU000A102RF3/
229,РЕСО-Лизинг БО-П выпуск 11,RU000A103C53,8,963.1,03.07.2024,37.06,1000.0,2.0,74.12,1778.88,7.41,https://www.tinkoff.ru/invest/bonds/RU000A103C53/
230,Первое коллекторское бюро 001Р выпуск 2,RU000A103RJ3,23,778.4,Средний,18.62,800.0,4.0,74.48,1284.78,9.31,https://www.tinkoff.ru/invest/bonds/RU000A103RJ3/
231,Европлан БО 06,RU000A100DG5,13,579.12,22.11.2024,26.62,600.0,2.0,53.24,2076.36,8.87,https://www.tinkoff.ru/invest/bonds/RU000A100DG5/
232,НПО Химтэк выпуск 1,RU000A103H25,21,894.96,Средний,25.32,900.0,4.0,101.28,1595.16,11.25,https://www.tinkoff.ru/invest/bonds/RU000A103H25/
233,Новотранс выпуск 2,RU000A103133,30,937.7,Высокий,19.84,1000.0,4.0,79.36,1785.6,7.94,https://www.tinkoff.ru/invest/bonds/RU000A103133/
234,Вита Лайн 001Р выпуск 3,RU000A1036X6,8,978.7,06.06.2024,21.66,1000.0,4.0,86.64,519.84,8.66,https://www.tinkoff.ru/invest/bonds/RU000A1036X6/
235,ГТЛК выпуск 16,RU000A101GD3,52,547.5,17.02.2028,9.4,625.0,4.0,37.6,1466.4,6.02,https://www.tinkoff.ru/invest/bonds/RU000A101GD3/
236,МБЭС 1P-01,RU000A100VX2,24,993.4,06.10.2025,44.46,1000.0,2.0,88.92,6402.24,8.89,https://www.tinkoff.ru/invest/bonds/RU000A100VX2/
237,ЯТЭК выпуск 2,RU000A102ZH2,18,963.4,Высокий,39.67,1000.0,2.0,79.34,4284.36,7.93,https://www.tinkoff.ru/invest/bonds/RU000A102ZH2/
238,О'КЕЙ выпуск 2,RU000A1009Z8,18,952.4,16.04.2025,21.4,1000.0,4.0,85.6,1155.6,8.56,https://www.tinkoff.ru/invest/bonds/RU000A1009Z8/
239,Джи-групп 2Р-02,RU000A105Q97,8,1006.6,Средний,31.41,1000.0,4.0,125.64,753.84,12.56,https://www.tinkoff.ru/invest/bonds/RU000A105Q97/
240,Автодор БО-5P-01,RU000A106FR4,32,939.5,Высокий,44.72,1000.0,2.0,89.44,8586.24,8.94,https://www.tinkoff.ru/invest/bonds/RU000A106FR4/
241,Петроинжиниринг выпуск 1,RU000A103RL9,11,968.9,25.09.2024,21.14,1000.0,4.0,84.56,697.62,8.46,https://www.tinkoff.ru/invest/bonds/RU000A103RL9/
242,Вита Лайн 001Р выпуск 2,RU000A102B97,15,964.5,27.01.2025,21.14,1000.0,4.0,84.56,951.3,8.46,https://www.tinkoff.ru/invest/bonds/RU000A102B97/
243,Почта России,RU000A104W17,32,923.8,19.06.2026,44.02,1000.0,2.0,88.04,8451.84,8.8,https://www.tinkoff.ru/invest/bonds/RU000A104W17/
244,Балтийский лизинг БО-П04,RU000A103M10,10,653.25,Высокий,12.18,670.0,4.0,48.72,365.4,7.27,https://www.tinkoff.ru/invest/bonds/RU000A103M10/
245,ПИК-Корпорация выпуск 2,RU000A1016Z3,14,725.25,Высокий,13.4,750.0,4.0,53.6,562.8,7.15,https://www.tinkoff.ru/invest/bonds/RU000A1016Z3/
246,Европлан 001Р-02,RU000A1034J0,7,367.5,Высокий,6.26,375.0,4.0,25.04,131.46,6.68,https://www.tinkoff.ru/invest/bonds/RU000A1034J0/
247,РЕСО-Лизинг БО-П выпуск 7,RU000A100XU4,12,954.0,Высокий,37.5,1000.0,2.0,75.0,2700.0,7.5,https://www.tinkoff.ru/invest/bonds/RU000A100XU4/
248,Европлан 001Р-01,RU000A102RU2,10,969.6,Высокий,14.79,1000.0,4.0,59.16,443.7,5.92,https://www.tinkoff.ru/invest/bonds/RU000A102RU2/
249,СГ-транс выпуск 1,RU000A103YP6,12,966.0,31.10.2024,21.4,1000.0,4.0,85.6,770.4,8.56,https://www.tinkoff.ru/invest/bonds/RU000A103YP6/
250,ГТЛК выпуск 7,RU000A0ZYNY4,39,957.1,13.01.2027,25.32,1000.0,4.0,101.28,2962.44,10.13,https://www.tinkoff.ru/invest/bonds/RU000A0ZYNY4/
251,ГТЛК выпуск 7,RU000A0JW1P8,26,955.6,Средний,23.75,1000.0,4.0,95.0,1852.5,9.5,https://www.tinkoff.ru/invest/bonds/RU000A0JW1P8/
252,Синара - Транспортные Машины выпуск 2,RU000A103G00,33,889.5,Средний,37.67,1000.0,2.0,75.34,7458.66,7.53,https://www.tinkoff.ru/invest/bonds/RU000A103G00/
253,ГТЛК выпуск 6,RU000A0JVWJ6,24,970.1,Средний,25.23,1000.0,4.0,100.92,1816.56,10.09,https://www.tinkoff.ru/invest/bonds/RU000A0JVWJ6/
254,Сибстекло БО-П03,RU000A105C93,21,1010.0,23.10.2023,12.09,1000.0,12.0,145.08,253.89,14.51,https://www.tinkoff.ru/invest/bonds/RU000A105C93/
255,ПРОМОМЕД ДМ 2P-01,RU000A1061A2,29,969.3,Высокий,52.2,1000.0,2.0,104.4,9082.8,10.44,https://www.tinkoff.ru/invest/bonds/RU000A1061A2/
256,Инкаб выпуск 1,RU000A1049M2,14,1002.1,Средний,29.23,1000.0,4.0,116.92,1227.66,11.69,https://www.tinkoff.ru/invest/bonds/RU000A1049M2/
257,АФК Система выпуск 21,RU000A103C95,32,885.5,02.07.2026,36.37,1000.0,2.0,72.74,6983.04,7.27,https://www.tinkoff.ru/invest/bonds/RU000A103C95/
258,ДиректЛизинг выпуск 7,RU000A103S30,35,821.355,Средний,21.14,850.0,4.0,84.56,2219.7,9.95,https://www.tinkoff.ru/invest/bonds/RU000A103S30/
259,Банк Открытие БО-П выпуск 6,RU000A101GR3,4,984.8,01.03.2024,36.8,1000.0,2.0,73.6,883.2,7.36,https://www.tinkoff.ru/invest/bonds/RU000A101GR3/
260,ЭР-Телеком Холдинг выпуск 5,RU000A1030K6,6,975.0,Высокий,18.18,1000.0,4.0,72.72,327.24,7.27,https://www.tinkoff.ru/invest/bonds/RU000A1030K6/
261,Верхнебаканский цементный завод 001P выпуск 1,RU000A0ZYLK7,50,974.4,Средний,1.57,1000.0,4.0,6.28,235.5,0.63,https://www.tinkoff.ru/invest/bonds/RU000A0ZYLK7/
262,Софтлайн выпуск 002Р-01,RU000A106A78,28,981.8,Средний,26.88,1000.0,4.0,107.52,2257.92,10.75,https://www.tinkoff.ru/invest/bonds/RU000A106A78/
263,Медси выпуск 001Р-02,RU000A105YB1,29,939.6,16.03.2026,21.75,1000.0,4.0,87.0,1892.25,8.7,https://www.tinkoff.ru/invest/bonds/RU000A105YB1/
264,Европлан БО 05,RU000A1004K1,16,928.6,25.02.2025,33.32,1000.0,2.0,66.64,3198.72,6.66,https://www.tinkoff.ru/invest/bonds/RU000A1004K1/
265,Росгеология выпуск 1,RU000A103SV6,11,956.5,Средний,38.98,1000.0,2.0,77.96,2572.68,7.8,https://www.tinkoff.ru/invest/bonds/RU000A103SV6/
266,Сэтл Групп 2Р-02,RU000A105X64,29,978.0,Высокий,26.45,1000.0,4.0,105.8,2301.15,10.58,https://www.tinkoff.ru/invest/bonds/RU000A105X64/
267,Ренессанс Кредит выпуск 4,RU000A102H83,2,986.3,22.12.2023,36.8,1000.0,2.0,73.6,441.6,7.36,https://www.tinkoff.ru/invest/bonds/RU000A102H83/
268,Восточная Стивидорная Компания выпуск 1,RU000A102G50,26,872.8,Высокий,28.36,1000.0,2.0,56.72,4424.16,5.67,https://www.tinkoff.ru/invest/bonds/RU000A102G50/
269,Новые технологии,RU000A105DL4,49,1000.0,Высокий,58.55,1000.0,2.0,117.1,17213.7,11.71,https://www.tinkoff.ru/invest/bonds/RU000A105DL4/
270,О'КЕЙ выпуск 4,RU000A102BK7,1,995.0,09.11.2023,15.66,1000.0,4.0,62.64,46.98,6.26,https://www.tinkoff.ru/invest/bonds/RU000A102BK7/
271,Европлан 001Р-04,RU000A103S14,17,579.0,Высокий,11.4,600.0,4.0,45.6,581.4,7.6,https://www.tinkoff.ru/invest/bonds/RU000A103S14/
272,ГТЛК БО-04,RU000A0JVA10,17,1007.0,Средний,29.93,1000.0,4.0,119.72,1526.43,11.97,https://www.tinkoff.ru/invest/bonds/RU000A0JVA10/
273,Гарант-Инвест 2Р-06,RU000A106862,19,998.5,Средний,9.22,1000.0,12.0,110.64,175.18,11.06,https://www.tinkoff.ru/invest/bonds/RU000A106862/
274,АФК Система выпуск 17,RU000A102FT9,20,900.6,05.06.2025,29.23,1000.0,2.0,58.46,3507.6,5.85,https://www.tinkoff.ru/invest/bonds/RU000A102FT9/
275,Уральская Сталь выпуск 1,RU000A105Q63,26,950.0,Высокий,46.81,1000.0,2.0,93.62,7302.36,9.36,https://www.tinkoff.ru/invest/bonds/RU000A105Q63/
276,Европлан 001Р-05,RU000A105518,22,963.0,Высокий,22.71,1000.0,4.0,90.84,1498.86,9.08,https://www.tinkoff.ru/invest/bonds/RU000A105518/
277,Центральная ППК выпуск 3,RU000A103F27,9,971.0,Высокий,41.15,1000.0,2.0,82.3,2222.1,8.23,https://www.tinkoff.ru/invest/bonds/RU000A103F27/
278,ГТЛК 1P-08,RU000A0ZYR91,45,944.1,30.07.2027,24.53,1000.0,4.0,98.12,3311.55,9.81,https://www.tinkoff.ru/invest/bonds/RU000A0ZYR91/
279,Аренза-Про выпуск 1,RU000A104C78,14,504.4,Средний,15.66,500.0,4.0,62.64,657.72,12.53,https://www.tinkoff.ru/invest/bonds/RU000A104C78/
280,Гарант-Инвест БО 001P-05,RU000A1005T9,6,299.1,Низкий,7.83,300.0,4.0,31.32,140.94,10.44,https://www.tinkoff.ru/invest/bonds/RU000A1005T9/
281,ЖКХ Якутии выпуск 1,RU000A100PB0,9,1000.4,Средний,28.71,1000.0,4.0,114.84,775.17,11.48,https://www.tinkoff.ru/invest/bonds/RU000A100PB0/
282,ЕвроТранс БО-001P-03,RU000A1061K1,41,1014.2,Средний,9.66,1000.0,12.0,115.92,396.06,11.59,https://www.tinkoff.ru/invest/bonds/RU000A1061K1/
283,ВИС Финанс выпуск 3,RU000A1060Y4,29,993.0,Высокий,27.93,1000.0,4.0,111.72,2429.91,11.17,https://www.tinkoff.ru/invest/bonds/RU000A1060Y4/
284,АФК Система выпуск 11,RU000A100N12,45,927.7,22.07.2027,47.24,1000.0,2.0,94.48,12754.8,9.45,https://www.tinkoff.ru/invest/bonds/RU000A100N12/
285,АФК Система выпуск 24,RU000A105L27,26,938.3,08.12.2025,21.66,1000.0,4.0,86.64,1689.48,8.66,https://www.tinkoff.ru/invest/bonds/RU000A105L27/
286,Сэтл Групп выпуск 3,RU000A1030X9,6,976.0,Высокий,18.36,1000.0,4.0,73.44,330.48,7.34,https://www.tinkoff.ru/invest/bonds/RU000A1030X9/
287,Аэрофьюэлз выпуск 1,RU000A102T97,4,984.7,Средний,20.01,1000.0,4.0,80.04,240.12,8.0,https://www.tinkoff.ru/invest/bonds/RU000A102T97/
288,ЛСР выпуск 6,RU000A102T63,28,928.5,Высокий,17.31,1000.0,4.0,69.24,1454.04,6.92,https://www.tinkoff.ru/invest/bonds/RU000A102T63/
289,HENDERSON выпуск 1,RU000A103Q08,17,732.9,Высокий,17.05,750.0,4.0,68.2,869.55,9.09,https://www.tinkoff.ru/invest/bonds/RU000A103Q08/
290,Брусника выпуск 2Р-1,RU000A1048A9,20,984.5,Средний,25.66,1000.0,4.0,102.64,1539.6,10.26,https://www.tinkoff.ru/invest/bonds/RU000A1048A9/
291,Селектел выпуск 3,RU000A106R95,34,999.0,Высокий,57.68,1000.0,2.0,115.36,11766.72,11.54,https://www.tinkoff.ru/invest/bonds/RU000A106R95/
292,ТГК-14 выпуск 001Р-01,RU000A1066J2,30,1018.2,Средний,29.58,1000.0,4.0,118.32,2662.2,11.83,https://www.tinkoff.ru/invest/bonds/RU000A1066J2/
293,Калужская СК выпуск 1,RU000A0ZZYL5,2,995.2,Средний,48.55,1000.0,2.0,97.1,582.6,9.71,https://www.tinkoff.ru/invest/bonds/RU000A0ZZYL5/
294,ПР-Лизинг 002P-01,RU000A1022E6,10,983.1,Средний,8.53,1000.0,12.0,102.36,85.3,10.24,https://www.tinkoff.ru/invest/bonds/RU000A1022E6/
295,ЛСР выпуск 7,RU000A103PX8,35,919.0,Высокий,18.7,1000.0,4.0,74.8,1963.5,7.48,https://www.tinkoff.ru/invest/bonds/RU000A103PX8/
296,Магаданская область 34003,RU000A106YE3,59,1020.0,Средний,29.75,1000.0,4.0,119.0,5265.75,11.9,https://www.tinkoff.ru/invest/bonds/RU000A106YE3/
297,Новотранс выпуск 3,RU000A105CM4,48,963.9,Высокий,25.32,1000.0,4.0,101.28,3646.08,10.13,https://www.tinkoff.ru/invest/bonds/RU000A105CM4/
298,Сэтл Групп 2Р-01,RU000A1053A9,22,984.5,Высокий,26.27,1000.0,4.0,105.08,1733.82,10.51,https://www.tinkoff.ru/invest/bonds/RU000A1053A9/
