,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
53,Онлайн Микрофинанс выпуск 1,RU000A103406,981.4,Средний,3.0,2024-02-04,8.87,1000.0,12.0,106.44,0.0,10.85,https://www.tinkoff.ru/invest/bonds/RU000A103406/
54,МигКредит БО-02,RU000A106KT0,950.1,Низкий,29.0,2024-02-14,10.53,1000.0,12.0,126.36,21.06,13.3,https://www.tinkoff.ru/invest/bonds/RU000A106KT0/
55,МФК Фордевинд,RU000A105849,810.16,Низкий,19.0,2024-02-13,11.31,800.0,12.0,135.72,11.31,16.75,https://www.tinkoff.ru/invest/bonds/RU000A105849/
56,Быстроденьги выпуск 2,RU000A102ZT7,986.2,Низкий,2.0,2024-01-28,9.05,1000.0,12.0,108.6,0.0,11.01,https://www.tinkoff.ru/invest/bonds/RU000A102ZT7/
57,Глобал Факторинг Нетворк Рус выпуск 3,RU000A106LS0,930.1,Низкий,41.0,2024-01-22,10.53,1000.0,12.0,126.36,31.59,13.59,https://www.tinkoff.ru/invest/bonds/RU000A106LS0/
58,МФК Лайм-Займ выпуск 2,RU000A105AJ4,818.08,Низкий,20.0,2024-02-05,11.4,800.0,12.0,136.8,11.4,16.72,https://www.tinkoff.ru/invest/bonds/RU000A105AJ4/
59,АПРИ Флай Плэнинг,RU000A105DS9,1017.8,Средний,33.0,2024-02-06,45.5,1000.0,4.0,182.0,364.0,17.88,https://www.tinkoff.ru/invest/bonds/RU000A105DS9/
60,Соби-Лизинг 001Р-04,RU000A107EE3,1011.4,Низкий,34.0,2024-01-18,13.57,1000.0,12.0,162.84,27.14,16.1,https://www.tinkoff.ru/invest/bonds/RU000A107EE3/
61,МФК ВЭББАНКИР выпуск 4,RU000A106Y88,964.7,Низкий,37.0,2024-01-24,14.27,1000.0,12.0,171.24,42.81,17.75,https://www.tinkoff.ru/invest/bonds/RU000A106Y88/
62,Ника 001P-02,RU000A106U74,966.2,Средний,55.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106U74/
63,Кировский завод выпуск 2,RU000A102UZ5,986.4,Средний,25.0,2024-03-14,20.53,1000.0,4.0,82.12,123.18,8.33,https://www.tinkoff.ru/invest/bonds/RU000A102UZ5/
64,ТЕХНО Лизинг выпуск 4,RU000A1032X5,874.0,Средний,27.0,2024-01-27,7.66,1000.0,12.0,91.92,15.32,10.52,https://www.tinkoff.ru/invest/bonds/RU000A1032X5/
65,ГазТрансСнаб 001Р-01,RU000A1075D6,1038.8,Низкий,57.0,2024-01-30,43.33,1000.0,4.0,173.32,606.62,16.68,https://www.tinkoff.ru/invest/bonds/RU000A1075D6/
66,АПРИ Флай Плэнинг БО-002Р-04,RU000A107FZ5,1047.0,Средний,47.0,2024-03-22,52.03,1000.0,4.0,208.12,572.33,19.88,https://www.tinkoff.ru/invest/bonds/RU000A107FZ5/
67,Феррони БО-02,RU000A105P64,985.9,Низкий,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105P64/
68,Легенда выпуск 4,RU000A102Y66,945.9,Средний,14.0,2024-04-09,21.58,1000.0,4.0,86.32,64.74,9.13,https://www.tinkoff.ru/invest/bonds/RU000A102Y66/
69,АйДи Коллект выпуск 6,RU000A107C34,1001.1,Низкий,34.0,2024-02-05,12.79,1000.0,12.0,153.48,25.58,15.33,https://www.tinkoff.ru/invest/bonds/RU000A107C34/
70,Селлер выпуск 1,RU000A106KY0,1000.7,Низкий,17.0,2024-02-14,12.79,1000.0,12.0,153.48,12.79,15.34,https://www.tinkoff.ru/invest/bonds/RU000A106KY0/
71,АСВ выпуск 1,RU000A106RB3,973.5,Низкий,30.0,2024-02-16,36.8,1000.0,4.0,147.2,257.6,15.12,https://www.tinkoff.ru/invest/bonds/RU000A106RB3/
72,А Девелопмент,RU000A104FX7,960.5,Низкий,12.0,2024-01-25,30.02,1000.0,4.0,120.08,90.06,12.5,https://www.tinkoff.ru/invest/bonds/RU000A104FX7/
73,Соби-Лизинг 001Р-03,RU000A1078H1,995.8,Низкий,33.0,2024-01-20,12.44,1000.0,12.0,149.28,24.88,14.99,https://www.tinkoff.ru/invest/bonds/RU000A1078H1/
74,ПИМ выпуск 2,RU000A106NT4,937.2,Низкий,30.0,2024-02-01,31.41,1000.0,4.0,125.64,219.87,13.41,https://www.tinkoff.ru/invest/bonds/RU000A106NT4/
75,РКК выпуск 2,RU000A105ZW4,998.0,Средний,38.0,2024-03-21,38.98,1000.0,4.0,155.92,350.82,15.62,https://www.tinkoff.ru/invest/bonds/RU000A105ZW4/
