,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Осталось выплат,Доходность(% в год),Доходность(все время),Ссылка,Статус квал. инвестора
0,Ferroni выпуск 1,RU000A103XP8,858.6,Низкий,18.0,2024-04-15,5.0,9.22,1000.0,12.0,110.64,18.0,12.89,166.0,https://www.tinkoff.ru/invest/bonds/RU000A103XP8/,Не важен / Неизвестно
1,Роснано выпуск 8,RU000A1008V9,864.0,Средний,47.0,2024-04-01,,58.2,1000.0,2.0,116.4,8.0,13.47,466.0,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/,Не важен / Неизвестно
2,Alfa Bank,RU000A100GW5,8500000.0,Средний,,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/,Не важен / Неизвестно
3,Банк ВТБ (ПАО) СУБ-Т1-2,RU000A102QL3,6356275.7646375,Средний,,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102QL3/,Не важен / Неизвестно
4,ВТБ СУБ выпуск 5,RU000A1034P7,6501000.0,Средний,,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1034P7/,Не важен / Неизвестно
5,ВТБ СУБ выпуск 1,RU000A102QJ7,8303652.0,Высокий,,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102QJ7/,Не важен / Неизвестно
6,ВТБ СУБ выпуск 12,RU000A103SC6,8300000.0,Средний,,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A103SC6/,Не важен / Неизвестно
7,Сегежа Групп 003P-02R,RU000A105SP3,852.7,Средний,165.0,2024-05-03,17.0,22.97,1000.0,4.0,91.88,55.0,10.78,1263.0,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/,Не важен / Неизвестно
8,Сегежа 002P выпуск 5,RU000A1053P7,766.9,Средний,160.0,2024-08-15,13.0,46.11,1000.0,2.0,92.22,27.0,12.03,1245.0,https://www.tinkoff.ru/invest/bonds/RU000A1053P7/,Не важен / Неизвестно
9,ЕнисейАгроСоюз 001Р-01,RU000A107R29,996.3,Средний,58.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107R29/,Не важен / Неизвестно
