,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Осталось выплат,Доходность(% в год),Доходность(все время),Ссылка,Статус квал. инвестора
10,Пионер-Лизинг,RU000A104V00,1000.2,Низкий,96.0,2024-04-27,2.0,15.57,1000.0,12.0,186.84,96.0,18.68,1495.0,https://www.tinkoff.ru/invest/bonds/RU000A104V00/,Не важен / Неизвестно
11,Славянск ЭКО выпуск 1,RU000A103WB0,944.6,Средний,30.0,2024-04-16,22.0,23.84,1000.0,4.0,95.36,10.0,10.1,238.0,https://www.tinkoff.ru/invest/bonds/RU000A103WB0/,Не важен / Неизвестно
12,Сегежа 002P выпуск 1,RU000A1041B2,931.9,Средний,150.0,2024-05-15,37.0,42.72,1000.0,2.0,85.44,25.0,9.17,1068.0,https://www.tinkoff.ru/invest/bonds/RU000A1041B2/,Не важен / Неизвестно
13,АПРИ Флай Плэнинг БО-П5,RU000A103N19,924.1,Низкий,17.0,2024-06-04,9.0,28.19,1000.0,4.0,112.76,6.0,12.2,169.0,https://www.tinkoff.ru/invest/bonds/RU000A103N19/,Не важен / Неизвестно
14,Племзавод Пушкинское 001P-03,RU000A1080Y2,993.4,Средний,59.0,2024-06-13,8.0,38.98,1000.0,4.0,155.92,20.0,15.7,780.0,https://www.tinkoff.ru/invest/bonds/RU000A1080Y2/,Не важен / Неизвестно
15,МФК ВЭББАНКИР 06,RU000A1082K7,1000.9,Средний,41.0,2024-04-20,6.0,14.96,1000.0,12.0,179.52,41.0,17.94,613.0,https://www.tinkoff.ru/invest/bonds/RU000A1082K7/,Не важен / Неизвестно
16,М.Видео выпуск 4,RU000A106540,924.2,Средний,24.0,2024-04-19,26.0,28.27,1000.0,4.0,113.08,8.0,12.24,226.0,https://www.tinkoff.ru/invest/bonds/RU000A106540/,Не важен / Неизвестно
17,МигКредит БО-03,RU000A106UK8,981.1,Низкий,28.0,2024-04-04,12.0,11.92,1000.0,12.0,143.04,28.0,14.58,334.0,https://www.tinkoff.ru/invest/bonds/RU000A106UK8/,Не важен / Неизвестно
18,Эфферон выпуск 1,RU000A105H98,897.9,Низкий,43.0,2024-05-23,14.0,29.23,1000.0,4.0,116.92,14.0,13.02,409.0,https://www.tinkoff.ru/invest/bonds/RU000A105H98/,Не важен / Неизвестно
19,М.Видео выпуск 3,RU000A104ZK2,905.0,Средний,15.0,2024-04-23,23.0,26.71,1000.0,4.0,106.84,5.0,11.81,134.0,https://www.tinkoff.ru/invest/bonds/RU000A104ZK2/,Не важен / Неизвестно
20,Солид-Лизинг БО-02,RU000A107W71,1000.0,Высокий,40.0,2024-05-31,17.0,45.5,1000.0,4.0,182.0,13.0,18.2,592.0,https://www.tinkoff.ru/invest/bonds/RU000A107W71/,Не важен / Неизвестно
21,Газпром Капитал БЗО26-1-Е,RU000A105QX1,74480.1579,Высокий,,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105QX1/,Не важен / Неизвестно
22,МФК Эйрлоанс выпуск 1,RU000A1043L7,953.3,Средний,13.0,2024-04-11,7.0,9.4,1000.0,12.0,112.8,13.0,11.83,122.0,https://www.tinkoff.ru/invest/bonds/RU000A1043L7/,Не важен / Неизвестно
23,Онлайн Микрофинанс выпуск 1,RU000A103406,993.2,Низкий,1.0,2024-04-04,9.0,8.87,1000.0,12.0,106.44,1.0,10.72,9.0,https://www.tinkoff.ru/invest/bonds/RU000A103406/,Не важен / Неизвестно
24,Руссойл БО-01,RU000A1074E7,1000.2,Низкий,30.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1074E7/,Не важен / Неизвестно
25,СПМК БО-02,RU000A106FN3,950.5,Низкий,38.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106FN3/,Не важен / Неизвестно
26,МФК Быстроденьги 002P-04,RU000A107GU4,1014.6,Средний,38.0,2024-04-24,4.0,15.66,1000.0,12.0,187.92,38.0,18.52,595.0,https://www.tinkoff.ru/invest/bonds/RU000A107GU4/,Не важен / Неизвестно
27,Пионер-Лизинг-БО-П03,RU000A1013N6,1073.8,Низкий,66.0,2024-04-03,16.0,15.66,1000.0,12.0,187.92,66.0,17.5,1034.0,https://www.tinkoff.ru/invest/bonds/RU000A1013N6/,Не важен / Неизвестно
28,Пионер-Лизинг-БО-П04,RU000A102LF6,1000.5,Низкий,80.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102LF6/,Не важен / Неизвестно
29,АПРИ Флай Плэнинг БО-2Р-02,RU000A106631,981.4,Низкий,36.0,2024-04-25,33.0,38.98,1000.0,4.0,155.92,12.0,15.89,468.0,https://www.tinkoff.ru/invest/bonds/RU000A106631/,Не важен / Неизвестно
30,МигКредит 002MC-03,RU000A107KR2,1009.7,Средний,33.0,2024-04-15,9.0,14.96,1000.0,12.0,179.52,33.0,17.78,494.0,https://www.tinkoff.ru/invest/bonds/RU000A107KR2/,Не важен / Неизвестно
31,МФК Мани Мен выпуск 3,RU000A103PS8,971.9,Низкий,5.0,2024-04-03,9.0,8.7,1000.0,12.0,104.4,5.0,10.74,44.0,https://www.tinkoff.ru/invest/bonds/RU000A103PS8/,Не важен / Неизвестно
32,AzurDrive выпуск 1,RU000A106TJ2,933.6,Низкий,40.0,2024-04-27,1.0,11.4,1000.0,12.0,136.8,40.0,14.65,456.0,https://www.tinkoff.ru/invest/bonds/RU000A106TJ2/,Не важен / Неизвестно
33,АПРИ Флай Плэнинг БО-П05,RU000A104WA0,995.8,Низкий,14.0,2024-06-20,5.0,38.98,1000.0,4.0,155.92,5.0,15.66,195.0,https://www.tinkoff.ru/invest/bonds/RU000A104WA0/,Не важен / Неизвестно
34,МФК ЦФП выпуск 2,RU000A103GL2,981.4,Низкий,3.0,2024-04-19,4.0,9.22,1000.0,12.0,110.64,3.0,11.27,28.0,https://www.tinkoff.ru/invest/bonds/RU000A103GL2/,Не важен / Неизвестно
35,МФК ВЭББАНКИР выпуск 4,RU000A106Y88,933.9,Низкий,35.0,2024-04-23,4.0,12.79,1000.0,12.0,153.48,35.0,16.43,448.0,https://www.tinkoff.ru/invest/bonds/RU000A106Y88/,Не важен / Неизвестно
36,МФК Быстроденьги 002P-05,RU000A107PW1,1011.6,Низкий,39.0,2024-03-31,0.0,14.96,1000.0,12.0,179.52,39.0,17.75,583.0,https://www.tinkoff.ru/invest/bonds/RU000A107PW1/,Не важен / Неизвестно
37,Пионер-Лизинг-БО-П02,RU000A1006C3,1088.0,Низкий,57.0,2024-04-17,8.0,15.83,1000.0,12.0,189.96,57.0,17.46,902.0,https://www.tinkoff.ru/invest/bonds/RU000A1006C3/,Не важен / Неизвестно
38,Фордевинд2,RU000A106DK4,945.0,Низкий,26.0,2024-04-10,9.0,11.4,1000.0,12.0,136.8,26.0,14.48,296.0,https://www.tinkoff.ru/invest/bonds/RU000A106DK4/,Не важен / Неизвестно
39,РКК выпуск 3,RU000A106GZ5,944.0,Низкий,50.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106GZ5/,Не важен / Неизвестно
40,Фордевинд 03,RU000A106Q47,932.9,Низкий,33.0,2024-04-06,11.0,11.4,1000.0,12.0,136.8,33.0,14.66,376.0,https://www.tinkoff.ru/invest/bonds/RU000A106Q47/,Не важен / Неизвестно
41,НИКА обб01,RU000A1050X7,831.534,Низкий,15.0,2024-04-30,21.0,27.93,860.0,4.0,111.72,5.0,13.44,140.0,https://www.tinkoff.ru/invest/bonds/RU000A1050X7/,Не важен / Неизвестно
42,АПРИ Флай Плэнинг выпуск 3,RU000A106WZ2,1006.5,Низкий,41.0,2024-06-18,7.0,45.5,1000.0,4.0,182.0,14.0,18.08,637.0,https://www.tinkoff.ru/invest/bonds/RU000A106WZ2/,Не важен / Неизвестно
43,Мегатакт-НН БО-01,RU000A107PM2,1013.7,Низкий,45.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107PM2/,Не важен / Неизвестно
44,ПЗ Пушкинское 001P-02,RU000A107LU4,999.8,Низкий,57.0,2024-04-23,35.0,41.15,1000.0,4.0,164.6,19.0,16.46,782.0,https://www.tinkoff.ru/invest/bonds/RU000A107LU4/,Не важен / Неизвестно
45,Селлер выпуск 1,RU000A106KY0,991.6,Средний,15.0,2024-04-14,8.0,12.79,1000.0,12.0,153.48,15.0,15.48,192.0,https://www.tinkoff.ru/invest/bonds/RU000A106KY0/,Не важен / Неизвестно
46,МФК Лайм-Займ 001Р-03,RU000A107795,988.2,Низкий,31.0,2024-04-13,9.0,14.27,1000.0,12.0,171.24,31.0,17.33,442.0,https://www.tinkoff.ru/invest/bonds/RU000A107795/,Не важен / Неизвестно
47,Солид-Лизинг выпуск 1,RU000A104CF1,621.4,Средний,32.0,2024-06-25,1.0,20.01,650.0,4.0,80.04,11.0,12.88,220.0,https://www.tinkoff.ru/invest/bonds/RU000A104CF1/,Не важен / Неизвестно
48,Вита Лайн 001Р выпуск 3,RU000A1036X6,984.5,Средний,13.0,2024-05-30,8.0,21.66,1000.0,4.0,86.64,4.0,8.8,87.0,https://www.tinkoff.ru/invest/bonds/RU000A1036X6/,Не важен / Неизвестно
49,Маныч-Агро выпуск 1,RU000A1032D7,954.8,Средний,12.0,2024-04-26,21.0,26.01,1000.0,4.0,104.04,4.0,10.9,104.0,https://www.tinkoff.ru/invest/bonds/RU000A1032D7/,Не важен / Неизвестно
50,МФК ВЭББАНКИР 1P-02,RU000A105575,898.6,Низкий,22.0,2024-04-22,3.0,10.0,1000.0,12.0,120.0,22.0,13.35,220.0,https://www.tinkoff.ru/invest/bonds/RU000A105575/,Не важен / Неизвестно
51,МФК Лайм-Займ 1Р-02,RU000A106CJ8,871.56,Низкий,25.0,2024-04-03,11.0,10.61,900.0,12.0,127.32,25.0,14.61,265.0,https://www.tinkoff.ru/invest/bonds/RU000A106CJ8/,Не важен / Неизвестно
52,ПР-Лизинг 002P-01,RU000A1022E6,947.0,Средний,64.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1022E6/,Не важен / Неизвестно
53,Легенда выпуск 4,RU000A102Y66,957.3,Средний,12.0,2024-04-09,22.0,21.58,1000.0,4.0,86.32,4.0,9.02,86.0,https://www.tinkoff.ru/invest/bonds/RU000A102Y66/,Не важен / Неизвестно
54,Плаза-Телеком БО-01,RU000A106YD5,991.4,Низкий,29.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106YD5/,Не важен / Неизвестно
55,ТрансФин-М 001Р-07,RU000A103M36,964.2,Средний,88.0,2024-05-27,9.0,21.23,1000.0,4.0,84.92,29.0,8.81,616.0,https://www.tinkoff.ru/invest/bonds/RU000A103M36/,Не важен / Неизвестно
56,Ника (ООО) 001P-03,RU000A107SH6,999.8,Средний,58.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107SH6/,Не важен / Неизвестно
57,Мосгорломбард 001Р-05,RU000A107UB5,1031.8,Низкий,58.0,2024-05-28,18.0,43.33,1000.0,4.0,173.32,19.0,16.8,823.0,https://www.tinkoff.ru/invest/bonds/RU000A107UB5/,Не важен / Неизвестно
58,Маныч-Агро,RU000A103K20,911.4,Средний,22.0,2024-05-16,15.0,26.01,1000.0,4.0,104.04,7.0,11.42,182.0,https://www.tinkoff.ru/invest/bonds/RU000A103K20/,Не важен / Неизвестно
59,ТЕХНО Лизинг выпуск 4,RU000A1032X5,876.4,Низкий,24.0,2024-04-26,1.0,7.66,1000.0,12.0,91.92,24.0,10.49,184.0,https://www.tinkoff.ru/invest/bonds/RU000A1032X5/,Не важен / Неизвестно
60,МФК Лайм-Займ выпуск 2,RU000A105AJ4,810.32,Низкий,17.0,2024-04-05,11.0,11.4,800.0,12.0,136.8,17.0,16.88,194.0,https://www.tinkoff.ru/invest/bonds/RU000A105AJ4/,Не важен / Неизвестно
61,МФК ВЭББАНКИР выпуск 1,RU000A103F43,815.64858,Средний,9.0,2024-04-07,7.0,7.57,833.4,12.0,90.84,9.0,11.14,68.0,https://www.tinkoff.ru/invest/bonds/RU000A103F43/,Не важен / Неизвестно
62,Фордевинд 04,RU000A106SE5,967.0,Средний,34.0,2024-04-24,3.0,12.09,1000.0,12.0,145.08,34.0,15.0,411.0,https://www.tinkoff.ru/invest/bonds/RU000A106SE5/,Не важен / Неизвестно
63,Ника 001P-02,RU000A106U74,957.7,Низкий,52.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106U74/,Не важен / Неизвестно
64,Завод КЭС 001P-05,RU000A107U40,1004.4,Низкий,58.0,2024-05-23,20.0,41.15,1000.0,4.0,164.6,19.0,16.39,782.0,https://www.tinkoff.ru/invest/bonds/RU000A107U40/,Не важен / Неизвестно
65,ПР-Лизинг выпуск 2,RU000A106EP1,892.9,Средний,97.0,2024-04-18,4.0,8.87,1000.0,12.0,106.44,97.0,11.92,860.0,https://www.tinkoff.ru/invest/bonds/RU000A106EP1/,Не важен / Неизвестно
66,Нафтатранс Плюс выпуск 3,RU000A102V51,919.0,Низкий,22.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102V51/,Не важен / Неизвестно
67,Феррони БО-02,RU000A105P64,884.97,Низкий,20.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A105P64/,Не важен / Неизвестно
68,МФК Лайм-Займ выпуск 1,RU000A104AX8,592.86,Низкий,8.0,2024-06-19,3.0,21.75,600.0,4.0,87.0,3.0,14.67,65.0,https://www.tinkoff.ru/invest/bonds/RU000A104AX8/,Не важен / Неизвестно
69,МигКредит БО-02,RU000A106KT0,958.1,Средний,27.0,2024-04-14,6.0,10.53,1000.0,12.0,126.36,27.0,13.19,284.0,https://www.tinkoff.ru/invest/bonds/RU000A106KT0/,Не важен / Неизвестно
70,Группа Продовольствие 001P-03,RU000A106YN4,953.1,Низкий,29.0,2024-04-25,2.0,11.4,1000.0,12.0,136.8,29.0,14.35,331.0,https://www.tinkoff.ru/invest/bonds/RU000A106YN4/,Не важен / Неизвестно
71,ПИМ выпуск 2,RU000A106NT4,931.6,Средний,28.0,2024-05-02,23.0,31.41,1000.0,4.0,125.64,9.0,13.49,283.0,https://www.tinkoff.ru/invest/bonds/RU000A106NT4/,Не важен / Неизвестно
72,А Девелопмент,RU000A104FX7,964.4,Низкий,9.0,2024-04-25,25.0,30.02,1000.0,4.0,120.08,3.0,12.45,90.0,https://www.tinkoff.ru/invest/bonds/RU000A104FX7/,Не важен / Неизвестно
73,Глобал Факторинг Нетворк Рус выпуск 3,RU000A106LS0,934.0,Низкий,39.0,2024-04-21,4.0,10.53,1000.0,12.0,126.36,39.0,13.53,411.0,https://www.tinkoff.ru/invest/bonds/RU000A106LS0/,Не важен / Неизвестно
74,МФК Саммит 1P-01,RU000A105UZ8,964.43792,Средний,22.0,2024-04-11,10.0,13.31,958.4,12.0,159.72,22.0,16.56,293.0,https://www.tinkoff.ru/invest/bonds/RU000A105UZ8/,Не важен / Неизвестно
75,Талан-Финанс выпуск 3,RU000A1043B8,964.0,Средний,13.0,2024-05-20,15.0,28.19,1000.0,4.0,112.76,4.0,11.7,113.0,https://www.tinkoff.ru/invest/bonds/RU000A1043B8/,Не важен / Неизвестно
76,Мани Капитал 001P-01,RU000A1074F4,954.7,Средний,30.0,2024-04-21,5.0,14.96,1000.0,12.0,179.52,30.0,18.8,449.0,https://www.tinkoff.ru/invest/bonds/RU000A1074F4/,Не важен / Неизвестно
77,МФК Быстроденьги 2P-03,RU000A1070G0,947.6,Средний,35.0,2024-04-08,13.0,14.96,1000.0,12.0,179.52,35.0,18.94,524.0,https://www.tinkoff.ru/invest/bonds/RU000A1070G0/,Не важен / Неизвестно
78,БЭЛТИ-ГРАНД выпуск 4,RU000A103DY2,778.515,Средний,34.0,2024-03-30,0.0,7.39,850.0,12.0,88.68,34.0,11.39,251.0,https://www.tinkoff.ru/invest/bonds/RU000A103DY2/,Не важен / Неизвестно
79,Джой Мани 001P-01,RU000A107EW5,1022.3,Средний,32.0,2024-04-18,8.0,15.66,1000.0,12.0,187.92,32.0,18.38,501.0,https://www.tinkoff.ru/invest/bonds/RU000A107EW5/,Не важен / Неизвестно
80,МФК ВЭББАНКИР 001Р-04,RU000A107U65,999.5,Средний,40.0,2024-04-22,5.0,14.96,1000.0,12.0,179.52,40.0,17.96,598.0,https://www.tinkoff.ru/invest/bonds/RU000A107U65/,Не важен / Неизвестно
81,УК ОРГ выпуск 3,RU000A106UB7,966.1,Низкий,28.0,2024-04-04,12.0,11.74,1000.0,12.0,140.88,28.0,14.58,329.0,https://www.tinkoff.ru/invest/bonds/RU000A106UB7/,Не важен / Неизвестно
82,Селлер выпуск 2,RU000A106X30,995.0,Низкий,29.0,2024-04-16,7.0,12.79,1000.0,12.0,153.48,29.0,15.43,371.0,https://www.tinkoff.ru/invest/bonds/RU000A106X30/,Не важен / Неизвестно
83,Лизинг трейд выпуск 3,RU000A1034X1,899.0,Низкий,25.0,2024-04-10,6.0,7.83,1000.0,12.0,93.96,25.0,10.45,196.0,https://www.tinkoff.ru/invest/bonds/RU000A1034X1/,Не важен / Неизвестно
84,ТЕХНО Лизинг выпуск 5,RU000A103TS0,843.7,Низкий,41.0,2024-04-21,3.0,8.18,1000.0,12.0,98.16,41.0,11.63,335.0,https://www.tinkoff.ru/invest/bonds/RU000A103TS0/,Не важен / Неизвестно
85,СибАвтоТранс 001Р-03,RU000A107KV4,1012.4,Низкий,57.0,2024-04-18,38.0,41.15,1000.0,4.0,164.6,19.0,16.26,782.0,https://www.tinkoff.ru/invest/bonds/RU000A107KV4/,Не важен / Неизвестно
86,АСПЭК-Домстрой выпуск 1,RU000A104B53,736.425,Низкий,8.0,2024-06-20,3.0,23.58,750.0,4.0,94.32,3.0,12.81,71.0,https://www.tinkoff.ru/invest/bonds/RU000A104B53/,Не важен / Неизвестно
87,АСВ выпуск 1,RU000A106RB3,969.6,Низкий,28.0,2024-05-17,21.0,36.8,1000.0,4.0,147.2,9.0,15.18,331.0,https://www.tinkoff.ru/invest/bonds/RU000A106RB3/,Не важен / Неизвестно
88,УК ОРГ выпуск 2,RU000A106L67,969.5,Низкий,27.0,2024-04-19,5.0,11.74,1000.0,12.0,140.88,27.0,14.53,317.0,https://www.tinkoff.ru/invest/bonds/RU000A106L67/,Не важен / Неизвестно
89,АйДи Коллект выпуск 6,RU000A107C34,997.1,Низкий,31.0,2024-04-05,12.0,12.79,1000.0,12.0,153.48,31.0,15.39,396.0,https://www.tinkoff.ru/invest/bonds/RU000A107C34/,Не важен / Неизвестно
90,Соби-Лизинг 001Р-04,RU000A107EE3,1010.4,Средний,32.0,2024-04-17,7.0,13.57,1000.0,12.0,162.84,32.0,16.12,434.0,https://www.tinkoff.ru/invest/bonds/RU000A107EE3/,Не важен / Неизвестно
91,МаксимаТелеком выпуск 2,RU000A102DK3,987.9,Средний,1.0,2024-05-21,35.0,42.28,1000.0,2.0,84.56,0.0,8.56,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102DK3/,Не важен / Неизвестно
92,Роял Капитал выпуск 9,RU000A106JC8,939.1,Низкий,27.0,2024-04-10,33.0,32.19,1000.0,4.0,128.76,9.0,13.71,290.0,https://www.tinkoff.ru/invest/bonds/RU000A106JC8/,Не важен / Неизвестно
93,Мани Капитал 001P-02,RU000A1079G1,985.5,Низкий,31.0,2024-04-26,3.0,15.66,1000.0,12.0,187.92,31.0,19.07,485.0,https://www.tinkoff.ru/invest/bonds/RU000A1079G1/,Не важен / Неизвестно
94,РСХБ выпуск T1,RU000A0ZZ4T1,731.2,Средний,,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ4T1/,Не важен / Неизвестно
95,Агрофирма Рубеж 001Р-02,RU000A107YT9,1006.0,Низкий,59.0,2024-06-11,10.0,40.11,1000.0,4.0,160.44,20.0,15.95,802.0,https://www.tinkoff.ru/invest/bonds/RU000A107YT9/,Не важен / Неизвестно
96,Смартфакт БО-02-001P,RU000A107EP9,1014.3,Средний,32.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107EP9/,Не важен / Неизвестно
97,Сегежа,RU000A104UA4,966.2,Средний,157.0,2024-05-27,14.0,32.19,1000.0,4.0,128.76,52.0,13.33,1674.0,https://www.tinkoff.ru/invest/bonds/RU000A104UA4/,Не важен / Неизвестно
98,Реаторг 001Р-01,RU000A105BP9,883.8,Низкий,18.0,2024-04-23,27.0,30.45,900.0,4.0,121.8,6.0,13.78,183.0,https://www.tinkoff.ru/invest/bonds/RU000A105BP9/,Не важен / Неизвестно
99,Мосрегионлифт БО-02,RU000A106DJ6,992.8,Низкий,37.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106DJ6/,Не важен / Неизвестно
100,РКК выпуск 1,RU000A105VP7,1009.8,Низкий,22.0,2024-05-21,21.0,41.15,1000.0,4.0,164.6,7.0,16.3,288.0,https://www.tinkoff.ru/invest/bonds/RU000A105VP7/,Не важен / Неизвестно
101,М.Видео выпуск 2,RU000A103HT3,965.8,Средний,4.0,2024-05-08,12.0,17.49,1000.0,4.0,69.96,1.0,7.24,17.0,https://www.tinkoff.ru/invest/bonds/RU000A103HT3/,Не важен / Неизвестно
102,НК Продкорпорация выпуск 1,RU000A102BF7,899.9,Низкий,23.0,2024-09-26,1.0,39.41,1000.0,2.0,78.82,4.0,8.76,158.0,https://www.tinkoff.ru/invest/bonds/RU000A102BF7/,Не важен / Неизвестно
103,РСХБ 09Т1,RU000A0ZZ505,736.2,Средний,,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ505/,Не важен / Неизвестно
104,МФК Быстроденьги 2P-02,RU000A106B51,963.6,Низкий,31.0,2024-04-25,2.0,11.4,1000.0,12.0,136.8,31.0,14.2,353.0,https://www.tinkoff.ru/invest/bonds/RU000A106B51/,Не важен / Неизвестно
105,Неолизинг выпуск 1,RU000A106PY9,986.6,Средний,27.0,2024-04-05,12.0,12.09,1000.0,12.0,145.08,27.0,14.71,326.0,https://www.tinkoff.ru/invest/bonds/RU000A106PY9/,Не важен / Неизвестно
106,Мани Капитал 001P-03,RU000A107WD7,1000.8,Средний,34.0,2024-04-04,17.0,15.66,1000.0,12.0,187.92,34.0,18.78,532.0,https://www.tinkoff.ru/invest/bonds/RU000A107WD7/,Не важен / Неизвестно
107,Айди Коллект выпуск 3,RU000A1065M8,950.0,Средний,24.0,2024-04-20,4.0,10.7,1000.0,12.0,128.4,24.0,13.52,257.0,https://www.tinkoff.ru/invest/bonds/RU000A1065M8/,Не важен / Неизвестно
108,СмартФ1Р01,RU000A106CM2,958.6,Низкий,26.0,2024-06-06,10.0,34.1,1000.0,4.0,136.4,9.0,14.23,307.0,https://www.tinkoff.ru/invest/bonds/RU000A106CM2/,Не важен / Неизвестно
109,МСБ-Лизинг 003Р-01,RU000A106D18,954.2,Средний,25.0,2024-04-08,8.0,9.57,1000.0,12.0,114.84,25.0,12.04,239.0,https://www.tinkoff.ru/invest/bonds/RU000A106D18/,Не важен / Неизвестно
110,Азбука Вкуса выпуск 1,RU000A100HE1,984.9,Средний,62.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A100HE1/,Не важен / Неизвестно
111,Энергоника 001Р-03,RU000A105492,856.08,Средний,40.0,2024-05-21,16.0,30.45,900.0,4.0,121.8,13.0,14.23,396.0,https://www.tinkoff.ru/invest/bonds/RU000A105492/,Не важен / Неизвестно
112,ФПК Гарант-Инвест 002Р-08,RU000A107TR3,1003.4,Средний,22.0,2024-04-21,4.0,12.79,1000.0,12.0,153.48,22.0,15.3,281.0,https://www.tinkoff.ru/invest/bonds/RU000A107TR3/,Не важен / Неизвестно
113,Роял Капитал,RU000A104UF3,968.4,Низкий,13.0,2024-05-28,14.0,32.19,1000.0,4.0,128.76,4.0,13.3,129.0,https://www.tinkoff.ru/invest/bonds/RU000A104UF3/,Не важен / Неизвестно
114,Завод КЭС выпуск 4,RU000A106QS9,907.4,Низкий,52.0,2024-06-14,6.0,31.41,1000.0,4.0,125.64,17.0,13.85,534.0,https://www.tinkoff.ru/invest/bonds/RU000A106QS9/,Не важен / Неизвестно
115,Т.Г. Шевченко выпуск 3,RU000A104Z89,849.2,Средний,15.0,2024-04-18,,0.0,1000.0,4.0,0.0,5.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104Z89/,Не важен / Неизвестно
116,Сбербанк 002СУБ-02R,RU000A102HC1,8000000.0,Средний,83.0,,,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102HC1/,Не важен / Неизвестно
117,Соби-Лизинг 001Р-03,RU000A1078H1,967.963,Средний,31.0,2024-04-19,5.0,12.09,970.0,12.0,145.08,31.0,14.99,375.0,https://www.tinkoff.ru/invest/bonds/RU000A1078H1/,Не важен / Неизвестно
118,ПИМ выпуск 1,RU000A103WD6,739.725,Низкий,6.0,2024-04-17,20.0,21.14,750.0,4.0,84.56,2.0,11.43,42.0,https://www.tinkoff.ru/invest/bonds/RU000A103WD6/,Не важен / Неизвестно
119,Элит Строй выпуск 1,RU000A103M85,985.1,Средний,4.0,2024-04-17,5.0,10.0,1000.0,12.0,120.0,4.0,12.18,40.0,https://www.tinkoff.ru/invest/bonds/RU000A103M85/,Не важен / Неизвестно
120,Хайтэк-Интеграция 1P-01,RU000A106151,955.0,Средний,23.0,2024-06-27,1.0,32.19,1000.0,4.0,128.76,8.0,13.48,258.0,https://www.tinkoff.ru/invest/bonds/RU000A106151/,Не важен / Неизвестно
