,Название,Код,Цена,Рейтинг,Срок(месяца),Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
382,Автодор БО-3 выпуск 1,RU000A102H91,781.2455,Средний,23.0,26.19,895.0,2.0,52.38,288.09,6.7,https://www.tinkoff.ru/invest/bonds/RU000A102H91/
383,Первое коллекторское бюро 001Р выпуск 3,RU000A1047S3,784.0,Средний,23.0,21.23,800.0,4.0,84.92,106.15,10.83,https://www.tinkoff.ru/invest/bonds/RU000A1047S3/
384,ПИК-Корпорация выпуск 2,RU000A1016Z3,478.55,Высокий,11.0,8.87,500.0,4.0,35.48,17.74,7.41,https://www.tinkoff.ru/invest/bonds/RU000A1016Z3/
385,РСХБ 08Т1,RU000A0JWV63,992.1,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A0JWV63/
386,Новотранс выпуск 2,RU000A103133,935.0,Высокий,27.0,19.84,1000.0,4.0,79.36,119.04,8.49,https://www.tinkoff.ru/invest/bonds/RU000A103133/
387,ТМК 001Р выпуск 2,RU000A102SC8,990.0,Высокий,1.0,15.49,1000.0,4.0,61.96,0.0,6.26,https://www.tinkoff.ru/invest/bonds/RU000A102SC8/
388,Газпром капитал выпуск 5,RU000A0JXFS8,993.5,Высокий,37.0,38.54,1000.0,2.0,77.08,693.72,7.76,https://www.tinkoff.ru/invest/bonds/RU000A0JXFS8/
389,ГК Самолет выпуск 9,RU000A102RX6,992.5,Высокий,1.0,39.24,1000.0,2.0,78.48,0.0,7.91,https://www.tinkoff.ru/invest/bonds/RU000A102RX6/
390,РЕСОЛиБП22,RU000A106DP3,926.9,Средний,113.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106DP3/
391,Делимобиль 1Р-03,RU000A106UW3,989.2,Высокий,43.0,9.74,1000.0,12.0,116.88,29.22,11.82,https://www.tinkoff.ru/invest/bonds/RU000A106UW3/
392,Кыргызская Республика выпуск 01 RUB,KG000A3LSJ06,100.04,Средний,23.0,3.13,100.0,4.0,12.52,15.65,12.51,https://www.tinkoff.ru/invest/bonds/KG000A3LSJ06/
393,Медси выпуск 001Р-02,RU000A105YB1,927.9,Высокий,169.0,21.75,1000.0,4.0,87.0,913.5,9.38,https://www.tinkoff.ru/invest/bonds/RU000A105YB1/
394,Ульяновская область,RU000A101U61,871.9,Средний,41.0,28.62,1000.0,2.0,57.24,572.4,6.56,https://www.tinkoff.ru/invest/bonds/RU000A101U61/
395,Синара - Транспортные Машины выпуск 1,RU000A1035D0,974.0,Высокий,4.0,35.06,1000.0,2.0,70.12,70.12,7.2,https://www.tinkoff.ru/invest/bonds/RU000A1035D0/
