,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Осталось выплат,Доходность(% в год),Доходность(все время),Ссылка,Статус квал. инвестора
193,ЭкономЛизинг 001Р-05,RU000A106R12,974.8,Средний,28.0,2024-05-15,20.0,33.58,1000.0,4.0,134.32,9.0,13.78,302.0,https://www.tinkoff.ru/invest/bonds/RU000A106R12/,Не важен / Неизвестно
194,Гарант-Инвест 2Р-06,RU000A106862,964.4,Средний,13.0,2024-04-10,7.0,9.22,1000.0,12.0,110.64,13.0,11.47,120.0,https://www.tinkoff.ru/invest/bonds/RU000A106862/,Не важен / Неизвестно
195,Центральная ППК выпуск 3,RU000A103F27,978.7,Средний,3.0,2024-07-17,19.0,41.15,1000.0,2.0,82.3,0.0,8.41,0.0,https://www.tinkoff.ru/invest/bonds/RU000A103F27/,Не важен / Неизвестно
196,Лизинг-Трейд 001P-11,RU000A107NJ3,1008.3,Низкий,56.0,2024-04-25,3.0,14.27,1000.0,12.0,171.24,56.0,16.98,799.0,https://www.tinkoff.ru/invest/bonds/RU000A107NJ3/,Не важен / Неизвестно
197,НПО Химтэк выпуск 1,RU000A103H25,771.04,Средний,15.0,2024-05-02,17.0,22.53,800.0,4.0,90.12,5.0,11.69,113.0,https://www.tinkoff.ru/invest/bonds/RU000A103H25/,Не важен / Неизвестно
198,Аренза-Про выпуск 2,RU000A106GC4,953.7,Средний,26.0,2024-04-29,1.0,9.22,1000.0,12.0,110.64,26.0,11.6,240.0,https://www.tinkoff.ru/invest/bonds/RU000A106GC4/,Не важен / Неизвестно
199,Аренза-Про 001P-01,RU000A105TR7,980.0,Средний,21.0,2024-04-04,11.0,10.35,1000.0,12.0,124.2,21.0,12.67,217.0,https://www.tinkoff.ru/invest/bonds/RU000A105TR7/,Не важен / Неизвестно
200,ВИС Финанс выпуск 5,RU000A107D33,994.1,Высокий,44.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107D33/,Не важен / Неизвестно
201,Мосгорломбард выпуск 4,RU000A106MV2,978.5,Низкий,45.0,2024-04-30,27.0,34.63,1000.0,4.0,138.52,15.0,14.16,519.0,https://www.tinkoff.ru/invest/bonds/RU000A106MV2/,Не важен / Неизвестно
202,Аренза-Про 001P-04,RU000A107ST1,999.3,Низкий,59.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107ST1/,Не важен / Неизвестно
203,Брусника. Строительство и девелопмент 002P-02,RU000A107UU5,996.8,Высокий,35.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107UU5/,Не важен / Неизвестно
204,ЭкономЛизинг 001Р-06,RU000A1078Y6,995.0,Низкий,31.0,2024-05-23,21.0,43.33,1000.0,4.0,173.32,10.0,17.42,433.0,https://www.tinkoff.ru/invest/bonds/RU000A1078Y6/,Не важен / Неизвестно
205,Унител БО-П01,RU000A107F07,1004.3,Низкий,32.0,2024-06-19,6.0,41.15,1000.0,4.0,164.6,11.0,16.39,453.0,https://www.tinkoff.ru/invest/bonds/RU000A107F07/,Не важен / Неизвестно
206,ЭкономЛизинг выпуск 3,RU000A1030U5,997.7,Средний,0.0,2024-04-18,23.0,24.88,1000.0,4.0,99.52,0.0,9.97,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1030U5/,Не важен / Неизвестно
207,ИЛС БО-01-001P,RU000A107BH2,1053.5,Низкий,31.0,2024-04-03,15.0,13.57,1000.0,12.0,162.84,31.0,15.46,421.0,https://www.tinkoff.ru/invest/bonds/RU000A107BH2/,Не важен / Неизвестно
