,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,Статус квалифицированного инвестора
871,МБЭС 002P-02,RU000A107DS5,1009.8,Высокий,32.0,2024-06-17,49.0,0.0,1000.0,2.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107DS5/,
872,Газпром Нефть 003P-10R,RU000A107UW1,1003.0,Высокий,34.0,2024-03-29,12.0,0.0,1000.0,12.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107UW1/,
873,Газпром нефть 003P-07R,RU000A107605,1000.7,Высокий,43.0,2024-05-07,22.0,35.67,1000.0,4.0,142.68,356.7,14.26,https://www.tinkoff.ru/invest/bonds/RU000A107605/,
874,РЕСО-Лизинг БО-02П выпуск 1,RU000A104V26,1049.0,Высокий,26.0,2024-06-04,58.0,62.03,1000.0,2.0,124.06,806.39,11.83,https://www.tinkoff.ru/invest/bonds/RU000A104V26/,
875,ОФЗ 29025,SU29025RMFS2,976.06,Высокий,160.0,2024-05-29,11.0,33.41,1000.0,4.0,133.64,1336.4,13.69,https://www.tinkoff.ru/invest/bonds/SU29025RMFS2/,
876,Норильский никель ЗО26-Д,RU000A107C67,87870.07584,Высокий,31.0,2024-04-27,1058.0,1127.95,92611.8,2.0,2255.9,16919.25,2.57,https://www.tinkoff.ru/invest/bonds/RU000A107C67/,
877,Газпромбанк 005P-02P,RU000A107F49,1000.7,Высокий,38.0,2024-04-20,2.0,11.74,1000.0,12.0,140.88,35.22,14.08,https://www.tinkoff.ru/invest/bonds/RU000A107F49/,
878,РЕСО-Лизинг БО-02П-05,RU000A1075J3,1000.4,Высокий,114.0,2024-05-01,26.0,37.5,1000.0,4.0,150.0,1050.0,14.99,https://www.tinkoff.ru/invest/bonds/RU000A1075J3/,
879,Россети 001Р-11R,RU000A107CG2,1001.0,Высокий,68.0,2024-04-10,6.0,12.18,1000.0,12.0,146.16,60.9,14.6,https://www.tinkoff.ru/invest/bonds/RU000A107CG2/,
880,АФК Система выпуск 27,RU000A107GX8,1000.4,Высокий,44.0,2024-03-26,43.0,37.41,1000.0,4.0,149.64,411.51,14.96,https://www.tinkoff.ru/invest/bonds/RU000A107GX8/,
881,Газпром Капитал БО-002P-10,RU000A107084,994.0,Высокий,48.0,2024-04-09,35.0,33.84,1000.0,4.0,135.36,406.08,13.62,https://www.tinkoff.ru/invest/bonds/RU000A107084/,
882,TCS-perp2,RU000A107746,76353.79851,Высокий,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107746/,
883,СОПФ Инфраструктурные облигации выпуск 8,RU000A107TK8,1000.1,Средний,58.0,2024-05-29,12.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107TK8/,
884,МТС-Банк выпуск 001P-03,RU000A107456,1008.2,Высокий,30.0,2024-04-24,30.0,36.8,1000.0,4.0,147.2,257.6,14.6,https://www.tinkoff.ru/invest/bonds/RU000A107456/,
885,ППК РЭО выпуск 2,RU000A106169,1019.0,Средний,104.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106169/,
886,Газпром Капитал БО-002Р-11,RU000A107ET1,995.9,Высокий,44.0,2024-06-18,2.0,36.63,1000.0,4.0,146.52,402.93,14.71,https://www.tinkoff.ru/invest/bonds/RU000A107ET1/,
887,Металлоинвест 001Р-06,RU000A1079S6,1003.1,Высокий,43.0,2024-05-28,12.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1079S6/,
