,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,Статус квалифицированного инвестора
0,Роснано выпуск 8,RU000A1008V9,857.2,Средний,48.0,2024-04-01,64.0,58.2,1000.0,2.0,116.4,1396.8,13.58,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/,
1,Ferroni выпуск 1,RU000A103XP8,840.5,Низкий,18.0,2024-04-15,3.0,9.22,1000.0,12.0,110.64,9.22,13.16,https://www.tinkoff.ru/invest/bonds/RU000A103XP8/,
2,Роснано БО-002P выпуск 4,RU000A101KK0,993.9,Низкий,0.0,2024-03-26,16.0,14.79,1000.0,4.0,59.16,0.0,5.95,https://www.tinkoff.ru/invest/bonds/RU000A101KK0/,
3,МФК Быстроденьги выпуск 2,RU000A102ZT7,997.4,Низкий,0.0,2024-03-28,9.0,9.05,1000.0,12.0,108.6,0.0,10.89,https://www.tinkoff.ru/invest/bonds/RU000A102ZT7/,
4,Alfa Bank,RU000A100GW5,8500000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/,
5,ВТБ СУБ выпуск 5,RU000A1034P7,6500000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1034P7/,
6,ВТБ СУБ выпуск 1,RU000A102QJ7,8335062.0,Высокий,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102QJ7/,
7,Сегежа Групп 003P-02R,RU000A105SP3,865.0,Средний,165.0,2024-05-03,15.0,22.97,1000.0,4.0,91.88,941.77,10.62,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/,
8,Сегежа 002P выпуск 5,RU000A1053P7,790.8,Средний,160.0,2024-08-15,11.0,46.11,1000.0,2.0,92.22,3688.8,11.66,https://www.tinkoff.ru/invest/bonds/RU000A1053P7/,
9,ВТБ СУБ выпуск 12,RU000A103SC6,8450000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A103SC6/,
10,ЕнисейАгроСоюз 001Р-01,RU000A107R29,997.0,Средний,58.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107R29/,
11,Пионер-Лизинг,RU000A104V00,1000.1,Низкий,96.0,2024-03-28,15.0,14.79,1000.0,12.0,177.48,118.32,17.75,https://www.tinkoff.ru/invest/bonds/RU000A104V00/,
12,Сегежа 002P выпуск 1,RU000A1041B2,926.4,Средний,151.0,2024-05-15,35.0,42.72,1000.0,2.0,85.44,3204.0,9.22,https://www.tinkoff.ru/invest/bonds/RU000A1041B2/,
13,ХК Финанс выпуск 8,RU000A104XU6,997.3,Средний,15.0,2024-04-05,28.0,28.19,1000.0,4.0,112.76,84.57,11.31,https://www.tinkoff.ru/invest/bonds/RU000A104XU6/,
14,Славянск ЭКО выпуск 1,RU000A103WB0,945.0,Средний,30.0,2024-04-16,20.0,23.84,1000.0,4.0,95.36,166.88,10.09,https://www.tinkoff.ru/invest/bonds/RU000A103WB0/,
15,АПРИ Флай Плэнинг БО-П5,RU000A103N19,921.4,Низкий,17.0,2024-06-04,7.0,28.19,1000.0,4.0,112.76,112.76,12.24,https://www.tinkoff.ru/invest/bonds/RU000A103N19/,
16,МигКредит БО-03,RU000A106UK8,979.4,Низкий,28.0,2024-04-04,9.0,11.92,1000.0,12.0,143.04,23.84,14.6,https://www.tinkoff.ru/invest/bonds/RU000A106UK8/,
17,М.Видео выпуск 4,RU000A106540,922.7,Средний,24.0,2024-04-19,23.0,28.27,1000.0,4.0,113.08,169.62,12.26,https://www.tinkoff.ru/invest/bonds/RU000A106540/,
18,Онлайн Микрофинанс выпуск 1,RU000A103406,991.0,Низкий,1.0,2024-04-04,6.0,8.87,1000.0,12.0,106.44,0.0,10.74,https://www.tinkoff.ru/invest/bonds/RU000A103406/,
19,МФК Эйрлоанс выпуск 1,RU000A1043L7,948.0,Средний,13.0,2024-04-11,4.0,9.4,1000.0,12.0,112.8,9.4,11.9,https://www.tinkoff.ru/invest/bonds/RU000A1043L7/,
20,Солид-Лизинг БО-02,RU000A107W71,1000.0,Высокий,41.0,2024-05-31,13.0,45.5,1000.0,4.0,182.0,455.0,18.2,https://www.tinkoff.ru/invest/bonds/RU000A107W71/,
21,Эфферон выпуск 1,RU000A105H98,900.0,Низкий,43.0,2024-05-23,11.0,29.23,1000.0,4.0,116.92,292.3,12.99,https://www.tinkoff.ru/invest/bonds/RU000A105H98/,
22,МФК Быстроденьги 002P-04,RU000A107GU4,1011.3,Средний,38.0,2024-03-25,16.0,15.66,1000.0,12.0,187.92,46.98,18.58,https://www.tinkoff.ru/invest/bonds/RU000A107GU4/,
23,АПРИ Флай Плэнинг БО-2Р-02,RU000A106631,975.2,Низкий,36.0,2024-04-25,29.0,38.98,1000.0,4.0,155.92,350.82,15.99,https://www.tinkoff.ru/invest/bonds/RU000A106631/,
24,М.Видео выпуск 1,RU000A103117,993.4,Средний,0.0,2024-04-18,47.0,47.68,1000.0,2.0,95.36,0.0,9.6,https://www.tinkoff.ru/invest/bonds/RU000A103117/,
25,Племзавод Пушкинское 001P-03,RU000A1080Y2,994.5,Средний,59.0,2024-06-13,5.0,38.98,1000.0,4.0,155.92,545.72,15.68,https://www.tinkoff.ru/invest/bonds/RU000A1080Y2/,
26,Литана выпуск 1,RU000A1032S5,992.4,Низкий,1.0,2024-05-01,19.0,28.19,1000.0,4.0,112.76,0.0,11.36,https://www.tinkoff.ru/invest/bonds/RU000A1032S5/,
27,АПРИ Флай Плэнинг БО-П05,RU000A104WA0,994.2,Низкий,14.0,2024-06-20,2.0,38.98,1000.0,4.0,155.92,116.94,15.68,https://www.tinkoff.ru/invest/bonds/RU000A104WA0/,
28,МФК Мани Мен выпуск 3,RU000A103PS8,964.5,Низкий,5.0,2024-04-03,7.0,8.7,1000.0,12.0,104.4,0.0,10.82,https://www.tinkoff.ru/invest/bonds/RU000A103PS8/,
29,МаксимаТелеком выпуск 2,RU000A102DK3,983.4,Средний,1.0,2024-05-21,33.0,42.28,1000.0,2.0,84.56,0.0,8.6,https://www.tinkoff.ru/invest/bonds/RU000A102DK3/,
30,МФК ЦФП выпуск 2,RU000A103GL2,978.9,Низкий,3.0,2024-04-19,1.0,9.22,1000.0,12.0,110.64,0.0,11.3,https://www.tinkoff.ru/invest/bonds/RU000A103GL2/,
31,НИКА обб01,RU000A1050X7,827.922,Низкий,16.0,2024-04-30,19.0,27.93,860.0,4.0,111.72,111.72,13.49,https://www.tinkoff.ru/invest/bonds/RU000A1050X7/,
32,Вита Лайн 001Р выпуск 3,RU000A1036X6,982.2,Средний,14.0,2024-05-30,6.0,21.66,1000.0,4.0,86.64,64.98,8.82,https://www.tinkoff.ru/invest/bonds/RU000A1036X6/,
33,Газпром Капитал БЗО26-1-Е,RU000A105QX1,75063.134302,Высокий,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105QX1/,
34,МФК Быстроденьги 002P-05,RU000A107PW1,1009.1,Низкий,39.0,2024-03-31,13.0,14.96,1000.0,12.0,179.52,44.88,17.79,https://www.tinkoff.ru/invest/bonds/RU000A107PW1/,
35,Пионер-Лизинг-БО-П03,RU000A1013N6,1073.8,Низкий,66.0,2024-04-03,12.0,15.66,1000.0,12.0,187.92,78.3,17.5,https://www.tinkoff.ru/invest/bonds/RU000A1013N6/,
36,МФК ВЭББАНКИР выпуск 1,RU000A103F43,811.06488,Средний,9.0,2024-04-07,4.0,7.57,833.4,12.0,90.84,0.0,11.2,https://www.tinkoff.ru/invest/bonds/RU000A103F43/,
37,М.Видео выпуск 3,RU000A104ZK2,911.9,Средний,15.0,2024-04-23,21.0,26.71,1000.0,4.0,106.84,80.13,11.72,https://www.tinkoff.ru/invest/bonds/RU000A104ZK2/,
38,МФК ВЭББАНКИР выпуск 4,RU000A106Y88,929.6,Низкий,35.0,2024-03-24,0.0,14.27,1000.0,12.0,171.24,28.54,18.42,https://www.tinkoff.ru/invest/bonds/RU000A106Y88/,
39,РКК выпуск 3,RU000A106GZ5,938.0,Низкий,51.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106GZ5/,
40,AzurDrive выпуск 1,RU000A106TJ2,932.5,Низкий,40.0,2024-03-28,11.0,11.4,1000.0,12.0,136.8,34.2,14.67,https://www.tinkoff.ru/invest/bonds/RU000A106TJ2/,
41,Пионер-Лизинг-БО-П04,RU000A102LF6,1004.7,Низкий,80.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102LF6/,
42,Электроаппарат БО-01,RU000A104WZ7,990.5,Низкий,27.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104WZ7/,
43,МигКредит 002MC-03,RU000A107KR2,1010.7,Средний,33.0,2024-04-15,5.0,14.96,1000.0,12.0,179.52,29.92,17.76,https://www.tinkoff.ru/invest/bonds/RU000A107KR2/,
44,ПР-Лизинг выпуск 3,RU000A100Q35,949.3,Средний,27.0,2024-04-18,1.0,7.83,1000.0,12.0,93.96,15.66,9.9,https://www.tinkoff.ru/invest/bonds/RU000A100Q35/,
45,Фордевинд 03,RU000A106Q47,930.8,Низкий,33.0,2024-04-06,7.0,11.4,1000.0,12.0,136.8,22.8,14.7,https://www.tinkoff.ru/invest/bonds/RU000A106Q47/,
46,Солид-Лизинг выпуск 1,RU000A104CF1,667.03,Средний,32.0,2024-03-26,25.0,22.01,700.0,4.0,88.04,176.08,13.2,https://www.tinkoff.ru/invest/bonds/RU000A104CF1/,
47,Фордевинд2,RU000A106DK4,945.4,Низкий,26.0,2024-04-10,6.0,11.4,1000.0,12.0,136.8,22.8,14.47,https://www.tinkoff.ru/invest/bonds/RU000A106DK4/,
48,ПЗ Пушкинское 001P-02,RU000A107LU4,999.3,Низкий,57.0,2024-04-23,32.0,41.15,1000.0,4.0,164.6,576.1,16.47,https://www.tinkoff.ru/invest/bonds/RU000A107LU4/,
49,Пионер-Лизинг-БО-П02,RU000A1006C3,1089.7,Низкий,57.0,2024-04-17,4.0,15.83,1000.0,12.0,189.96,63.32,17.43,https://www.tinkoff.ru/invest/bonds/RU000A1006C3/,
50,Мегатакт-НН БО-01,RU000A107PM2,1012.0,Низкий,46.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107PM2/,
51,МФК Лайм-Займ 1Р-02,RU000A106CJ8,869.76,Низкий,25.0,2024-04-03,8.0,10.61,900.0,12.0,127.32,21.22,14.64,https://www.tinkoff.ru/invest/bonds/RU000A106CJ8/,
52,АПРИ Флай Плэнинг выпуск 3,RU000A106WZ2,1007.6,Низкий,41.0,2024-06-18,3.0,45.5,1000.0,4.0,182.0,455.0,18.06,https://www.tinkoff.ru/invest/bonds/RU000A106WZ2/,
53,МигКредит БО-02,RU000A106KT0,954.8,Средний,27.0,2024-04-14,4.0,10.53,1000.0,12.0,126.36,21.06,13.23,https://www.tinkoff.ru/invest/bonds/RU000A106KT0/,
54,М.Видео выпуск 2,RU000A103HT3,961.3,Средний,4.0,2024-05-08,10.0,17.49,1000.0,4.0,69.96,17.49,7.28,https://www.tinkoff.ru/invest/bonds/RU000A103HT3/,
55,Феррони БО-02,RU000A105P64,881.28,Низкий,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105P64/,
56,Маныч-Агро выпуск 1,RU000A1032D7,952.0,Средний,13.0,2024-04-26,19.0,26.01,1000.0,4.0,104.04,78.03,10.93,https://www.tinkoff.ru/invest/bonds/RU000A1032D7/,
57,МФК ВЭББАНКИР 1P-02,RU000A105575,901.2,Низкий,22.0,2024-03-23,0.0,10.0,1000.0,12.0,120.0,10.0,13.32,https://www.tinkoff.ru/invest/bonds/RU000A105575/,
58,Фордевинд 04,RU000A106SE5,963.6,Средний,34.0,2024-03-25,12.0,12.09,1000.0,12.0,145.08,24.18,15.06,https://www.tinkoff.ru/invest/bonds/RU000A106SE5/,
59,МФК Лайм-Займ выпуск 2,RU000A105AJ4,810.0,Низкий,18.0,2024-04-05,8.0,11.4,800.0,12.0,136.8,11.4,16.89,https://www.tinkoff.ru/invest/bonds/RU000A105AJ4/,
60,АйДи Коллект выпуск 1,RU000A103HG0,978.1,Низкий,4.0,2024-03-27,9.0,8.53,1000.0,12.0,102.36,0.0,10.47,https://www.tinkoff.ru/invest/bonds/RU000A103HG0/,
61,Селлер выпуск 1,RU000A106KY0,992.3,Средний,15.0,2024-04-14,4.0,12.79,1000.0,12.0,153.48,12.79,15.47,https://www.tinkoff.ru/invest/bonds/RU000A106KY0/,
62,БЭЛТИ-ГРАНД выпуск 4,RU000A103DY2,773.5,Средний,34.0,2024-03-30,7.0,7.39,850.0,12.0,88.68,14.78,11.46,https://www.tinkoff.ru/invest/bonds/RU000A103DY2/,
63,Мани Капитал 001P-01,RU000A1074F4,948.0,Средний,30.0,2024-04-21,1.0,14.96,1000.0,12.0,179.52,29.92,18.94,https://www.tinkoff.ru/invest/bonds/RU000A1074F4/,
64,Ника (ООО) 001P-03,RU000A107SH6,1000.0,Средний,58.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107SH6/,
65,ПР-Лизинг 002P-01,RU000A1022E6,947.7,Средний,64.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1022E6/,
66,МФК Лайм-Займ 001Р-03,RU000A107795,994.5,Низкий,31.0,2024-04-13,6.0,14.27,1000.0,12.0,171.24,28.54,17.22,https://www.tinkoff.ru/invest/bonds/RU000A107795/,
67,МФК ВЭББАНКИР 001Р-04,RU000A107U65,994.0,Средний,40.0,2024-03-23,1.0,14.96,1000.0,12.0,179.52,44.88,18.06,https://www.tinkoff.ru/invest/bonds/RU000A107U65/,
68,ФЭС-Агро выпуск 2,RU000A1030N0,497.55,Средний,0.0,2024-04-17,10.0,11.92,500.0,4.0,47.68,0.0,9.58,https://www.tinkoff.ru/invest/bonds/RU000A1030N0/,
69,МигКредит об01,RU000A103DA2,158.72,Низкий,3.0,2024-03-28,1.0,1.39,160.0,12.0,16.68,0.0,10.51,https://www.tinkoff.ru/invest/bonds/RU000A103DA2/,
70,Завод КЭС 001P-05,RU000A107U40,1005.5,Низкий,58.0,2024-05-23,16.0,41.15,1000.0,4.0,164.6,576.1,16.37,https://www.tinkoff.ru/invest/bonds/RU000A107U40/,
71,Легенда выпуск 4,RU000A102Y66,957.2,Средний,12.0,2024-04-09,20.0,21.58,1000.0,4.0,86.32,64.74,9.02,https://www.tinkoff.ru/invest/bonds/RU000A102Y66/,
72,БЭЛТИ-ГРАНД БО-П05,RU000A105427,763.68,Низкий,24.0,2024-04-13,3.0,8.0,800.0,12.0,96.0,16.0,12.57,https://www.tinkoff.ru/invest/bonds/RU000A105427/,
73,МФК Саммит 1P-01,RU000A105UZ8,966.92976,Средний,22.0,2024-04-11,6.0,13.31,958.4,12.0,159.72,13.31,16.52,https://www.tinkoff.ru/invest/bonds/RU000A105UZ8/,
74,Мосгорломбард 001Р-05,RU000A107UB5,1040.0,Низкий,58.0,2024-05-28,14.0,43.33,1000.0,4.0,173.32,606.62,16.67,https://www.tinkoff.ru/invest/bonds/RU000A107UB5/,
75,ТЕХНО Лизинг выпуск 4,RU000A1032X5,878.7,Низкий,24.0,2024-03-27,8.0,7.66,1000.0,12.0,91.92,15.32,10.46,https://www.tinkoff.ru/invest/bonds/RU000A1032X5/,
76,Ника 001P-02,RU000A106U74,959.7,Низкий,53.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106U74/,
77,МФК Быстроденьги 2P-02,RU000A106B51,953.0,Низкий,31.0,2024-03-26,12.0,11.4,1000.0,12.0,136.8,22.8,14.35,https://www.tinkoff.ru/invest/bonds/RU000A106B51/,
78,Плаза-Телеком БО-01,RU000A106YD5,992.8,Низкий,29.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106YD5/,
79,ПИМ выпуск 2,RU000A106NT4,932.8,Средний,28.0,2024-05-02,21.0,31.41,1000.0,4.0,125.64,219.87,13.47,https://www.tinkoff.ru/invest/bonds/RU000A106NT4/,
80,А Девелопмент,RU000A104FX7,961.1,Низкий,9.0,2024-04-25,22.0,30.02,1000.0,4.0,120.08,60.04,12.49,https://www.tinkoff.ru/invest/bonds/RU000A104FX7/,
81,МФК Быстроденьги 2P-03,RU000A1070G0,947.4,Средний,35.0,2024-04-08,9.0,14.96,1000.0,12.0,179.52,29.92,18.95,https://www.tinkoff.ru/invest/bonds/RU000A1070G0/,
82,ТрансФин-М 001Р-07,RU000A103M36,963.8,Средний,88.0,2024-05-27,7.0,21.23,1000.0,4.0,84.92,467.06,8.81,https://www.tinkoff.ru/invest/bonds/RU000A103M36/,
83,Соби-Лизинг 001Р-04,RU000A107EE3,1008.0,Средний,32.0,2024-04-17,3.0,13.57,1000.0,12.0,162.84,27.14,16.15,https://www.tinkoff.ru/invest/bonds/RU000A107EE3/,
84,РКК выпуск 1,RU000A105VP7,1005.0,Низкий,22.0,2024-05-21,17.0,41.15,1000.0,4.0,164.6,205.75,16.38,https://www.tinkoff.ru/invest/bonds/RU000A105VP7/,
85,Мосрегионлифт БО-02,RU000A106DJ6,991.4,Низкий,38.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106DJ6/,
86,Глобал Факторинг Нетворк Рус выпуск 3,RU000A106LS0,934.7,Низкий,39.0,2024-04-21,1.0,10.53,1000.0,12.0,126.36,31.59,13.52,https://www.tinkoff.ru/invest/bonds/RU000A106LS0/,
87,Группа Продовольствие 001P-03,RU000A106YN4,955.0,Низкий,29.0,2024-03-26,12.0,11.4,1000.0,12.0,136.8,22.8,14.32,https://www.tinkoff.ru/invest/bonds/RU000A106YN4/,
88,СибАвтоТранс 001Р-03,RU000A107KV4,1011.6,Низкий,57.0,2024-04-18,34.0,41.15,1000.0,4.0,164.6,576.1,16.27,https://www.tinkoff.ru/invest/bonds/RU000A107KV4/,
89,Гарант-Инвест 002P-07,RU000A106SK2,984.9,Средний,52.0,2024-03-26,11.0,10.35,1000.0,12.0,124.2,41.4,12.61,https://www.tinkoff.ru/invest/bonds/RU000A106SK2/,
90,Нафтатранс Плюс выпуск 3,RU000A102V51,919.6,Низкий,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102V51/,
91,МФК Лайм-Займ выпуск 1,RU000A104AX8,593.58,Низкий,8.0,2024-06-19,1.0,21.75,600.0,4.0,87.0,43.5,14.66,https://www.tinkoff.ru/invest/bonds/RU000A104AX8/,
92,Нафтатранс Плюс выпуск 2,RU000A100YD8,3303.693,Средний,6.0,2024-03-30,34.0,35.67,3330.0,12.0,428.04,0.0,12.96,https://www.tinkoff.ru/invest/bonds/RU000A100YD8/,
93,МаксимаТелеком выпуск 1,RU000A101XD8,932.0,Средний,27.0,2024-07-16,18.0,41.15,1000.0,2.0,82.3,534.95,8.83,https://www.tinkoff.ru/invest/bonds/RU000A101XD8/,
94,Реаторг 001Р-01,RU000A105BP9,882.0,Низкий,18.0,2024-04-23,24.0,30.45,900.0,4.0,121.8,121.8,13.81,https://www.tinkoff.ru/invest/bonds/RU000A105BP9/,
95,УК ОРГ выпуск 3,RU000A106UB7,967.0,Низкий,28.0,2024-04-04,9.0,11.74,1000.0,12.0,140.88,23.48,14.57,https://www.tinkoff.ru/invest/bonds/RU000A106UB7/,
96,АСВ выпуск 1,RU000A106RB3,973.3,Низкий,28.0,2024-05-17,17.0,36.8,1000.0,4.0,147.2,257.6,15.12,https://www.tinkoff.ru/invest/bonds/RU000A106RB3/,
97,Роял Капитал выпуск 9,RU000A106JC8,937.9,Низкий,27.0,2024-04-10,30.0,32.19,1000.0,4.0,128.76,193.14,13.73,https://www.tinkoff.ru/invest/bonds/RU000A106JC8/,
98,Лизинг трейд выпуск 3,RU000A1034X1,900.0,Низкий,25.0,2024-04-10,4.0,7.83,1000.0,12.0,93.96,15.66,10.44,https://www.tinkoff.ru/invest/bonds/RU000A1034X1/,
99,Урожай выпуск 2,RU000A1037C8,987.1,Низкий,2.0,2024-06-04,6.0,24.88,1000.0,4.0,99.52,0.0,10.08,https://www.tinkoff.ru/invest/bonds/RU000A1037C8/,
100,Смартфакт БО-02-001P,RU000A107EP9,1014.0,Средний,32.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107EP9/,
101,Неолизинг выпуск 1,RU000A106PY9,983.4,Средний,27.0,2024-04-05,8.0,12.09,1000.0,12.0,145.08,24.18,14.75,https://www.tinkoff.ru/invest/bonds/RU000A106PY9/,
102,ТЕХНО Лизинг выпуск 5,RU000A103TS0,847.1,Низкий,41.0,2024-04-21,1.0,8.18,1000.0,12.0,98.16,24.54,11.59,https://www.tinkoff.ru/invest/bonds/RU000A103TS0/,
103,ПР-Лизинг выпуск 2,RU000A106EP1,893.9,Средний,97.0,2024-04-18,2.0,8.87,1000.0,12.0,106.44,70.96,11.91,https://www.tinkoff.ru/invest/bonds/RU000A106EP1/,
104,Талан-Финанс выпуск 3,RU000A1043B8,967.2,Средний,13.0,2024-05-20,12.0,28.19,1000.0,4.0,112.76,84.57,11.66,https://www.tinkoff.ru/invest/bonds/RU000A1043B8/,
105,УК ОРГ выпуск 2,RU000A106L67,968.6,Низкий,27.0,2024-04-19,2.0,11.74,1000.0,12.0,140.88,23.48,14.54,https://www.tinkoff.ru/invest/bonds/RU000A106L67/,
106,АйДи Коллект выпуск 6,RU000A107C34,999.8,Низкий,31.0,2024-04-05,9.0,12.79,1000.0,12.0,153.48,25.58,15.35,https://www.tinkoff.ru/invest/bonds/RU000A107C34/,
107,ФПК Гарант-Инвест 002Р-08,RU000A107TR3,999.9,Средний,22.0,2024-04-21,1.0,12.79,1000.0,12.0,153.48,12.79,15.35,https://www.tinkoff.ru/invest/bonds/RU000A107TR3/,
108,Бизнес Альянс 1Р-01,RU000A105YQ9,945.4,Низкий,23.0,2024-06-13,4.0,32.19,1000.0,4.0,128.76,160.95,13.62,https://www.tinkoff.ru/invest/bonds/RU000A105YQ9/,
109,Джой Мани 001P-01,RU000A107EW5,1026.3,Средний,32.0,2024-04-18,3.0,15.66,1000.0,12.0,187.92,31.32,18.31,https://www.tinkoff.ru/invest/bonds/RU000A107EW5/,
110,Агрофирма Рубеж 001Р-02,RU000A107YT9,1009.5,Низкий,59.0,2024-06-11,6.0,40.11,1000.0,4.0,160.44,561.54,15.89,https://www.tinkoff.ru/invest/bonds/RU000A107YT9/,
111,АСПЭК-Домстрой выпуск 1,RU000A104B53,737.4,Низкий,8.0,2024-06-20,1.0,23.58,750.0,4.0,94.32,47.16,12.79,https://www.tinkoff.ru/invest/bonds/RU000A104B53/,
112,Мани Капитал 001P-02,RU000A1079G1,986.5,Низкий,31.0,2024-03-27,16.0,15.66,1000.0,12.0,187.92,31.32,19.05,https://www.tinkoff.ru/invest/bonds/RU000A1079G1/,
113,ЭкономЛизинг выпуск 3,RU000A1030U5,995.5,Средний,0.0,2024-04-18,21.0,24.88,1000.0,4.0,99.52,0.0,10.0,https://www.tinkoff.ru/invest/bonds/RU000A1030U5/,
114,Маныч-Агро,RU000A103K20,920.1,Средний,22.0,2024-05-16,12.0,26.01,1000.0,4.0,104.04,130.05,11.31,https://www.tinkoff.ru/invest/bonds/RU000A103K20/,
115,Мани Капитал 001P-03,RU000A107WD7,1000.8,Средний,34.0,2024-04-04,12.0,15.66,1000.0,12.0,187.92,31.32,18.78,https://www.tinkoff.ru/invest/bonds/RU000A107WD7/,
116,РСХБ выпуск T1,RU000A0ZZ4T1,735.8,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ4T1/,
117,НК Продкорпорация выпуск 1,RU000A102BF7,899.0,Низкий,24.0,2024-03-26,44.0,38.98,1000.0,2.0,77.96,467.76,8.67,https://www.tinkoff.ru/invest/bonds/RU000A102BF7/,
118,РСХБ 09Т1,RU000A0ZZ505,736.1,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ505/,
119,ТЕХНО Лизинг выпуск 3,RU000A102234,944.4,Низкий,16.0,2024-04-07,5.0,8.87,1000.0,12.0,106.44,8.87,11.27,https://www.tinkoff.ru/invest/bonds/RU000A102234/,
120,Руссойл БО-01,RU000A1074E7,1000.0,Низкий,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1074E7/,
121,ГТЛК 002Р-03,RU000A107TT9,1000.1,Высокий,178.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107TT9/,
122,СмартФ1Р01,RU000A106CM2,959.0,Низкий,26.0,2024-06-06,7.0,34.1,1000.0,4.0,136.4,204.6,14.22,https://www.tinkoff.ru/invest/bonds/RU000A106CM2/,
123,Хайтэк-Интеграция 1P-01,RU000A106151,952.5,Средний,24.0,2024-03-28,36.0,32.19,1000.0,4.0,128.76,193.14,13.52,https://www.tinkoff.ru/invest/bonds/RU000A106151/,
124,АПРИ Флай Плэнинг,RU000A105DS9,1016.7,Средний,31.0,2024-05-07,27.0,45.5,1000.0,4.0,182.0,318.5,17.9,https://www.tinkoff.ru/invest/bonds/RU000A105DS9/,
125,Симпл Солюшнз Кэпитл 001P-01,RU000A107SG8,1000.7,Средний,116.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107SG8/,
126,Глоракс 1P-01,RU000A105XF4,974.0,Средний,11.0,2024-06-11,5.0,32.19,1000.0,4.0,128.76,64.38,13.22,https://www.tinkoff.ru/invest/bonds/RU000A105XF4/,
127,Соби-Лизинг 001Р-03,RU000A1078H1,967.478,Средний,31.0,2024-04-19,2.0,12.09,970.0,12.0,145.08,24.18,15.0,https://www.tinkoff.ru/invest/bonds/RU000A1078H1/,
128,Роял Капитал,RU000A104UF3,972.8,Низкий,14.0,2024-05-28,11.0,32.19,1000.0,4.0,128.76,96.57,13.24,https://www.tinkoff.ru/invest/bonds/RU000A104UF3/,
129,Трейдберри БО-01,RU000A106VN0,1003.0,Средний,29.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106VN0/,
130,МФК Фордевинд,RU000A105849,730.944,Низкий,17.0,2024-04-13,4.0,10.18,720.0,12.0,122.16,10.18,16.71,https://www.tinkoff.ru/invest/bonds/RU000A105849/,
131,ПИМ выпуск 1,RU000A103WD6,737.475,Низкий,6.0,2024-04-17,18.0,21.14,750.0,4.0,84.56,21.14,11.47,https://www.tinkoff.ru/invest/bonds/RU000A103WD6/,
132,Петроинжиниринг выпуск 1,RU000A103RL9,962.4,Средний,29.0,2024-06-21,0.0,21.14,1000.0,4.0,84.56,147.98,8.79,https://www.tinkoff.ru/invest/bonds/RU000A103RL9/,
