,Название,Код,Цена,Рейтинг,Срок(месяца),Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
44,Фордевинд 04,RU000A106SE5,948.7,Низкий,37.0,12.09,1000.0,12.0,145.08,36.27,15.29,https://www.tinkoff.ru/invest/bonds/RU000A106SE5/
45,ДиректЛизинг БО 002Р-02,RU000A1078X8,983.20167,Низкий,58.0,13.31,983.3,12.0,159.72,53.24,16.24,https://www.tinkoff.ru/invest/bonds/RU000A1078X8/
46,АСПЭК-Домстрой выпуск 1,RU000A104B53,973.0,Низкий,11.0,31.41,1000.0,4.0,125.64,62.82,12.91,https://www.tinkoff.ru/invest/bonds/RU000A104B53/
47,Быстроденьги выпуск 2,RU000A102ZT7,984.7,Низкий,3.0,9.05,1000.0,12.0,108.6,0.0,11.03,https://www.tinkoff.ru/invest/bonds/RU000A102ZT7/
48,Славянск ЭКО выпуск 1,RU000A103WB0,938.9,Средний,33.0,23.84,1000.0,4.0,95.36,190.72,10.16,https://www.tinkoff.ru/invest/bonds/RU000A103WB0/
49,НЗРМ БО-01,RU000A104EP6,999.0,Средний,35.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A104EP6/
50,МФК Лайм-Займ выпуск 2,RU000A105AJ4,809.6,Низкий,21.0,11.4,800.0,12.0,136.8,11.4,16.9,https://www.tinkoff.ru/invest/bonds/RU000A105AJ4/
51,МФК Лайм-Займ 001Р-03,RU000A107795,992.5,Низкий,34.0,14.27,1000.0,12.0,171.24,28.54,17.25,https://www.tinkoff.ru/invest/bonds/RU000A107795/
52,Онлайн Микрофинанс выпуск 1,RU000A103406,978.0,Средний,4.0,8.87,1000.0,12.0,106.44,0.0,10.88,https://www.tinkoff.ru/invest/bonds/RU000A103406/
53,Селлер выпуск 1,RU000A106KY0,987.7,Низкий,18.0,12.79,1000.0,12.0,153.48,12.79,15.54,https://www.tinkoff.ru/invest/bonds/RU000A106KY0/
54,МФК Фордевинд,RU000A105849,846.888,Низкий,20.0,11.92,840.0,12.0,143.04,11.92,16.89,https://www.tinkoff.ru/invest/bonds/RU000A105849/
55,МигКредит БО-02,RU000A106KT0,948.7,Низкий,30.0,10.53,1000.0,12.0,126.36,21.06,13.32,https://www.tinkoff.ru/invest/bonds/RU000A106KT0/
56,МФК ЦФП выпуск 1,RU000A102T55,993.3,Низкий,1.0,9.57,1000.0,12.0,114.84,0.0,11.56,https://www.tinkoff.ru/invest/bonds/RU000A102T55/
57,МФК ВЭББАНКИР выпуск 4,RU000A106Y88,957.4,Низкий,38.0,14.27,1000.0,12.0,171.24,42.81,17.89,https://www.tinkoff.ru/invest/bonds/RU000A106Y88/
58,Айди Коллект выпуск 3,RU000A1065M8,931.7,Низкий,27.0,10.7,1000.0,12.0,128.4,21.4,13.78,https://www.tinkoff.ru/invest/bonds/RU000A1065M8/
59,Быстроденьги 2P-02,RU000A106B51,947.0,Низкий,34.0,11.4,1000.0,12.0,136.8,22.8,14.45,https://www.tinkoff.ru/invest/bonds/RU000A106B51/
60,Глобал Факторинг Нетворк Рус выпуск 3,RU000A106LS0,924.6,Низкий,42.0,10.53,1000.0,12.0,126.36,31.59,13.67,https://www.tinkoff.ru/invest/bonds/RU000A106LS0/
61,Талан-Финанс выпуск 3,RU000A1043B8,951.1,Средний,16.0,28.19,1000.0,4.0,112.76,112.76,11.86,https://www.tinkoff.ru/invest/bonds/RU000A1043B8/
62,Фармфорвард БО-01,RU000A107BD1,1001.3,Средний,34.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A107BD1/
63,ТЕХНО Лизинг выпуск 5,RU000A103TS0,829.4,Средний,44.0,8.18,1000.0,12.0,98.16,24.54,11.84,https://www.tinkoff.ru/invest/bonds/RU000A103TS0/
64,Роял Капитал выпуск 9,RU000A106JC8,926.5,Низкий,30.0,32.19,1000.0,4.0,128.76,225.33,13.9,https://www.tinkoff.ru/invest/bonds/RU000A106JC8/
65,Трейдберри БО-01,RU000A106VN0,993.6,Средний,32.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106VN0/
66,Соби-Лизинг 001Р-04,RU000A107EE3,1008.3,Средний,35.0,13.57,1000.0,12.0,162.84,27.14,16.15,https://www.tinkoff.ru/invest/bonds/RU000A107EE3/
67,ПИМ выпуск 2,RU000A106NT4,926.4,Низкий,31.0,31.41,1000.0,4.0,125.64,219.87,13.56,https://www.tinkoff.ru/invest/bonds/RU000A106NT4/
68,Роял Капитал,RU000A104UF3,954.4,Низкий,17.0,32.19,1000.0,4.0,128.76,128.76,13.49,https://www.tinkoff.ru/invest/bonds/RU000A104UF3/
69,МФК Лайм-Займ выпуск 1,RU000A104AX8,591.12,Низкий,11.0,21.75,600.0,4.0,87.0,43.5,14.72,https://www.tinkoff.ru/invest/bonds/RU000A104AX8/
70,Айди Коллект выпуск 2,RU000A104JV3,982.3,Низкий,13.0,11.74,1000.0,12.0,140.88,11.74,14.34,https://www.tinkoff.ru/invest/bonds/RU000A104JV3/
71,АйДи Коллект выпуск 1,RU000A103HG0,965.8,Низкий,6.0,8.53,1000.0,12.0,102.36,0.0,10.6,https://www.tinkoff.ru/invest/bonds/RU000A103HG0/
72,АСВ выпуск 1,RU000A106RB3,968.5,Низкий,31.0,36.8,1000.0,4.0,147.2,257.6,15.2,https://www.tinkoff.ru/invest/bonds/RU000A106RB3/
73,Ника 001P-02,RU000A106U74,960.7,Средний,56.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106U74/
74,ГЛОРАКС 01,RU000A1053W3,936.7,Средний,19.0,29.58,1000.0,4.0,118.32,118.32,12.63,https://www.tinkoff.ru/invest/bonds/RU000A1053W3/
75,ГазТрансСнаб 001Р-01,RU000A1075D6,1033.5,Средний,57.0,43.33,1000.0,4.0,173.32,606.62,16.77,https://www.tinkoff.ru/invest/bonds/RU000A1075D6/
76,ТЕХНО Лизинг выпуск 3,RU000A102234,930.0,Средний,19.0,8.87,1000.0,12.0,106.44,8.87,11.45,https://www.tinkoff.ru/invest/bonds/RU000A102234/
77,Селлер выпуск 2,RU000A106X30,996.9,Низкий,32.0,12.79,1000.0,12.0,153.48,25.58,15.4,https://www.tinkoff.ru/invest/bonds/RU000A106X30/
78,МФК Саммит 1P-01,RU000A105UZ8,1013.6,Низкий,25.0,13.92,1000.0,12.0,167.04,27.84,16.48,https://www.tinkoff.ru/invest/bonds/RU000A105UZ8/
79,УК ОРГ выпуск 2,RU000A106L67,967.0,Низкий,30.0,11.74,1000.0,12.0,140.88,23.48,14.57,https://www.tinkoff.ru/invest/bonds/RU000A106L67/
80,Электроаппарат БО-01,RU000A104WZ7,988.7,Низкий,29.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A104WZ7/
81,ТЕХНО Лизинг выпуск 4,RU000A1032X5,871.7,Средний,27.0,7.66,1000.0,12.0,91.92,15.32,10.54,https://www.tinkoff.ru/invest/bonds/RU000A1032X5/
82,Плаза-Телеком БО-01,RU000A106YD5,991.9,Низкий,32.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106YD5/
83,Пионер-Лизинг,RU000A104V00,1000.4,Низкий,99.0,11.92,1000.0,12.0,143.04,95.36,14.3,https://www.tinkoff.ru/invest/bonds/RU000A104V00/
84,Мосрегионлифт БО-02,RU000A106DJ6,985.8,Низкий,40.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106DJ6/
85,МФК ВЭББАНКИР 1P-02,RU000A105575,905.7,Низкий,25.0,11.4,1000.0,12.0,136.8,22.8,15.1,https://www.tinkoff.ru/invest/bonds/RU000A105575/
86,ИЛС БО-01-001P,RU000A107BH2,1024.0,Средний,34.0,13.57,1000.0,12.0,162.84,27.14,15.9,https://www.tinkoff.ru/invest/bonds/RU000A107BH2/
87,Хайтэк-Интеграция 1P-01,RU000A106151,944.0,Средний,26.0,32.19,1000.0,4.0,128.76,193.14,13.64,https://www.tinkoff.ru/invest/bonds/RU000A106151/
88,МФК Займер выпуск 2,RU000A103CW8,493.54734,Низкий,5.0,4.52,500.2,12.0,54.24,0.0,10.99,https://www.tinkoff.ru/invest/bonds/RU000A103CW8/
89,Завод КЭС выпуск 4,RU000A106QS9,898.4,Низкий,55.0,31.41,1000.0,4.0,125.64,408.33,13.98,https://www.tinkoff.ru/invest/bonds/RU000A106QS9/
90,А Девелопмент,RU000A104FX7,953.6,Низкий,12.0,30.02,1000.0,4.0,120.08,90.06,12.59,https://www.tinkoff.ru/invest/bonds/RU000A104FX7/
91,АйДи Коллект выпуск 6,RU000A107C34,1002.9,Средний,34.0,12.79,1000.0,12.0,153.48,25.58,15.3,https://www.tinkoff.ru/invest/bonds/RU000A107C34/
92,Лизинг-Трейд 1P-07,RU000A105WZ4,921.0,Низкий,49.0,10.35,1000.0,12.0,124.2,41.4,13.49,https://www.tinkoff.ru/invest/bonds/RU000A105WZ4/
93,СмартФ1Р01,RU000A106CM2,955.6,Низкий,29.0,34.1,1000.0,4.0,136.4,238.7,14.27,https://www.tinkoff.ru/invest/bonds/RU000A106CM2/
94,МФК Займер выпуск 3,RU000A103QJ5,491.74125,Низкий,8.0,4.52,500.5,12.0,54.24,0.0,11.03,https://www.tinkoff.ru/invest/bonds/RU000A103QJ5/
95,БЭЛТИ-ГРАНД БО-П05,RU000A105427,813.45,Низкий,27.0,8.44,850.0,12.0,101.28,16.88,12.45,https://www.tinkoff.ru/invest/bonds/RU000A105427/
96,УК ОРГ выпуск 3,RU000A106UB7,974.2,Низкий,31.0,11.74,1000.0,12.0,140.88,23.48,14.46,https://www.tinkoff.ru/invest/bonds/RU000A106UB7/
97,АйДи Коллект выпуск 4,RU000A106XT3,975.0,Низкий,32.0,11.74,1000.0,12.0,140.88,23.48,14.45,https://www.tinkoff.ru/invest/bonds/RU000A106XT3/
98,МигКредит об01,RU000A103DA2,276.192,Низкий,5.0,2.44,280.0,12.0,29.28,0.0,10.6,https://www.tinkoff.ru/invest/bonds/RU000A103DA2/
99,Глоракс 1P-01,RU000A105XF4,969.0,Средний,14.0,32.19,1000.0,4.0,128.76,96.57,13.29,https://www.tinkoff.ru/invest/bonds/RU000A105XF4/
100,Роял Капитал БО-П10,RU000A1079H9,1005.9,Средний,34.0,43.33,1000.0,4.0,173.32,346.64,17.23,https://www.tinkoff.ru/invest/bonds/RU000A1079H9/
101,Лизинг трейд выпуск 3,RU000A1034X1,894.6,Средний,28.0,7.83,1000.0,12.0,93.96,15.66,10.5,https://www.tinkoff.ru/invest/bonds/RU000A1034X1/
102,Соби-Лизинг 001Р-03,RU000A1078H1,998.4,Низкий,34.0,12.44,1000.0,12.0,149.28,24.88,14.95,https://www.tinkoff.ru/invest/bonds/RU000A1078H1/
103,Феррони БО-01,RU000A1053R3,1031.7,Низкий,19.0,14.27,1000.0,12.0,171.24,14.27,16.6,https://www.tinkoff.ru/invest/bonds/RU000A1053R3/
104,БЭЛТИ-ГРАНД выпуск 4,RU000A103DY2,822.326,Средний,37.0,7.83,895.0,12.0,93.96,23.49,11.43,https://www.tinkoff.ru/invest/bonds/RU000A103DY2/
105,Нафтатранс Плюс выпуск 3,RU000A102V51,918.5,Низкий,25.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102V51/
106,Реаторг 001Р-01,RU000A105BP9,982.9,Низкий,21.0,34.63,1000.0,4.0,138.52,173.15,14.09,https://www.tinkoff.ru/invest/bonds/RU000A105BP9/
107,Неолизинг выпуск 1,RU000A106PY9,990.0,Средний,30.0,12.09,1000.0,12.0,145.08,24.18,14.65,https://www.tinkoff.ru/invest/bonds/RU000A106PY9/
108,КИФА выпуск 1,RU000A106EV9,951.3,Средний,29.0,31.41,1000.0,4.0,125.64,219.87,13.21,https://www.tinkoff.ru/invest/bonds/RU000A106EV9/
109,ПЗ Пушкинское выпуск 1,RU000A104JF6,959.0,Средний,25.0,29.58,1000.0,4.0,118.32,177.48,12.34,https://www.tinkoff.ru/invest/bonds/RU000A104JF6/
110,ЭкономЛизинг 001Р-05,RU000A106R12,952.0,Низкий,31.0,33.58,1000.0,4.0,134.32,235.06,14.11,https://www.tinkoff.ru/invest/bonds/RU000A106R12/
111,Быстроденьги,RU000A104SJ9,1002.6,Низкий,15.0,14.96,1000.0,12.0,179.52,14.96,17.91,https://www.tinkoff.ru/invest/bonds/RU000A104SJ9/
112,Быстроденьги 2P-03,RU000A1070G0,975.7,Низкий,38.0,14.96,1000.0,12.0,179.52,44.88,18.4,https://www.tinkoff.ru/invest/bonds/RU000A1070G0/
113,ЭконЛиз1Р4,RU000A1067T9,928.7,Низкий,28.0,29.58,1000.0,4.0,118.32,207.06,12.74,https://www.tinkoff.ru/invest/bonds/RU000A1067T9/
114,Мани Капитал 001P-02,RU000A1079G1,1008.6,Средний,34.0,15.66,1000.0,12.0,187.92,31.32,18.63,https://www.tinkoff.ru/invest/bonds/RU000A1079G1/
115,МаксимаТелеком выпуск 2,RU000A102DK3,968.8,Средний,4.0,42.28,1000.0,2.0,84.56,84.56,8.73,https://www.tinkoff.ru/invest/bonds/RU000A102DK3/
116,МФК Займер выпуск 1,RU000A102TL7,993.8,Низкий,1.0,9.05,1000.0,12.0,108.6,0.0,10.93,https://www.tinkoff.ru/invest/bonds/RU000A102TL7/
117,Альфа Дон Транс выпуск 1,RU000A106Y70,1004.6,Низкий,44.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106Y70/
118,ЭкономЛизинг 001Р-06,RU000A1078Y6,982.8,Низкий,34.0,43.33,1000.0,4.0,173.32,346.64,17.64,https://www.tinkoff.ru/invest/bonds/RU000A1078Y6/
119,МаксимаТелеком выпуск 1,RU000A101XD8,920.1,17.01.2025,30.0,41.15,1000.0,2.0,82.3,617.25,8.94,https://www.tinkoff.ru/invest/bonds/RU000A101XD8/
120,Мани Капитал 001P-01,RU000A1074F4,984.0,Низкий,33.0,14.96,1000.0,12.0,179.52,29.92,18.24,https://www.tinkoff.ru/invest/bonds/RU000A1074F4/
121,МК Лизинг БО-01,RU000A107720,1005.5,Низкий,34.0,12.96,1000.0,12.0,155.52,25.92,15.47,https://www.tinkoff.ru/invest/bonds/RU000A107720/
122,Глобал Факторинг Нетворк Рус БО-02-001P,RU000A1060U2,988.2,Низкий,32.0,11.74,1000.0,12.0,140.88,23.48,14.26,https://www.tinkoff.ru/invest/bonds/RU000A1060U2/
123,Лизинг-Трейд выпуск 9,RU000A106GB6,912.6,Средний,53.0,10.0,1000.0,12.0,120.0,40.0,13.15,https://www.tinkoff.ru/invest/bonds/RU000A106GB6/
124,СибАвтоТранс выпуск 1,RU000A105SZ2,1008.5,Низкий,37.0,38.98,1000.0,4.0,155.92,350.82,15.46,https://www.tinkoff.ru/invest/bonds/RU000A105SZ2/
125,Лизинг-Трейд 001P-06,RU000A105RF6,935.8,Низкий,47.0,10.35,1000.0,12.0,124.2,31.05,13.27,https://www.tinkoff.ru/invest/bonds/RU000A105RF6/
126,СПМК БО-01,RU000A105BW5,1005.0,Низкий,21.0,38.98,1000.0,4.0,155.92,194.9,15.51,https://www.tinkoff.ru/invest/bonds/RU000A105BW5/
127,Легенда выпуск 4,RU000A102Y66,947.5,Средний,15.0,21.58,1000.0,4.0,86.32,64.74,9.11,https://www.tinkoff.ru/invest/bonds/RU000A102Y66/
128,Россети Ленэнерго 001P-01,RU000A107EC7,1000.0,Средний,47.0,9.4,1000.0,12.0,112.8,28.2,11.28,https://www.tinkoff.ru/invest/bonds/RU000A107EC7/
129,Солид-Лизинг БО-001-07,RU000A105P07,865.53,Низкий,23.0,9.31,900.0,12.0,111.72,9.31,12.91,https://www.tinkoff.ru/invest/bonds/RU000A105P07/
130,Лизинг-Трейд 1P-08,RU000A106987,932.4,Низкий,51.0,10.35,1000.0,12.0,124.2,41.4,13.32,https://www.tinkoff.ru/invest/bonds/RU000A106987/
